Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.006853,7.311033,[ 1 10] ; [39 35],[5.17647059 5.82352941] ; [34.82352941 39.17647059],0
s2,1,0.037235,4.339635,[5 6] ; [13 60],[2.35714286 8.64285714] ; [15.64285714 57.35714286],0
n2,1,0.038434,4.285714,[1 6] ; [20 15],[3.5 3.5] ; [17.5 17.5],0
b5,1,0.067552,3.341523,[8 3] ; [32 42],[5.17647059 5.82352941] ; [34.82352941 39.17647059],0
p9,1,0.104529,2.635046,[3 8] ; [37 32],[5.5 5.5] ; [34.5 34.5],0
s6,1,0.11219,2.523094,[5 6] ; [17 57],[2.84705882 8.15294118] ; [19.15294118 54.84705882],0
v1,1,0.11396,2.498425,[ 1 10] ; [23 48],[3.2195122 7.7804878] ; [20.7804878 50.2195122],0
s1,1,0.12268,2.382774,[2 9] ; [ 4 70],[ 0.77647059 10.22352941] ; [ 5.22352941 68.77647059],0
s3,1,0.193931,1.687499,[5 6] ; [19 53],[3.18072289 7.81927711] ; [20.81927711 51.18072289],0
d2,1,0.20194,1.628291,[7 4] ; [31 41],[5.03614458 5.96385542] ; [32.96385542 39.03614458],0
a5,1,0.205346,1.603941,[4 7] ; [42 32],[5.95294118 5.04705882] ; [40.04705882 33.95294118],0
n1,1,0.241567,1.371429,[1 6] ; [13 22],[2.33333333 4.66666667] ; [11.66666667 23.33333333],0
p4,1,0.257828,1.280384,[ 1 10] ; [18 56],[2.45882353 8.54117647] ; [16.54117647 57.45882353],0
r3,1,0.271069,1.211331,[4 7] ; [39 33],[5.69879518 5.30120482] ; [37.30120482 34.69879518],0
p10,1,0.28276,1.153776,[3 8] ; [32 40],[4.63855422 6.36144578] ; [30.36144578 41.63855422],0
s7,1,0.304086,1.056191,[4 6] ; [17 52],[2.65822785 7.34177215] ; [18.34177215 50.65822785],0
b1,1,0.353574,0.86059,[4 7] ; [38 36],[5.43529412 5.56470588] ; [36.56470588 37.43529412],0
u3,1,0.37055,0.801818,[2 2] ; [ 9 23],[1.22222222 2.77777778] ; [ 9.77777778 22.22222222],0
u2,1,0.37055,0.801818,[2 2] ; [ 9 23],[1.22222222 2.77777778] ; [ 9.77777778 22.22222222],0
r1,1,0.38099,0.767506,[2 9] ; [23 51],[3.23529412 7.76470588] ; [21.76470588 52.23529412],0
p3,1,0.41546,0.663122,[ 1 10] ; [14 59],[1.96428571 9.03571429] ; [13.03571429 59.96428571],0
b2,1,0.450017,0.570609,[4 3] ; [18 25],[3.08 3.92] ; [18.92 24.08],0
b3,1,0.450017,0.570609,[4 3] ; [18 25],[3.08 3.92] ; [18.92 24.08],0
v4,1,0.481764,0.494867,[5 6] ; [42 32],[6.08235294 4.91764706] ; [40.91764706 33.08235294],0
b4,1,0.507052,0.440147,[6 5] ; [48 26],[6.98823529 4.01176471] ; [47.01176471 26.98823529],0
v2,1,0.6054,0.266928,[3 8] ; [25 46],[3.75609756 7.24390244] ; [24.24390244 46.75609756],0
a2,1,0.607847,0.263321,[ 1 10] ; [11 63],[1.55294118 9.44705882] ; [10.44705882 63.55294118],0
s8,1,0.607847,0.263321,[ 1 10] ; [11 63],[1.55294118 9.44705882] ; [10.44705882 63.55294118],0
n4,1,0.628635,0.233916,[6 5] ; [46 28],[6.72941176 4.27058824] ; [45.27058824 28.72941176],0
a4,1,0.653157,0.201943,[5 6] ; [28 45],[4.32142857 6.67857143] ; [28.67857143 44.32142857],0
p11,1,0.66657,0.18564,[4 7] ; [32 42],[4.65882353 6.34117647] ; [31.34117647 42.65882353],0
s5,1,0.673455,0.177588,[2 8] ; [11 63],[1.54761905 8.45238095] ; [11.45238095 62.54761905],0
d4,1,0.677089,0.173421,[7 4] ; [51 22],[7.5952381 3.4047619] ; [50.4047619 22.5952381],0
a1,1,0.683462,0.166255,[ 1 10] ; [10 64],[1.42352941 9.57647059] ; [ 9.57647059 64.42352941],0
p1,1,0.683462,0.166255,[ 1 10] ; [10 64],[1.42352941 9.57647059] ; [ 9.57647059 64.42352941],0
a3,1,0.70195,0.146451,[7 4] ; [42 31],[6.41666667 4.58333333] ; [42.58333333 30.41666667],0
v3,1,0.721925,0.126656,[2 9] ; [17 57],[2.45882353 8.54117647] ; [16.54117647 57.45882353],0
n3,1,0.730626,0.118537,[3 4] ; [17 17],[3.41463415 3.58536585] ; [16.58536585 17.41463415],0
p8,1,0.757224,0.095561,[1 9] ; [10 64],[1.30952381 8.69047619] ; [ 9.69047619 64.30952381],0
u1,1,0.777937,0.079529,[ 1 10] ; [ 5 69],[ 0.77647059 10.22352941] ; [ 5.22352941 68.77647059],0
a7,1,0.811268,0.057021,[5 6] ; [36 37],[5.36904762 5.63095238] ; [35.63095238 37.36904762],0
d1,1,0.843192,0.03913,[5 6] ; [36 38],[5.30588235 5.69411765] ; [35.69411765 38.30588235],0
d5,1,0.866274,0.028356,[7 4] ; [49 25],[7.24705882 3.75294118] ; [48.75294118 25.24705882],0
n6,1,0.899051,0.016093,[7 4] ; [45 28],[6.80952381 4.19047619] ; [45.19047619 27.80952381],0
p2,1,0.90904,0.013053,[5 6] ; [35 39],[5.17647059 5.82352941] ; [34.82352941 39.17647059],0
r2,1,0.909843,0.012822,[5 4] ; [42 31],[5.15853659 3.84146341] ; [41.84146341 31.15853659],0
n5,1,0.924982,0.008866,[7 4] ; [46 28],[6.85882353 4.14117647] ; [46.14117647 27.85882353],0
p6,1,0.932888,0.007092,[ 1 10] ; [ 6 66],[ 0.92771084 10.07228916] ; [ 6.07228916 65.92771084],0
d3,1,0.975655,0.000931,[6 5] ; [40 34],[5.95294118 5.04705882] ; [40.04705882 33.95294118],0
