Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.009805,6.670074,[657 147] ; [9 7],[653.00487805 150.99512195] ; [12.99512195  3.00487805],0
n1,1,0.02047,5.371361,[ 64 101] ; [7 2],[67.32758621 97.67241379] ; [3.67241379 5.32758621],0
p11,1,0.025085,5.018003,[641 167] ; [9 7],[637.37864078 170.62135922] ; [12.62135922  3.37864078],0
p2,1,0.028784,4.780495,[668 134] ; [10  6],[664.73838631 137.26161369] ; [13.26161369  2.73838631],0
d4,1,0.036173,4.388948,[664 139] ; [10  6],[660.83272283 142.16727717] ; [13.16727717  2.83272283],0
s1,1,0.039101,4.256493,[ 25 769] ; [ 2 14],[ 26.46666667 767.53333333] ; [ 0.53333333 15.46666667],0
a4,1,0.046412,3.966568,[369 436] ; [ 3 12],[365.19512195 439.80487805] ; [6.80487805 8.19512195],0
b4,1,0.063412,3.445815,[470 338] ; [13  3],[473.62135922 334.37864078] ; [9.37864078 6.62135922],0
s5,1,0.070917,3.261663,[266 505] ; [9 7],[269.40914867 501.59085133] ; [ 5.59085133 10.40914867],0
a2,1,0.086331,2.941488,[201 607] ; [ 1 15],[198.0776699 609.9223301] ; [ 3.9223301 12.0776699],0
p7,1,0.090488,2.865675,[504 280] ; [7 9],[500.78 283.22] ; [10.22  5.78],0
d3,1,0.091599,2.846054,[560 244] ; [8 8],[556.91707317 247.08292683] ; [11.08292683  4.91707317],0
a6,1,0.099027,2.72115,[557 247] ; [8 8],[553.97560976 250.02439024] ; [11.02439024  4.97560976],0
p8,1,0.103545,2.650079,[413 379] ; [11  4],[416.11895911 375.88104089] ; [7.88104089 7.11895911],0
b1,1,0.115116,2.48254,[299 509] ; [9 7],[302.01941748 505.98058252] ; [ 5.98058252 10.01941748],0
p1,1,0.156741,2.005391,[ 69 732] ; [ 3 13],[ 70.58996328 730.41003672] ; [ 1.41003672 14.58996328],0
v2,1,0.179897,1.798474,[443 330] ; [6 9],[440.45304569 332.54695431] ; [8.54695431 6.45304569],0
u1,1,0.200683,1.637397,[152 656] ; [ 1 15],[150.02912621 657.97087379] ; [ 2.97087379 13.02912621],0
p10,1,0.218141,1.516562,[644 151] ; [11  5],[642.07768187 152.92231813] ; [12.92231813  3.07768187],0
n5,1,0.230406,1.438356,[596 206] ; [14  2],[598.06845966 203.93154034] ; [11.93154034  4.06845966],0
p5,1,0.311589,1.023927,[ 86 712] ; [ 3 13],[ 87.25061425 710.74938575] ; [ 1.74938575 14.25061425],0
u3,1,0.319449,0.991201,[143  88] ; [2 3],[141.9279661  89.0720339] ; [3.0720339 1.9279661],0
n6,1,0.326605,0.962311,[682 121] ; [15  1],[683.38339438 119.61660562] ; [13.61660562  2.38339438],0
n4,1,0.331999,0.941086,[622 183] ; [14  2],[623.60535932 181.39464068] ; [12.39464068  3.60535932],0
s6,1,0.332827,0.937867,[538 250] ; [12  3],[539.7260274 248.2739726] ; [10.2739726  4.7260274],0
b2,1,0.347669,0.881948,[187 301] ; [3 9],[185.44 302.56] ; [4.56 7.44],0
b3,1,0.347669,0.881948,[187 301] ; [3 9],[185.44 302.56] ; [4.56 7.44],0
d2,1,0.372366,0.795755,[392 412] ; [ 6 10],[390.23414634 413.76585366] ; [7.76585366 8.23414634],0
v1,1,0.372946,0.793826,[433 355] ; [7 9],[431.24378109 356.75621891] ; [8.75621891 7.24378109],0
n2,1,0.379004,0.773929,[128  40] ; [8 1],[129.08474576  38.91525424] ; [6.91525424 2.08474576],0
p4,1,0.430197,0.62229,[477 321] ; [8 8],[475.46683047 322.53316953] ; [9.53316953 6.46683047],0
