Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,55.206536,[63  8] ; [ 5 29],[45.98095238 25.01904762] ; [22.01904762 11.98095238],1
v4,1,0.0,27.146023,[62  9] ; [13 21],[50.71428571 20.28571429] ; [24.28571429  9.71428571],1
p11,1,1e-06,23.352919,[44 27] ; [ 4 30],[32.45714286 38.54285714] ; [15.54285714 18.45714286],1
n6,1,9.1e-05,15.307329,[54 17] ; [12 21],[45.05769231 25.94230769] ; [20.94230769 12.05769231],1
b5,1,0.000349,12.787904,[51 20] ; [12 22],[42.6 28.4] ; [20.4 13.6],1
s6,1,0.001954,9.592162,[34 35] ; [ 6 28],[26.7961165 42.2038835] ; [13.2038835 20.7961165],0
u3,1,0.002665,9.023873,[19 10] ; [ 2 11],[14.5 14.5] ; [6.5 6.5],0
s2,1,0.003427,8.564706,[28 42] ; [ 4 30],[21.53846154 48.46153846] ; [10.46153846 23.53846154],0
p4,1,0.004848,7.935357,[24 45] ; [ 3 31],[18.08737864 50.91262136] ; [ 8.91262136 25.08737864],0
n2,1,0.007446,7.162,[21  5] ; [ 8 11],[16.75555556  9.24444444] ; [12.24444444  6.75555556],0
a1,1,0.007523,7.14369,[ 3 68] ; [ 7 27],[ 6.76190476 64.23809524] ; [ 3.23809524 30.76190476],0
p9,1,0.007844,7.068712,[39 30] ; [ 9 23],[32.79207921 36.20792079] ; [15.20792079 16.79207921],0
s8,1,0.007927,7.04986,[23 47] ; [ 3 31],[17.5 52.5] ; [ 8.5 25.5],0
u2,1,0.009253,6.773322,[17 12] ; [ 2 11],[13.11904762 15.88095238] ; [5.88095238 7.11904762],0
p10,1,0.012407,6.251784,[34 35] ; [ 8 26],[28.13592233 40.86407767] ; [13.86407767 20.13592233],0
r1,1,0.015037,5.912122,[47 24] ; [14 20],[41.24761905 29.75238095] ; [19.75238095 14.24761905],0
n3,1,0.018301,5.567059,[18  6] ; [ 7 11],[14.28571429  9.71428571] ; [10.71428571  7.28571429],0
r2,1,0.018587,5.539962,[62  8] ; [23 10],[57.76699029 12.23300971] ; [27.23300971  5.76699029],0
p1,1,0.041205,4.167574,[ 5 66] ; [ 7 27],[ 8.11428571 62.88571429] ; [ 3.88571429 30.11428571],0
d4,1,0.043772,4.065331,[51 19] ; [18 16],[46.44230769 23.55769231] ; [22.55769231 11.44230769],0
p6,1,0.064095,3.428133,[11 60] ; [ 1 32],[ 8.19230769 62.80769231] ; [ 3.80769231 29.19230769],0
s7,1,0.071021,3.259266,[22 43] ; [ 5 26],[18.28125 46.71875] ; [ 8.71875 22.28125],0
s5,1,0.111176,2.537423,[14 51] ; [ 3 31],[11.16161616 53.83838384] ; [ 5.83838384 28.16161616],0
b1,1,0.142523,2.150507,[33 38] ; [21 13],[36.51428571 34.48571429] ; [17.48571429 16.51428571],0
p7,1,0.167747,1.902959,[19 50] ; [ 5 28],[16.23529412 52.76470588] ; [ 7.76470588 25.23529412],0
p3,1,0.190586,1.713084,[21 50] ; [ 6 28],[18.25714286 52.74285714] ; [ 8.74285714 25.25714286],0
n5,1,0.223685,1.480573,[43 27] ; [25  9],[45.76923077 24.23076923] ; [22.23076923 11.76923077],0
a2,1,0.243604,1.359618,[15 56] ; [ 4 30],[12.84761905 58.15238095] ; [ 6.15238095 27.84761905],0
s3,1,0.256391,1.288141,[29 42] ; [ 9 22],[26.45098039 44.54901961] ; [11.54901961 19.45098039],0
n4,1,0.256556,1.287246,[42 29] ; [24 10],[44.62857143 26.37142857] ; [21.37142857 12.62857143],0
v1,1,0.286628,1.135393,[23 45] ; [ 8 26],[20.66666667 47.33333333] ; [10.33333333 23.66666667],0
d5,1,0.333663,0.934629,[44 26] ; [18 16],[41.73076923 28.26923077] ; [20.26923077 13.73076923],0
n1,1,0.361209,0.833684,[11 14] ; [11  8],[12.5 12.5] ; [9.5 9.5],0
s1,1,0.368209,0.8097,[ 8 63] ; [ 6 28],[ 9.46666667 61.53333333] ; [ 4.53333333 29.46666667],0
a8,1,0.401833,0.702834,[ 8 63] ; [ 2 31],[ 6.82692308 64.17307692] ; [ 3.17307692 29.82692308],0
p5,1,0.430175,0.622351,[ 5 63] ; [ 4 29],[ 6.05940594 61.94059406] ; [ 2.94059406 30.05940594],0
p8,1,0.473037,0.514872,[11 60] ; [ 7 26],[12.28846154 58.71153846] ; [ 5.71153846 27.28846154],0
a3,1,0.532961,0.388743,[42 29] ; [21 11],[43.42718447 27.57281553] ; [19.57281553 12.42718447],0
d3,1,0.573288,0.317211,[35 35] ; [15 19],[33.65384615 36.34615385] ; [16.34615385 17.65384615],0
s4,1,0.59072,0.289222,[11 59] ; [ 4 30],[10.09615385 59.90384615] ; [ 4.90384615 29.09615385],0
p12,1,0.590823,0.28906,[ 1 70] ; [ 1 33],[ 1.35238095 69.64761905] ; [ 0.64761905 33.35238095],0
d1,1,0.597945,0.278107,[31 40] ; [13 21],[29.75238095 41.24761905] ; [14.24761905 19.75238095],0
a7,1,0.635654,0.224472,[39 32] ; [17 17],[37.86666667 33.13333333] ; [18.13333333 15.86666667],0
a4,1,0.649608,0.206394,[30 41] ; [12 20],[28.95145631 42.04854369] ; [13.04854369 18.95145631],0
b2,1,0.73742,0.112407,[18 29] ; [11 15],[18.67123288 28.32876712] ; [10.32876712 15.67123288],0
b3,1,0.73742,0.112407,[18 29] ; [11 15],[18.67123288 28.32876712] ; [10.32876712 15.67123288],0
