Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,50.378788,[13 64] ; [44 12],[33. 44.] ; [24. 32.],1
s6,1,0.0,37.679823,[30 47] ; [52  5],[47.11940299 29.88059701] ; [34.88059701 22.11940299],1
s8,1,1.8e-05,18.364772,[19 58] ; [35 22],[31.02985075 45.97014925] ; [22.97014925 34.02985075],1
s7,1,2.8e-05,17.559333,[20 56] ; [33 19],[31.46875 44.53125] ; [21.53125 30.46875],1
v1,1,5.3e-05,16.328761,[19 57] ; [33 22],[30.16793893 45.83206107] ; [21.83206107 33.16793893],1
p9,1,0.000873,11.080157,[37 37] ; [44 12],[46.10769231 27.89230769] ; [34.89230769 21.10769231],1
s5,1,0.001297,10.34711,[14 61] ; [25 31],[22.32824427 52.67175573] ; [16.67175573 39.32824427],0
p4,1,0.004279,8.161364,[18 58] ; [27 30],[25.71428571 50.28571429] ; [19.28571429 37.71428571],0
p6,1,0.008919,6.839072,[11 66] ; [19 38],[17.23880597 59.76119403] ; [12.76119403 44.23880597],0
r4,1,0.019303,5.473896,[59 19] ; [52  5],[64.13333333 13.86666667] ; [46.86666667 10.13333333],0
a4,1,0.029969,4.711054,[27 49] ; [31 26],[33.14285714 42.85714286] ; [24.85714286 32.14285714],0
p10,1,0.034798,4.455065,[41 35] ; [41 16],[46.85714286 29.14285714] ; [35.14285714 21.85714286],0
s4,1,0.052397,3.763042,[12 64] ; [17 40],[16.57142857 59.42857143] ; [12.42857143 44.57142857],0
d5,1,0.062088,3.480716,[50 28] ; [45 12],[54.88888889 23.11111111] ; [40.11111111 16.88888889],0
s1,1,0.064568,3.415992,[ 3 75] ; [ 7 50],[ 5.77777778 72.22222222] ; [ 4.22222222 52.77777778],0
b5,1,0.065136,3.401524,[44 34] ; [41 16],[49.11111111 28.88888889] ; [35.88888889 21.11111111],0
p7,1,0.080512,3.054545,[21 56] ; [23 32],[25.66666667 51.33333333] ; [18.33333333 36.66666667],0
u4,1,0.081356,3.037605,[ 1 77] ; [ 4 53],[ 2.88888889 75.11111111] ; [ 2.11111111 54.88888889],0
r3,1,0.095104,2.785787,[65 13] ; [53  4],[68.17777778  9.82222222] ; [49.82222222  7.17777778],0
r1,1,0.120128,2.415649,[49 29] ; [43 14],[53.15555556 24.84444444] ; [38.84444444 18.15555556],0
p3,1,0.128501,2.310519,[23 55] ; [24 33],[27.15555556 50.84444444] ; [19.84444444 37.15555556],0
v4,1,0.137394,2.206903,[66 12] ; [53  4],[68.75555556  9.24444444] ; [50.24444444  6.75555556],0
a3,1,0.163214,1.94419,[45 32] ; [40 17],[48.84328358 28.15671642] ; [36.15671642 20.84328358],0
a5,1,0.18129,1.787016,[46 32] ; [40 17],[49.68888889 28.31111111] ; [36.31111111 20.68888889],0
u1,1,0.191366,1.707073,[11 67] ; [13 44],[13.86666667 64.13333333] ; [10.13333333 46.86666667],0
d2,1,0.193031,1.694331,[34 42] ; [32 25],[37.71428571 38.28571429] ; [28.28571429 28.71428571],0
