Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.59387,[86 16] ; [ 1 16],[74.57142857 27.42857143] ; [12.42857143  4.57142857],1
p2,1,3e-06,21.992231,[80 21] ; [ 4 13],[71.89830508 29.10169492] ; [12.10169492  4.89830508],1
r1,1,5.8e-05,16.164424,[82 19] ; [ 6 11],[75.3220339 25.6779661] ; [12.6779661  4.3220339],1
v4,1,7.2e-05,15.753209,[92 10] ; [9 8],[86.57142857 15.42857143] ; [14.42857143  2.57142857],1
a1,1,0.000168,14.158309,[  2 100] ; [ 4 13],[ 5.14285714 96.85714286] ; [ 0.85714286 16.14285714],1
v2,1,0.000316,12.973835,[50 44] ; [ 1 16],[43.18918919 50.81081081] ; [7.81081081 9.18918919],1
p11,1,0.000703,11.481561,[63 39] ; [ 3 14],[56.57142857 45.42857143] ; [9.42857143 7.57142857],1
s2,1,0.003799,8.377384,[43 58] ; [ 1 16],[37.66101695 63.33898305] ; [ 6.33898305 10.66101695],0
r2,1,0.004665,8.005059,[91 10] ; [11  6],[87.30508475 13.69491525] ; [14.69491525  2.30508475],0
p4,1,0.012877,6.185954,[44 57] ; [ 2 15],[39.37288136 61.62711864] ; [ 6.62711864 10.37288136],0
n3,1,0.02156,5.280936,[23  8] ; [2 5],[20.39473684 10.60526316] ; [4.60526316 2.39473684],0
s6,1,0.024694,5.045223,[54 48] ; [ 4 13],[49.71428571 52.28571429] ; [8.28571429 8.71428571],0
d4,1,0.056746,3.630034,[85 16] ; [11  6],[82.16949153 18.83050847] ; [13.83050847  3.16949153],0
p7,1,0.056902,3.625448,[52 46] ; [ 4 11],[48.56637168 49.43362832] ; [7.43362832 7.56637168],0
p10,1,0.074894,3.172373,[64 36] ; [ 7 10],[60.68376068 39.31623932] ; [10.31623932  6.68376068],0
a4,1,0.078272,3.100424,[37 65] ; [10  7],[40.28571429 61.71428571] ; [ 6.71428571 10.28571429],0
p1,1,0.0925,2.830315,[ 6 95] ; [ 3 14],[ 7.70338983 93.29661017] ; [ 1.29661017 15.70338983],0
a6,1,0.097763,2.74167,[83 18] ; [11  6],[80.45762712 20.54237288] ; [13.54237288  3.45762712],0
b1,1,0.098659,2.727083,[44 58] ; [11  6],[47.14285714 54.85714286] ; [7.85714286 9.14285714],0
p6,1,0.102798,2.661586,[23 76] ; [ 1 16],[20.48275862 78.51724138] ; [ 3.51724138 13.48275862],0
n1,1,0.107181,2.595297,[ 8 23] ; [4 3],[ 9.78947368 21.21052632] ; [2.21052632 4.78947368],0
p9,1,0.115475,2.477647,[72 28] ; [9 8],[69.23076923 30.76923077] ; [11.76923077  5.23076923],0
s3,1,0.134193,2.243319,[49 51] ; [ 5 12],[46.15384615 53.84615385] ; [7.84615385 9.15384615],0
