Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5.3e-05,16.321073,[ 6 21] ; [24  8],[13.72881356 13.27118644] ; [16.27118644 15.72881356],1
s7,1,0.000591,11.802555,[ 4 21] ; [18 11],[10.18518519 14.81481481] ; [11.81481481 17.18518519],1
s8,1,0.004965,7.892211,[ 7 20] ; [20 12],[12.3559322 14.6440678] ; [14.6440678 17.3559322],0
s6,1,0.006872,7.30625,[14 13] ; [27  5],[18.76271186  8.23728814] ; [22.23728814  9.76271186],0
a3,1,0.007691,7.103949,[12 15] ; [25  7],[16.93220339 10.06779661] ; [20.06779661 11.93220339],0
p10,1,0.033592,4.515334,[13 14] ; [24  8],[16.93220339 10.06779661] ; [20.06779661 11.93220339],0
u1,1,0.041785,4.143911,[ 2 25] ; [ 9 23],[ 5.03389831 21.96610169] ; [ 5.96610169 26.03389831],0
s1,1,0.056445,3.638881,[ 5 22] ; [ 1 30],[ 2.79310345 24.20689655] ; [ 3.20689655 27.79310345],0
a5,1,0.063152,3.452608,[16 11] ; [26  6],[19.22033898  7.77966102] ; [22.77966102  9.22033898],0
p9,1,0.064544,3.416598,[15 12] ; [25  7],[18.30508475  8.69491525] ; [21.69491525 10.30508475],0
a4,1,0.087287,2.923706,[10 17] ; [19 13],[13.27118644 13.72881356] ; [15.72881356 16.27118644],0
n2,1,0.088676,2.898254,[5 4] ; [9 1],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
v1,1,0.098909,2.723051,[ 9 17] ; [17 13],[12.07142857 13.92857143] ; [13.92857143 16.07142857],0
d1,1,0.102556,2.665343,[12 15] ; [21 11],[15.10169492 11.89830508] ; [17.89830508 14.10169492],0
a2,1,0.123602,2.371078,[ 2 25] ; [ 7 25],[ 4.11864407 22.88135593] ; [ 4.88135593 27.11864407],0
v4,1,0.146541,2.107893,[22  5] ; [30  2],[23.79661017  3.20338983] ; [28.20338983  3.79661017],0
b1,1,0.16548,1.923418,[15 12] ; [12 20],[12.3559322 14.6440678] ; [14.6440678 17.3559322],0
n6,1,0.168992,1.891864,[18  8] ; [27  5],[20.17241379  5.82758621] ; [24.82758621  7.17241379],0
p5,1,0.1706,1.877664,[ 5 21] ; [ 2 27],[ 3.30909091 22.69090909] ; [ 3.69090909 25.30909091],0
s4,1,0.193415,1.691415,[ 3 23] ; [ 8 24],[ 4.93103448 21.06896552] ; [ 6.06896552 25.93103448],0
v2,1,0.197715,1.65917,[16  9] ; [15 17],[13.59649123 11.40350877] ; [17.40350877 14.59649123],0
d4,1,0.199967,1.642614,[18  9] ; [26  6],[20.13559322  6.86440678] ; [23.86440678  8.13559322],0
a8,1,0.205005,1.606352,[ 3 22] ; [ 1 30],[ 1.78571429 23.21428571] ; [ 2.21428571 28.78571429],0
d3,1,0.268625,1.223755,[13 14] ; [20 12],[15.10169492 11.89830508] ; [17.89830508 14.10169492],0
r4,1,0.321377,0.983333,[21  6] ; [28  4],[22.42372881  4.57627119] ; [26.57627119  5.42372881],0
d5,1,0.327754,0.957753,[19  8] ; [26  6],[20.59322034  6.40677966] ; [24.40677966  7.59322034],0
p8,1,0.361785,0.831689,[12 14] ; [11 21],[10.31034483 15.68965517] ; [12.68965517 19.31034483],0
s5,1,0.400079,0.708088,[ 7 18] ; [12 19],[ 8.48214286 16.51785714] ; [10.51785714 20.48214286],0
b4,1,0.409594,0.679978,[14 13] ; [20 12],[15.55932203 11.44067797] ; [18.44067797 13.55932203],0
b3,1,0.411868,0.673401,[ 8 10] ; [ 7 15],[ 6.75 11.25] ; [ 8.25 13.75],0
b2,1,0.411868,0.673401,[ 8 10] ; [ 7 15],[ 6.75 11.25] ; [ 8.25 13.75],0
p3,1,0.44614,0.58044,[17 10] ; [17 15],[15.55932203 11.44067797] ; [18.44067797 13.55932203],0
p1,1,0.455691,0.556458,[ 2 25] ; [ 1 31],[ 1.37288136 25.62711864] ; [ 1.62711864 30.37288136],0
r3,1,0.504173,0.446142,[24  3] ; [30  2],[24.71186441  2.28813559] ; [29.28813559  2.71186441],0
n3,1,0.509893,0.434286,[6 3] ; [8 2],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
r2,1,0.519738,0.414412,[23  4] ; [29  3],[23.79661017  3.20338983] ; [28.20338983  3.79661017],0
d2,1,0.534679,0.385491,[13 14] ; [18 14],[14.18644068 12.81355932] ; [16.81355932 15.18644068],0
a6,1,0.534679,0.385491,[13 14] ; [18 14],[14.18644068 12.81355932] ; [16.81355932 15.18644068],0
n4,1,0.588522,0.292659,[15 12] ; [20 12],[16.01694915 10.98305085] ; [18.98305085 13.01694915],0
u3,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
p11,1,0.639903,0.218869,[17 10] ; [22 10],[17.84745763  9.15254237] ; [21.15254237 10.84745763],0
r1,1,0.665112,0.187373,[18  9] ; [23  9],[18.76271186  8.23728814] ; [22.23728814  9.76271186],0
u2,1,0.750679,0.100962,[9 5] ; [4 3],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
a1,1,0.786886,0.073092,[ 2 25] ; [ 3 29],[ 2.28813559 24.71186441] ; [ 2.71186441 29.28813559],0
p12,1,0.786886,0.073092,[ 2 25] ; [ 3 29],[ 2.28813559 24.71186441] ; [ 2.71186441 29.28813559],0
n5,1,0.831512,0.045268,[17 10] ; [21 11],[17.38983051  9.61016949] ; [20.61016949 11.38983051],0
v3,1,0.835942,0.042885,[ 9 16] ; [10 20],[ 8.63636364 16.36363636] ; [10.36363636 19.63636364],0
p6,1,0.863534,0.029542,[ 9 18] ; [11 20],[ 9.31034483 17.68965517] ; [10.68965517 20.31034483],0
a7,1,0.957312,0.002865,[15 12] ; [18 14],[15.10169492 11.89830508] ; [17.89830508 14.10169492],0
b5,1,0.957312,0.002865,[15 12] ; [18 14],[15.10169492 11.89830508] ; [17.89830508 14.10169492],0
p7,1,0.985507,0.00033,[13 14] ; [15 16],[13.03448276 13.96551724] ; [14.96551724 16.03448276],0
n1,1,1.0,0.0,[4 5] ; [4 5],[4. 5.] ; [4. 5.],0
