Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,63.589285,[152  97] ; [ 36 132],[112.25899281 136.74100719] ; [75.74100719 92.25899281],1
v1,1,0.0,31.674135,[188  65] ; [79 88],[160.83571429  92.16428571] ; [106.16428571  60.83571429],1
b1,1,0.002772,8.951855,[ 88 168] ; [84 88],[102.87850467 153.12149533] ; [ 69.12149533 102.87850467],0
s4,1,0.005754,7.625923,[ 35 218] ; [ 41 127],[ 45.67220903 207.32779097] ; [ 30.32779097 137.67220903],0
s1,1,0.006918,7.294148,[  4 250] ; [ 11 157],[  9.02843602 244.97156398] ; [  5.97156398 162.02843602],0
a2,1,0.010704,6.513849,[ 79 177] ; [ 34 138],[ 67.58878505 188.41121495] ; [ 45.41121495 126.58878505],0
a5,1,0.021375,5.295928,[210  46] ; [125  47],[200.37383178  55.62616822] ; [134.62616822  37.37383178],0
p12,1,0.022787,5.184686,[ 34 222] ; [ 11 161],[ 26.91588785 229.08411215] ; [ 18.08411215 153.91588785],0
u1,1,0.036627,4.367694,[ 65 191] ; [ 29 143],[ 56.22429907 199.77570093] ; [ 37.77570093 134.22429907],0
a3,1,0.03704,4.348554,[201  55] ; [119  52],[191.8501171  64.1498829] ; [128.1498829  42.8501171],0
p11,1,0.054913,3.684725,[223  33] ; [138  34],[215.92523364  40.07476636] ; [145.07476636  26.92523364],0
d2,1,0.056223,3.64543,[147 108] ; [83 89],[137.35362998 117.64637002] ; [92.64637002 79.35362998],0
n2,1,0.058384,3.582714,[34  6] ; [19 10],[30.72463768  9.27536232] ; [22.27536232  6.72463768],0
d1,1,0.059055,3.563728,[176  80] ; [103  69],[166.87850467  89.12149533] ; [112.12149533  59.87850467],0
d4,1,0.063075,3.454614,[221  35] ; [136  35],[214.03278689  41.96721311] ; [142.96721311  28.03278689],0
p3,1,0.075991,3.148614,[184  72] ; [109  62],[175.66276347  80.33723653] ; [117.33723653  53.66276347],0
a7,1,0.076941,3.128361,[196  59] ; [119  53],[188.1147541  66.8852459] ; [126.8852459  45.1147541],0
d3,1,0.094478,2.796362,[193  63] ; [117  55],[185.42056075  70.57943925] ; [124.57943925  47.42056075],0
s3,1,0.095056,2.786598,[142 108] ; [111  60],[150.23752969  99.76247031] ; [102.76247031  68.23752969],0
p8,1,0.124926,2.354447,[178  76] ; [107  63],[170.73113208  83.26886792] ; [114.26886792  55.73113208],0
r1,1,0.130384,2.287925,[218  38] ; [136  35],[212.23419204  43.76580796] ; [141.76580796  29.23419204],0
n3,1,0.134891,2.235298,[31  9] ; [17 11],[28.23529412 11.76470588] ; [19.76470588  8.23529412],0
p9,1,0.14527,2.121232,[235  19] ; [152  20],[230.74647887  23.25352113] ; [156.25352113  15.74647887],0
d5,1,0.147166,2.101384,[224  32] ; [141  30],[218.82903981  37.17096019] ; [146.17096019  24.82903981],0
p1,1,0.161012,1.964696,[ 22 234] ; [ 22 150],[ 26.31775701 229.68224299] ; [ 17.68224299 154.31775701],0
p7,1,0.171234,1.87211,[194  59] ; [121  50],[187.95990566  65.04009434] ; [127.04009434  43.95990566],0
p10,1,0.18484,1.758274,[231  24] ; [147  23],[226.8  28.2] ; [151.2  18.8],0
a1,1,0.204613,1.60914,[ 16 240] ; [  6 166],[ 13.1588785 242.8411215] ; [  8.8411215 163.1588785],0
r4,1,0.239155,1.385571,[240  16] ; [156  16],[236.85981308  19.14018692] ; [159.14018692  12.85981308],0
b4,1,0.242569,1.365601,[153 103] ; [93 79],[147.14018692 108.85981308] ; [98.85981308 73.14018692],0
r3,1,0.255808,1.291301,[246   9] ; [161  10],[243.62676056  11.37323944] ; [163.37323944   7.62676056],0
a6,1,0.332249,0.940112,[181  75] ; [114  58],[176.44859813  79.55140187] ; [118.55140187  53.44859813],0
s5,1,0.336448,0.923921,[103 144] ; [ 61 104],[ 98.32038835 148.67961165] ; [65.67961165 99.32038835],0
a8,1,0.373147,0.793157,[ 35 186] ; [ 20 139],[ 31.98684211 189.01315789] ; [ 23.01315789 135.98684211],0
u4,1,0.481836,0.494705,[  9 247] ; [  4 168],[  7.77570093 248.22429907] ; [  5.22429907 166.77570093],0
s8,1,0.492843,0.470314,[136 116] ; [87 85],[132.53773585 119.46226415] ; [90.46226415 81.53773585],0
v4,1,0.53379,0.387171,[242  12] ; [166   6],[243.26760563  10.73239437] ; [164.73239437   7.26760563],0
a4,1,0.540179,0.375208,[130 125] ; [82 89],[126.90140845 128.09859155] ; [85.09859155 85.90140845],0
b3,1,0.549448,0.358308,[ 65 105] ; [46 64],[ 67.39285714 102.60714286] ; [43.60714286 66.39285714],0
b2,1,0.549448,0.358308,[ 65 105] ; [46 64],[ 67.39285714 102.60714286] ; [43.60714286 66.39285714],0
s7,1,0.572984,0.317715,[146  93] ; [95 68],[143.28109453  95.71890547] ; [97.71890547 65.28109453],0
n1,1,0.64944,0.206607,[18 21] ; [15 14],[18.92647059 20.07352941] ; [14.07352941 14.92647059],0
u3,1,0.672323,0.178897,[31 24] ; [32 21],[32.08333333 22.91666667] ; [30.91666667 22.08333333],0
s6,1,0.71058,0.137698,[190  60] ; [125  43],[188.39712919  61.60287081] ; [126.60287081  41.39712919],0
u2,1,0.759137,0.094012,[30 24] ; [31 22],[30.78504673 23.21495327] ; [30.21495327 22.78504673],0
s2,1,0.787785,0.072462,[142 109] ; [99 72],[143.3436019 107.6563981] ; [97.6563981 73.3436019],0
p6,1,0.793743,0.068358,[130 122] ; [86 85],[128.68085106 123.31914894] ; [87.31914894 83.68085106],0
p2,1,0.835792,0.042965,[235  21] ; [156  15],[234.41686183  21.58313817] ; [156.58313817  14.41686183],0
b5,1,0.863856,0.029401,[148 108] ; [98 74],[147.14018692 108.85981308] ; [98.85981308 73.14018692],0
p5,1,0.90185,0.015209,[ 50 206] ; [ 32 136],[ 49.50943396 206.49056604] ; [ 32.49056604 135.50943396],0
r2,1,0.904002,0.014546,[239  14] ; [162   9],[239.2759434  13.7240566] ; [161.7240566   9.2759434],0
n6,1,0.986977,0.000266,[237  18] ; [159  12],[237.04225352  17.95774648] ; [158.95774648  12.04225352],0
n4,1,0.994933,4e-05,[232  24] ; [155  16],[232.01873536  23.98126464] ; [154.98126464  16.01873536],0
