Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.008338,6.959472,[ 3 26] ; [10 14],[ 7.11320755 21.88679245] ; [ 5.88679245 18.11320755],0
a3,1,0.011973,6.314843,[10 19] ; [16  7],[14.5 14.5] ; [11.5 11.5],0
d5,1,0.041967,4.136546,[10 19] ; [15  9],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
p11,1,0.047705,3.920336,[14 15] ; [18  6],[17.50943396 11.49056604] ; [14.49056604  9.50943396],0
a6,1,0.048914,3.878295,[ 8 21] ; [13 11],[11.49056604 17.50943396] ; [ 9.50943396 14.49056604],0
v1,1,0.049424,3.860909,[ 5 24] ; [10 14],[ 8.20754717 20.79245283] ; [ 6.79245283 17.20754717],0
r1,1,0.050667,3.819259,[ 7 22] ; [12 12],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
p9,1,0.061448,3.497857,[13 15] ; [16  6],[16.24 11.76] ; [12.76  9.24],0
a7,1,0.066405,3.369721,[12 17] ; [16  8],[15.32075472 13.67924528] ; [12.67924528 11.32075472],0
r3,1,0.082187,3.021117,[16 13] ; [18  5],[18.96153846 10.03846154] ; [15.03846154  7.96153846],0
v4,1,0.138591,2.193539,[18 11] ; [10 14],[15.32075472 13.67924528] ; [12.67924528 11.32075472],0
n1,1,0.168509,1.896162,[ 2 13] ; [4 7],[ 3.46153846 11.53846154] ; [2.53846154 8.46153846],0
d1,1,0.175308,1.836958,[ 5 24] ; [ 8 16],[ 7.11320755 21.88679245] ; [ 5.88679245 18.11320755],0
p4,1,0.176271,1.828789,[ 6 23] ; [ 9 15],[ 8.20754717 20.79245283] ; [ 6.79245283 17.20754717],0
s3,1,0.179733,1.799831,[ 8 20] ; [ 3 20],[ 6.03921569 21.96078431] ; [ 4.96078431 18.03921569],0
s7,1,0.186284,1.746767,[ 4 24] ; [ 6 14],[ 5.83333333 22.16666667] ; [ 4.16666667 15.83333333],0
s1,1,0.214317,1.542026,[ 1 28] ; [ 3 21],[ 2.18867925 26.81132075] ; [ 1.81132075 22.18867925],0
b2,1,0.252595,1.308892,[ 3 14] ; [5 9],[ 4.38709677 12.61290323] ; [ 3.61290323 10.38709677],0
b3,1,0.252595,1.308892,[ 3 14] ; [5 9],[ 4.38709677 12.61290323] ; [ 3.61290323 10.38709677],0
u2,1,0.280077,1.166717,[10  9] ; [6 2],[11.25925926  7.74074074] ; [4.74074074 3.25925926],0
d2,1,0.291533,1.112528,[ 7 22] ; [ 9 15],[ 8.75471698 20.24528302] ; [ 7.24528302 16.75471698],0
r4,1,0.301795,1.066247,[ 5 24] ; [ 7 17],[ 6.56603774 22.43396226] ; [ 5.43396226 18.56603774],0
p10,1,0.3039,1.057001,[13 15] ; [14  9],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
s2,1,0.313359,1.016463,[ 7 22] ; [ 3 20],[ 5.57692308 23.42307692] ; [ 4.42307692 18.57692308],0
d4,1,0.35608,0.851671,[17 12] ; [17  7],[18.60377358 10.39622642] ; [15.39622642  8.60377358],0
p5,1,0.420229,0.649675,[ 1 28] ; [ 2 21],[ 1.67307692 27.32692308] ; [ 1.32692308 21.67307692],0
p7,1,0.421725,0.645502,[ 9 20] ; [10 14],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
b4,1,0.441493,0.592398,[21  8] ; [15  9],[19.69811321  9.30188679] ; [16.30188679  7.69811321],0
s8,1,0.475242,0.509762,[ 6 23] ; [ 7 17],[ 7.11320755 21.88679245] ; [ 5.88679245 18.11320755],0
v2,1,0.477091,0.505506,[ 9 19] ; [10 14],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
