Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9.8e-05,15.165976,[26 55] ; [22  8],[35.02702703 45.97297297] ; [12.97297297 17.02702703],1
r1,1,0.008037,7.025317,[39 45] ; [23  8],[45.28695652 38.71304348] ; [16.71304348 14.28695652],0
n4,1,0.010727,6.509969,[49 35] ; [26  5],[54.7826087 29.2173913] ; [20.2173913 10.7826087],0
r4,1,0.015365,5.874153,[44 40] ; [24  7],[49.66956522 34.33043478] ; [18.33043478 12.66956522],0
v1,1,0.020146,5.399161,[27 56] ; [17 13],[32.31858407 50.68141593] ; [11.68141593 18.31858407],0
p8,1,0.023749,5.11285,[24 60] ; [15 14],[28.99115044 55.00884956] ; [10.00884956 18.99115044],0
d4,1,0.023915,5.100756,[48 35] ; [25  6],[53.14912281 29.85087719] ; [19.85087719 11.14912281],0
s8,1,0.028194,4.816169,[10 74] ; [ 9 22],[13.87826087 70.12173913] ; [ 5.12173913 25.87826087],0
p7,1,0.030417,4.685557,[39 44] ; [21  9],[44.07079646 38.92920354] ; [15.92920354 14.07079646],0
r2,1,0.034677,4.460993,[62 21] ; [27  2],[65.95535714 17.04464286] ; [23.04464286  5.95535714],0
n3,1,0.0349,4.450056,[19 15] ; [10  1],[21.91111111 12.08888889] ; [7.08888889 3.91111111],0
n5,1,0.039251,4.249956,[53 30] ; [26  5],[57.51754386 25.48245614] ; [21.48245614  9.51754386],0
b1,1,0.042324,4.122198,[45 39] ; [10 21],[40.17391304 43.82608696] ; [14.82608696 16.17391304],0
d5,1,0.044603,4.033592,[42 42] ; [22  9],[46.74782609 37.25217391] ; [17.25217391 13.74782609],0
v4,1,0.050011,3.841079,[60 22] ; [28  3],[63.85840708 18.14159292] ; [24.14159292  6.85840708],0
a5,1,0.055027,3.681254,[40 44] ; [21 10],[44.55652174 39.44347826] ; [16.44347826 14.55652174],0
u1,1,0.088652,2.898687,[ 2 82] ; [ 3 28],[ 3.65217391 80.34782609] ; [ 1.34782609 29.65217391],0
p3,1,0.090253,2.869861,[20 64] ; [12 18],[23.57894737 60.42105263] ; [ 8.42105263 21.57894737],0
