Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000367,12.694505,[ 6 64] ; [15 27],[13.125 56.875] ; [ 7.875 34.125],1
r3,1,0.000409,12.491314,[50 24] ; [42  2],[57.69491525 16.30508475] ; [34.30508475  9.69491525],1
s6,1,0.000553,11.92637,[20 54] ; [26 18],[28.84745763 45.15254237] ; [17.15254237 26.84745763],1
p7,1,0.000885,11.053685,[22 49] ; [27 16],[30.51754386 40.48245614] ; [18.48245614 24.51754386],1
s8,1,0.000901,11.019862,[ 6 68] ; [14 30],[12.54237288 61.45762712] ; [ 7.45762712 36.54237288],1
p3,1,0.001087,10.672523,[14 59] ; [21 23],[21.83760684 51.16239316] ; [13.16239316 30.83760684],0
s2,1,0.002193,9.380489,[12 62] ; [18 25],[18.97435897 55.02564103] ; [11.02564103 31.97435897],0
r4,1,0.003571,8.490239,[41 33] ; [36  8],[48.28813559 25.71186441] ; [28.71186441 15.28813559],0
a5,1,0.004968,7.890909,[36 38] ; [33 11],[43.27118644 30.72881356] ; [25.72881356 18.27118644],0
p8,1,0.012547,6.231881,[19 54] ; [21 22],[25.17241379 47.82758621] ; [14.82758621 28.17241379],0
u3,1,0.013266,6.133333,[11 19] ; [12  4],[15. 15.] ; [8. 8.],0
v2,1,0.013532,6.098222,[21 49] ; [22 19],[27.11711712 42.88288288] ; [15.88288288 25.11711712],0
p2,1,0.014573,5.967392,[40 34] ; [33 10],[46.17094017 27.82905983] ; [26.82905983 16.17094017],0
d5,1,0.03519,4.43592,[45 29] ; [35  9],[50.16949153 23.83050847] ; [29.83050847 14.16949153],0
p11,1,0.045322,4.006603,[33 41] ; [28 16],[38.25423729 35.74576271] ; [22.74576271 21.25423729],0
v4,1,0.046906,3.94875,[52 22] ; [38  6],[56.44067797 17.55932203] ; [33.55932203 10.44067797],0
d1,1,0.048032,3.908871,[25 49] ; [23 21],[30.10169492 43.89830508] ; [17.89830508 26.10169492],0
d3,1,0.073285,3.207872,[34 39] ; [28 16],[38.68376068 34.31623932] ; [23.31623932 20.68376068],0
r2,1,0.074219,3.187154,[57 16] ; [40  4],[60.52136752 12.47863248] ; [36.47863248  7.52136752],0
p5,1,0.109936,2.555136,[ 1 72] ; [ 3 40],[ 2.51724138 70.48275862] ; [ 1.48275862 41.51724138],0
s3,1,0.120766,2.407364,[25 48] ; [21 22],[28.94827586 44.05172414] ; [17.05172414 25.94827586],0
u1,1,0.126678,2.332754,[ 3 71] ; [ 5 39],[ 5.01694915 68.98305085] ; [ 2.98305085 41.01694915],0
r1,1,0.134632,2.238261,[45 29] ; [32 11],[48.7008547 25.2991453] ; [28.2991453 14.7008547],0
n3,1,0.136886,2.212615,[16 13] ; [11  3],[18.20930233 10.79069767] ; [8.79069767 5.20930233],0
v1,1,0.139792,2.18025,[22 50] ; [19 24],[25.66956522 46.33043478] ; [15.33043478 27.66956522],0
b2,1,0.148188,2.090801,[ 9 29] ; [12 18],[11.73529412 26.26470588] ; [ 9.26470588 20.73529412],0
b3,1,0.148188,2.090801,[ 9 29] ; [12 18],[11.73529412 26.26470588] ; [ 9.26470588 20.73529412],0
n1,1,0.148439,2.088218,[ 8 21] ; [7 7],[10.11627907 18.88372093] ; [4.88372093 9.11627907],0
