Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7e-06,20.261759,[41 49] ; [ 4 45],[29.13669065 60.86330935] ; [15.86330935 33.13669065],1
p8,1,3.9e-05,16.897465,[55 34] ; [12 36],[43.52554745 45.47445255] ; [23.47445255 24.52554745],1
p4,1,0.00732,7.192622,[58 32] ; [20 29],[50.50359712 39.49640288] ; [27.49640288 21.50359712],0
u2,1,0.011974,6.314717,[26 20] ; [ 6 18],[21.02857143 24.97142857] ; [10.97142857 13.02857143],0
p3,1,0.02525,5.006674,[46 44] ; [15 33],[39.7826087 50.2173913] ; [21.2173913 26.7826087],0
b1,1,0.037761,4.315748,[40 50] ; [13 36],[34.31654676 55.68345324] ; [18.68345324 30.31654676],0
s7,1,0.060824,3.514767,[41 43] ; [15 32],[35.90839695 48.09160305] ; [20.09160305 26.90839695],0
a4,1,0.065957,3.380883,[25 64] ; [ 7 42],[20.63768116 68.36231884] ; [11.36231884 37.63768116],0
s5,1,0.08163,3.032147,[24 64] ; [ 7 42],[19.91240876 68.08759124] ; [11.08759124 37.91240876],0
s8,1,0.10203,2.673525,[36 53] ; [13 36],[31.60144928 57.39855072] ; [17.39855072 31.60144928],0
p5,1,0.115302,2.479997,[11 79] ; [ 2 47],[ 8.41726619 81.58273381] ; [ 4.58273381 44.41726619],0
d3,1,0.242707,1.364802,[30 58] ; [12 37],[26.97810219 61.02189781] ; [15.02189781 33.97810219],0
a7,1,0.24463,1.353715,[58 31] ; [27 22],[54.81884058 34.18115942] ; [30.18115942 18.81884058],0
n1,1,0.255623,1.292308,[11 15] ; [ 4 12],[ 9.28571429 16.71428571] ; [ 5.71428571 10.28571429],0
b3,1,0.257489,1.282207,[16 42] ; [ 4 21],[13.97590361 44.02409639] ; [ 6.02409639 18.97590361],0
b2,1,0.257489,1.282207,[16 42] ; [ 4 21],[13.97590361 44.02409639] ; [ 6.02409639 18.97590361],0
v3,1,0.308563,1.036817,[28 62] ; [11 37],[25.43478261 64.56521739] ; [13.56521739 34.43478261],0
p12,1,0.32999,0.948936,[ 5 85] ; [ 1 48],[ 3.88489209 86.11510791] ; [ 2.11510791 46.88489209],0
a2,1,0.334515,0.931339,[10 80] ; [ 3 46],[ 8.41726619 81.58273381] ; [ 4.58273381 44.41726619],0
b4,1,0.352146,0.865708,[44 46] ; [28 21],[46.61870504 43.38129496] ; [25.38129496 23.61870504],0
a8,1,0.38215,0.763773,[ 8 77] ; [ 6 35],[ 9.44444444 75.55555556] ; [ 4.55555556 36.44444444],0
n3,1,0.440918,0.593891,[22  4] ; [12  4],[21.04761905  4.95238095] ; [12.95238095  3.04761905],0
r2,1,0.463688,0.536977,[80  9] ; [42  7],[78.68115942 10.31884058] ; [43.31884058  5.68115942],0
p1,1,0.47685,0.506059,[13 77] ; [ 5 44],[11.65467626 78.34532374] ; [ 6.34532374 42.65467626],0
d2,1,0.495617,0.46431,[23 67] ; [10 39],[21.36690647 68.63309353] ; [11.63309353 37.36690647],0
a5,1,0.537622,0.379965,[49 41] ; [24 25],[47.26618705 42.73381295] ; [25.73381295 23.26618705],0
n2,1,0.545895,0.364724,[19  7] ; [13  3],[19.80952381  6.19047619] ; [12.19047619  3.80952381],0
d5,1,0.593574,0.284797,[46 43] ; [23 26],[44.5 44.5] ; [24.5 24.5],0
r4,1,0.617094,0.249974,[73 17] ; [38 11],[71.8705036 18.1294964] ; [39.1294964  9.8705036],0
n4,1,0.648972,0.207199,[65 24] ; [34 15],[63.84782609 25.15217391] ; [35.15217391 13.84782609],0
v2,1,0.663378,0.189446,[39 49] ; [19 28],[37.80740741 50.19259259] ; [20.19259259 26.80740741],0
p11,1,0.675245,0.175528,[69 21] ; [36 13],[67.98561151 22.01438849] ; [37.01438849 11.98561151],0
s1,1,0.678436,0.171892,[ 1 86] ; [ 1 48],[ 1.27941176 85.72058824] ; [ 0.72058824 48.27941176],0
b5,1,0.693051,0.155803,[52 38] ; [30 19],[53.09352518 36.90647482] ; [28.90647482 20.09352518],0
s2,1,0.696734,0.151892,[33 57] ; [16 32],[31.95652174 58.04347826] ; [17.04347826 30.95652174],0
d1,1,0.704217,0.144122,[ 5 85] ; [ 2 47],[ 4.5323741 85.4676259] ; [ 2.4676259 46.5323741],0
v4,1,0.732573,0.116763,[83  6] ; [44  4],[82.50364964  6.49635036] ; [44.49635036  3.50364964],0
r1,1,0.755882,0.096654,[58 30] ; [31 18],[57.16788321 30.83211679] ; [31.83211679 17.16788321],0
v1,1,0.788971,0.071635,[37 50] ; [22 27],[37.74264706 49.25735294] ; [21.25735294 27.74264706],0
r3,1,0.808221,0.058914,[80 10] ; [42  6],[79.56521739 10.43478261] ; [42.43478261  5.56521739],0
a3,1,0.810231,0.057661,[44 46] ; [25 24],[44.67625899 45.32374101] ; [24.32374101 24.67625899],0
n6,1,0.816188,0.054033,[72 18] ; [40  9],[72.51798561 17.48201439] ; [39.48201439  9.51798561],0
u3,1,0.837105,0.042271,[18 28] ; [10 14],[18.4 27.6] ; [ 9.6 14.4],0
p10,1,0.843911,0.038767,[66 22] ; [36 13],[65.51824818 22.48175182] ; [36.48175182 12.51824818],0
s4,1,0.915989,0.011128,[17 72] ; [ 9 40],[16.76811594 72.23188406] ; [ 9.23188406 39.76811594],0
s6,1,0.936201,0.006407,[48 38] ; [27 22],[47.77777778 38.22222222] ; [27.22222222 21.77777778],0
a6,1,0.942319,0.005235,[52 38] ; [28 21],[51.79856115 38.20143885] ; [28.20143885 20.79856115],0
s3,1,0.94997,0.003937,[45 44] ; [24 24],[44.82481752 44.17518248] ; [24.17518248 23.82481752],0
n5,1,0.955908,0.003057,[65 24] ; [36 13],[65.13768116 23.86231884] ; [35.86231884 13.13768116],0
p9,1,0.997536,1e-05,[69 20] ; [38 11],[69.00724638 19.99275362] ; [37.99275362 11.00724638],0
