Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,39.439776,[37  5] ; [18 50],[21. 21.] ; [34. 34.],1
d2,1,0.0,32.035129,[35  6] ; [20 48],[20.68807339 20.31192661] ; [34.31192661 33.68807339],1
d4,1,0.0,30.714355,[40  2] ; [29 39],[26.34545455 15.65454545] ; [42.65454545 25.34545455],1
d5,1,0.0,26.653562,[40  2] ; [32 36],[27.49090909 14.50909091] ; [44.50909091 23.49090909],1
a2,1,0.000125,14.713807,[13 29] ; [ 3 65],[ 6.10909091 35.89090909] ; [ 9.89090909 58.10909091],1
a5,1,0.00034,12.838469,[32 10] ; [28 40],[22.90909091 19.09090909] ; [37.09090909 30.90909091],1
a4,1,0.001333,10.296298,[23 18] ; [17 50],[15.18518519 25.81481481] ; [24.81481481 42.18518519],0
a3,1,0.013327,6.125221,[29 13] ; [30 37],[22.73394495 19.26605505] ; [36.26605505 30.73394495],0
s8,1,0.015794,5.825714,[11 31] ; [ 6 61],[ 6.55045872 35.44954128] ; [10.44954128 56.55045872],0
a7,1,0.024177,5.08192,[29 13] ; [32 36],[23.29090909 18.70909091] ; [37.70909091 30.29090909],0
r2,1,0.030675,4.67105,[38  3] ; [52 16],[33.85321101  7.14678899] ; [56.14678899 11.85321101],0
p8,1,0.031612,4.619404,[16 26] ; [13 54],[11.17431193 30.82568807] ; [17.82568807 49.17431193],0
v3,1,0.037704,4.318342,[ 4 38] ; [17 49],[ 8.16666667 33.83333333] ; [12.83333333 53.16666667],0
s2,1,0.057177,3.617426,[16 25] ; [15 53],[11.66055046 29.33944954] ; [19.33944954 48.66055046],0
n3,1,0.080766,3.049412,[ 7 12] ; [17 10],[9.91304348 9.08695652] ; [14.08695652 12.91304348],0
b1,1,0.106878,2.59979,[27 15] ; [33 35],[22.90909091 19.09090909] ; [37.09090909 30.90909091],0
a1,1,0.141499,2.161583,[ 5 37] ; [ 3 65],[ 3.05454545 38.94545455] ; [ 4.94545455 63.05454545],0
u2,1,0.167561,1.904629,[8 5] ; [15 23],[5.8627451 7.1372549] ; [17.1372549 20.8627451],0
a6,1,0.171723,1.867837,[26 16] ; [33 35],[22.52727273 19.47272727] ; [36.47272727 31.52727273],0
v1,1,0.176306,1.828494,[ 7 35] ; [19 49],[ 9.92727273 32.07272727] ; [16.07272727 51.92727273],0
p7,1,0.181901,1.78202,[14 28] ; [31 36],[17.33944954 24.66055046] ; [27.66055046 39.33944954],0
