Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.1e-05,18.095238,[18 94] ; [20 20],[28. 84.] ; [10. 30.],1
v3,1,0.001477,10.10707,[53 62] ; [32 11],[61.86708861 53.13291139] ; [23.13291139 19.86708861],0
s2,1,0.004121,8.229659,[ 18 102] ; [15 27],[24.44444444 95.55555556] ; [ 8.55555556 33.44444444],0
s3,1,0.006393,7.435912,[23 96] ; [17 25],[29.56521739 89.43478261] ; [10.43478261 31.56521739],0
p6,1,0.008007,7.031972,[27 88] ; [19 23],[33.69426752 81.30573248] ; [12.30573248 29.69426752],0
p3,1,0.014456,5.98155,[48 69] ; [27 16],[54.84375 62.15625] ; [20.15625 22.84375],0
r4,1,0.037838,4.312301,[99 21] ; [41  2],[103.06748466  16.93251534] ; [36.93251534  6.06748466],0
p9,1,0.044619,4.032966,[86 32] ; [37  5],[90.7125 27.2875] ; [32.2875  9.7125],0
n5,1,0.046462,3.964763,[74 46] ; [33  9],[79.25925926 40.74074074] ; [27.74074074 14.25925926],0
a3,1,0.048527,3.891648,[85 35] ; [37  6],[89.81595092 30.18404908] ; [32.18404908 10.81595092],0
b3,1,0.05551,3.666704,[25 42] ; [20 15],[29.55882353 37.44117647] ; [15.44117647 19.55882353],0
b2,1,0.05551,3.666704,[25 42] ; [20 15],[29.55882353 37.44117647] ; [15.44117647 19.55882353],0
v1,1,0.057047,3.621211,[62 55] ; [30 13],[67.275 49.725] ; [24.725 18.275],0
d2,1,0.05929,3.557134,[52 67] ; [26 17],[57.2962963 61.7037037] ; [20.7037037 22.2962963],0
n4,1,0.060089,3.534928,[86 34] ; [37  6],[90.55214724 29.44785276] ; [32.44785276 10.55214724],0
p12,1,0.062759,3.462939,[  3 115] ; [ 4 39],[  5.13043478 112.86956522] ; [ 1.86956522 41.13043478],0
p2,1,0.066419,3.369364,[92 26] ; [39  4],[96.01242236 21.98757764] ; [34.98757764  8.01242236],0
p4,1,0.097889,2.739609,[53 63] ; [26 17],[57.63522013 58.36477987] ; [21.36477987 21.63522013],0
p8,1,0.114055,2.497119,[57 60] ; [27 16],[61.425 55.575] ; [22.575 20.425],0
s5,1,0.118444,2.437771,[ 17 102] ; [10 30],[20.20754717 98.79245283] ; [ 6.79245283 33.20754717],0
a8,1,0.126505,2.334875,[  8 101] ; [ 6 32],[10.38095238 98.61904762] ; [ 3.61904762 34.38095238],0
p11,1,0.135459,2.228798,[97 23] ; [39  4],[100.12269939  19.87730061] ; [35.87730061  7.12269939],0
d1,1,0.157538,1.997699,[69 51] ; [30 13],[72.88343558 47.11656442] ; [26.11656442 16.88343558],0
p7,1,0.16477,1.929896,[71 47] ; [31 12],[74.75776398 43.24223602] ; [27.24223602 15.75776398],0
p10,1,0.175458,1.835685,[86 32] ; [35  7],[89.2375 28.7625] ; [31.7625 10.2375],0
a5,1,0.177508,1.818366,[85 35] ; [35  8],[88.34355828 31.65644172] ; [31.65644172 11.34355828],0
a1,1,0.180998,1.789415,[  3 117] ; [ 3 40],[  4.41717791 115.58282209] ; [ 1.58282209 41.41717791],0
a4,1,0.214321,1.541993,[51 69] ; [23 20],[54.47852761 65.52147239] ; [19.52147239 23.47852761],0
p5,1,0.217578,1.520274,[  7 112] ; [ 5 38],[  8.81481481 110.18518519] ; [ 3.18518519 39.81481481],0
u3,1,0.223946,1.478905,[14 21] ; [4 2],[15.36585366 19.63414634] ; [2.63414634 3.36585366],0
p1,1,0.22885,1.447992,[ 13 107] ; [ 2 41],[ 11.04294479 108.95705521] ; [ 3.95705521 39.04294479],0
n6,1,0.23143,1.432049,[93 27] ; [37  6],[95.70552147 24.29447853] ; [34.29447853  8.70552147],0
u1,1,0.253274,1.305155,[ 14 106] ; [ 8 35],[ 16.19631902 103.80368098] ; [ 5.80368098 37.19631902],0
s1,1,0.265914,1.237703,[  2 118] ; [ 2 40],[  2.96296296 117.03703704] ; [ 1.03703704 40.96296296],0
r3,1,0.28065,1.16394,[111   8] ; [42  1],[112.38888889   6.61111111] ; [40.61111111  2.38888889],0
d3,1,0.396499,0.718919,[78 42] ; [31 12],[80.24539877 39.75460123] ; [28.75460123 14.24539877],0
r2,1,0.406874,0.687915,[107  10] ; [41  2],[108.225   8.775] ; [39.775  3.225],0
a7,1,0.43708,0.603937,[81 38] ; [32 11],[83.00617284 35.99382716] ; [29.99382716 13.00617284],0
