Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.961785,[46 14] ; [13 31],[34.03846154 25.96153846] ; [24.96153846 19.03846154],1
u3,1,0.001421,10.17797,[ 2 20] ; [10  8],[ 6.6 15.4] ; [ 5.4 12.6],0
u2,1,0.004862,7.930012,[ 3 19] ; [10  8],[ 7.15 14.85] ; [ 5.85 12.15],0
n1,1,0.00698,7.278195,[12  9] ; [ 3 16],[ 7.875 13.125] ; [ 7.125 11.875],0
a5,1,0.007711,7.099351,[39 21] ; [17 27],[32.30769231 27.69230769] ; [23.69230769 20.30769231],0
v4,1,0.023286,5.147061,[38 22] ; [36  7],[43.10679612 16.89320388] ; [30.89320388 12.10679612],0
s1,1,0.024224,5.078547,[ 2 58] ; [ 7 37],[ 5.19230769 54.80769231] ; [ 3.80769231 40.19230769],0
n6,1,0.056534,3.636243,[34 25] ; [17 27],[29.21359223 29.78640777] ; [21.78640777 22.21359223],0
b2,1,0.072142,3.233589,[16 17] ; [ 6 18],[12.73684211 20.26315789] ; [ 9.26315789 14.73684211],0
b3,1,0.072142,3.233589,[16 17] ; [ 6 18],[12.73684211 20.26315789] ; [ 9.26315789 14.73684211],0
p4,1,0.123711,2.369695,[10 48] ; [13 30],[13.20792079 44.79207921] ; [ 9.79207921 33.20792079],0
a4,1,0.132816,2.259283,[26 33] ; [13 31],[22.33980583 36.66019417] ; [16.66019417 27.33980583],0
r3,1,0.15131,2.05899,[34 26] ; [31 13],[37.5 22.5] ; [27.5 16.5],0
p3,1,0.1716,1.86891,[17 43] ; [ 7 35],[14.11764706 45.88235294] ; [ 9.88235294 32.11764706],0
a8,1,0.175875,1.83214,[ 5 49] ; [ 1 40],[ 3.41052632 50.58947368] ; [ 2.58947368 38.41052632],0
a1,1,0.201915,1.628467,[ 7 53] ; [ 2 42],[ 5.19230769 54.80769231] ; [ 3.80769231 40.19230769],0
a2,1,0.215104,1.536739,[14 46] ; [ 6 38],[11.53846154 48.46153846] ; [ 8.46153846 35.53846154],0
b5,1,0.262638,1.254797,[33 27] ; [29 15],[35.76923077 24.23076923] ; [26.23076923 17.76923077],0
n2,1,0.277913,1.177267,[13  9] ; [ 8 11],[11.26829268 10.73170732] ; [9.73170732 9.26829268],0
a6,1,0.281097,1.161778,[39 21] ; [24 20],[36.34615385 23.65384615] ; [26.65384615 17.34615385],0
a7,1,0.302874,1.061499,[33 27] ; [28 15],[35.53398058 24.46601942] ; [25.46601942 17.53398058],0
v3,1,0.323759,0.973699,[16 42] ; [ 8 34],[13.92 44.08] ; [10.08 31.92],0
p10,1,0.359661,0.839077,[20 39] ; [18 24],[22.1980198 36.8019802] ; [15.8019802 26.1980198],0
s4,1,0.368005,0.81039,[ 6 54] ; [ 7 37],[ 7.5 52.5] ; [ 5.5 38.5],0
r2,1,0.368136,0.809947,[45 11] ; [32 12],[43.12 12.88] ; [33.88 10.12],0
d5,1,0.376443,0.782287,[40 20] ; [25 18],[37.86407767 22.13592233] ; [27.13592233 15.86407767],0
s7,1,0.382078,0.764005,[11 45] ; [ 5 34],[ 9.43157895 46.56842105] ; [ 6.56842105 32.43157895],0
v1,1,0.393702,0.727479,[17 43] ; [ 9 34],[15.14563107 44.85436893] ; [10.85436893 32.14563107],0
r1,1,0.47665,0.506518,[31 28] ; [20 24],[29.21359223 29.78640777] ; [21.78640777 22.21359223],0
d2,1,0.50842,0.437318,[28 31] ; [18 26],[26.34951456 32.65048544] ; [19.65048544 24.34951456],0
d1,1,0.51636,0.421157,[27 33] ; [17 27],[25.38461538 34.61538462] ; [18.61538462 25.38461538],0
p2,1,0.560131,0.339477,[30 30] ; [19 24],[28.54368932 31.45631068] ; [20.45631068 22.54368932],0
a3,1,0.602321,0.271509,[38 20] ; [26 17],[36.75247525 21.24752475] ; [27.24752475 15.75247525],0
s8,1,0.604532,0.268214,[ 5 55] ; [ 5 39],[ 5.76923077 54.23076923] ; [ 4.23076923 39.76923077],0
p6,1,0.61276,0.256175,[12 46] ; [ 7 35],[11.02 46.98] ; [ 7.98 34.02],0
b4,1,0.646688,0.210101,[30 30] ; [24 20],[31.15384615 28.84615385] ; [22.84615385 21.15384615],0
d3,1,0.668574,0.183274,[34 26] ; [22 20],[32.94117647 27.05882353] ; [23.05882353 18.94117647],0
p9,1,0.676772,0.173783,[24 33] ; [19 22],[25.01020408 31.98979592] ; [17.98979592 23.01020408],0
b1,1,0.691398,0.157576,[29 31] ; [23 21],[30. 30.] ; [22. 22.],0
s5,1,0.762279,0.0915,[ 5 53] ; [ 3 40],[ 4.59405941 53.40594059] ; [ 3.40594059 39.59405941],0
p7,1,0.776743,0.08041,[19 40] ; [15 28],[19.66666667 39.33333333] ; [14.33333333 28.66666667],0
p8,1,0.777538,0.079823,[14 45] ; [11 31],[14.6039604 44.3960396] ; [10.3960396 31.6039604],0
d4,1,0.796388,0.066577,[39 21] ; [29 14],[39.61165049 20.38834951] ; [28.38834951 14.61165049],0
v2,1,0.818397,0.052719,[15 43] ; [12 31],[15.5049505 42.4950495] ; [11.4950495 31.5049505],0
s3,1,0.82801,0.0472,[16 42] ; [13 31],[16.49019608 41.50980392] ; [12.50980392 31.49019608],0
r4,1,0.866603,0.028216,[29 31] ; [22 22],[29.42307692 30.57692308] ; [21.57692308 22.42307692],0
u1,1,0.876531,0.024139,[ 6 54] ; [ 4 40],[ 5.76923077 54.23076923] ; [ 4.23076923 39.76923077],0
s2,1,0.898982,0.016116,[ 9 51] ; [ 7 37],[ 9.23076923 50.76923077] ; [ 6.76923077 37.23076923],0
p1,1,0.914748,0.01146,[ 3 57] ; [ 2 42],[ 2.88461538 57.11538462] ; [ 2.11538462 41.88461538],0
n3,1,1.0,0.0,[ 9 10] ; [ 9 10],[ 9. 10.] ; [ 9. 10.],0
