Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.005039,7.865327,[5 3] ; [ 1 13],[2.18181818 5.81818182] ; [ 3.81818182 10.18181818],0
s2,1,0.040491,4.197192,[7 1] ; [6 8],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
p9,1,0.040491,4.197192,[7 1] ; [6 8],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
p2,1,0.040491,4.197192,[7 1] ; [6 8],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
p11,1,0.078593,3.09375,[7 1] ; [7 7],[5.09090909 2.90909091] ; [8.90909091 5.09090909],0
n4,1,0.078593,3.09375,[7 1] ; [7 7],[5.09090909 2.90909091] ; [8.90909091 5.09090909],0
p6,1,0.088158,2.907692,[4 4] ; [ 2 11],[2.28571429 5.71428571] ; [3.71428571 9.28571429],0
b3,1,0.11863,2.435317,[2 3] ; [ 1 11],[0.88235294 4.11764706] ; [2.11764706 9.88235294],0
b2,1,0.11863,2.435317,[2 3] ; [ 1 11],[0.88235294 4.11764706] ; [2.11764706 9.88235294],0
b1,1,0.119467,2.424298,[3 5] ; [10  4],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
s7,1,0.12764,2.320976,[4 3] ; [ 3 10],[2.45 4.55] ; [4.55 8.45],0
d4,1,0.141407,2.162585,[7 1] ; [8 6],[5.45454545 2.54545455] ; [9.54545455 4.45454545],0
p4,1,0.141407,2.162585,[7 1] ; [8 6],[5.45454545 2.54545455] ; [9.54545455 4.45454545],0
n6,1,0.145251,2.121429,[6 2] ; [6 8],[4.36363636 3.63636364] ; [7.63636364 6.36363636],0
p8,1,0.153607,2.036058,[5 3] ; [4 9],[3.42857143 4.57142857] ; [5.57142857 7.42857143],0
d1,1,0.211346,1.562185,[3 5] ; [ 2 12],[1.81818182 6.18181818] ; [ 3.18181818 10.81818182],0
v1,1,0.239559,1.383185,[1 7] ; [5 9],[2.18181818 5.81818182] ; [ 3.81818182 10.18181818],0
s5,1,0.240366,1.378446,[2 6] ; [ 1 13],[1.09090909 6.90909091] ; [ 1.90909091 12.09090909],0
p12,1,0.240366,1.378446,[2 6] ; [ 1 13],[1.09090909 6.90909091] ; [ 1.90909091 12.09090909],0
p3,1,0.284117,1.14729,[5 3] ; [5 8],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
v2,1,0.314854,1.010204,[4 4] ; [ 4 10],[2.90909091 5.09090909] ; [5.09090909 8.90909091],0
n5,1,0.40227,0.701531,[6 2] ; [8 6],[5.09090909 2.90909091] ; [8.90909091 5.09090909],0
r4,1,0.415522,0.662946,[3 5] ; [ 3 11],[2.18181818 5.81818182] ; [ 3.81818182 10.18181818],0
p7,1,0.415522,0.662946,[5 3] ; [11  3],[5.81818182 2.18181818] ; [10.18181818  3.81818182],0
a3,1,0.512091,0.429792,[4 4] ; [9 5],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
u2,1,0.635256,0.225,[3 1] ; [3 2],[2.66666667 1.33333333] ; [3.33333333 1.66666667],0
r1,1,0.665362,0.187075,[3 5] ; [ 4 10],[2.54545455 5.45454545] ; [4.45454545 9.54545455],0
d2,1,0.665362,0.187075,[3 5] ; [ 4 10],[2.54545455 5.45454545] ; [4.45454545 9.54545455],0
p5,1,0.715501,0.132844,[1 7] ; [ 1 12],[0.76190476 7.23809524] ; [ 1.23809524 11.76190476],0
b4,1,0.746188,0.104762,[4 4] ; [6 8],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
d3,1,0.746188,0.104762,[4 4] ; [8 6],[4.36363636 3.63636364] ; [7.63636364 6.36363636],0
a5,1,0.746188,0.104762,[4 4] ; [6 8],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
u3,1,0.764177,0.09,[2 2] ; [3 2],[2.22222222 1.77777778] ; [2.77777778 2.22222222],0
v4,1,0.805803,0.06044,[5 3] ; [8 6],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
a7,1,0.805803,0.06044,[3 5] ; [6 8],[3.27272727 4.72727273] ; [5.72727273 8.27272727],0
d5,1,0.805803,0.06044,[5 3] ; [8 6],[4.72727273 3.27272727] ; [8.27272727 5.72727273],0
s4,1,0.847516,0.036975,[2 6] ; [ 3 11],[1.81818182 6.18181818] ; [ 3.18181818 10.81818182],0
a8,1,0.919964,0.010096,[2 6] ; [ 3 10],[1.9047619 6.0952381] ; [3.0952381 9.9047619],0
b5,1,0.933249,0.007015,[5 3] ; [9 5],[5.09090909 2.90909091] ; [8.90909091 5.09090909],0
a6,1,1.0,0.0,[4 4] ; [7 7],[4. 4.] ; [7. 7.],0
