Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.087476,[21 22] ; [64  7],[32.06140351 10.93859649] ; [52.93859649 18.06140351],1
p11,1,2e-06,22.177066,[10 33] ; [50 23],[22.24137931 20.75862069] ; [37.75862069 35.24137931],1
p7,1,4e-06,21.126472,[ 7 34] ; [44 27],[18.66964286 22.33035714] ; [32.33035714 38.66964286],1
r4,1,5e-06,20.906085,[16 27] ; [58 15],[27.43103448 15.56896552] ; [46.56896552 26.43103448],1
r3,1,1.3e-05,19.013061,[21 22] ; [63 10],[31.13793103 11.86206897] ; [52.86206897 20.13793103],1
s6,1,0.000926,10.969685,[ 6 37] ; [32 41],[14.0862069 28.9137931] ; [23.9137931 49.0862069],1
v1,1,0.003181,8.700345,[ 8 35] ; [33 39],[15.33043478 27.66956522] ; [25.66956522 46.33043478],0
p10,1,0.003391,8.584044,[12 30] ; [41 31],[19.52631579 22.47368421] ; [33.47368421 38.52631579],0
p8,1,0.006129,7.511969,[ 8 34] ; [32 40],[14.73684211 27.26315789] ; [25.26315789 46.73684211],0
r1,1,0.007755,7.089162,[22 21] ; [55 18],[28.54310345 14.45689655] ; [48.45689655 24.54310345],0
a1,1,0.00847,6.931357,[ 7 36] ; [ 2 71],[ 3.3362069 39.6637931] ; [ 5.6637931 67.3362069],0
p9,1,0.010046,6.626674,[17 25] ; [47 25],[23.57894737 18.42105263] ; [40.42105263 31.57894737],0
p4,1,0.010644,6.523736,[ 8 34] ; [31 42],[14.24347826 27.75652174] ; [24.75652174 48.24347826],0
v2,1,0.018767,5.523141,[10 30] ; [33 36],[15.77981651 24.22018349] ; [27.22018349 41.77981651],0
p3,1,0.021496,5.28613,[ 7 35] ; [27 46],[12.4173913 29.5826087] ; [21.5826087 51.4173913],0
a6,1,0.029828,4.719182,[22 21] ; [52 21],[27.43103448 15.56896552] ; [46.56896552 26.43103448],0
p6,1,0.03194,4.601698,[ 3 39] ; [16 54],[ 7.125 34.875] ; [11.875 58.125],0
b5,1,0.03387,4.50123,[19 24] ; [47 26],[24.46551724 18.53448276] ; [41.53448276 31.46551724],0
s8,1,0.035719,4.410492,[ 3 40] ; [16 57],[ 7.04310345 35.95689655] ; [11.95689655 61.04310345],0
n3,1,0.041852,4.141176,[ 9 11] ; [18  6],[12.27272727  7.72727273] ; [14.72727273  9.27272727],0
s1,1,0.054781,3.688724,[ 5 38] ; [ 2 70],[ 2.6173913 40.3826087] ; [ 4.3826087 67.6173913],0
r2,1,0.069232,3.301134,[29 13] ; [61 12],[32.86956522  9.13043478] ; [57.13043478 15.86956522],0
d3,1,0.077657,3.113261,[19 24] ; [44 28],[23.55652174 19.44347826] ; [39.44347826 32.55652174],0
n2,1,0.080766,3.049412,[10 12] ; [17  7],[12.91304348  9.08695652] ; [14.08695652  9.91304348],0
n1,1,0.098145,2.735431,[11 11] ; [ 6 17],[ 8.31111111 13.68888889] ; [ 8.68888889 14.31111111],0
s7,1,0.116326,2.466108,[ 4 35] ; [15 52],[ 6.99056604 32.00943396] ; [12.00943396 54.99056604],0
a4,1,0.120766,2.407364,[21 22] ; [25 48],[17.05172414 25.94827586] ; [28.94827586 44.05172414],0
b2,1,0.122084,2.390384,[13 18] ; [ 9 28],[10.02941176 20.97058824] ; [11.97058824 25.02941176],0
b3,1,0.122084,2.390384,[13 18] ; [ 9 28],[10.02941176 20.97058824] ; [11.97058824 25.02941176],0
d4,1,0.164153,1.935547,[25 18] ; [51 21],[28.4173913 14.5826087] ; [47.5826087 24.4173913],0
a7,1,0.169944,1.88344,[24 19] ; [50 23],[27.43103448 15.56896552] ; [46.56896552 26.43103448],0
s4,1,0.17282,1.858313,[ 2 41] ; [ 9 64],[ 4.07758621 38.92241379] ; [ 6.92241379 66.07758621],0
s5,1,0.207547,1.588458,[ 3 38] ; [11 60],[ 5.125 35.875] ; [ 8.875 62.125],0
