Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.147365,[47  8] ; [97 94],[32.19512195 22.80487805] ; [111.80487805  79.19512195],1
s2,1,9e-06,19.667651,[38 17] ; [ 67 122],[23.66803279 31.33196721] ; [ 81.33196721 107.66803279],1
p5,1,0.000184,13.989247,[10 45] ; [  7 184],[ 3.80081301 51.19918699] ; [ 13.19918699 177.80081301],1
s7,1,0.001792,9.751464,[32 20] ; [ 67 113],[22.18965517 29.81034483] ; [ 76.81034483 103.18965517],0
p12,1,0.003839,8.358378,[10 45] ; [ 11 179],[ 4.71428571 50.28571429] ; [ 16.28571429 173.71428571],0
p3,1,0.004902,7.915088,[27 28] ; [ 55 136],[18.33333333 36.66666667] ; [ 63.66666667 127.33333333],0
s3,1,0.00823,6.982751,[34 19] ; [ 82 106],[25.51037344 27.48962656] ; [90.48962656 97.51037344],0
b4,1,0.008797,6.863617,[43 12] ; [113  79],[34.73684211 20.26315789] ; [121.26315789  70.73684211],0
s1,1,0.031136,4.645474,[ 6 48] ; [  7 184],[ 2.86530612 51.13469388] ; [ 10.13469388 180.86530612],0
s8,1,0.033072,4.54206,[25 29] ; [ 59 133],[18.43902439 35.56097561] ; [ 65.56097561 126.43902439],0
b5,1,0.034212,4.484091,[41 14] ; [113  79],[34.29149798 20.70850202] ; [119.70850202  72.29149798],0
r4,1,0.042993,4.095684,[49  6] ; [147  45],[43.6437247 11.3562753] ; [152.3562753  39.6437247],0
p10,1,0.045012,4.018188,[43 11] ; [124  66],[36.95901639 17.04098361] ; [130.04098361  59.95901639],0
p1,1,0.052343,3.764787,[10 45] ; [ 17 174],[ 6.03658537 48.96341463] ; [ 20.96341463 170.03658537],0
n2,1,0.058321,3.584498,[11  1] ; [37 21],[8.22857143 3.77142857] ; [39.77142857 18.22857143],0
p4,1,0.059673,3.546453,[30 24] ; [ 79 113],[23.92682927 30.07317073] ; [ 85.07317073 106.92682927],0
n6,1,0.063025,3.455941,[50  5] ; [153  38],[45.38617886  9.61382114] ; [157.61382114  33.38617886],0
d2,1,0.072959,3.215163,[34 19] ; [96 95],[28.23770492 24.76229508] ; [101.76229508  89.23770492],0
s4,1,0.09956,2.712585,[10 43] ; [ 20 171],[ 6.51639344 46.48360656] ; [ 23.48360656 167.51639344],0
v4,1,0.110273,2.550303,[51  4] ; [161  30],[47.39837398  7.60162602] ; [164.60162602  26.39837398],0
d4,1,0.114811,2.486717,[46  8] ; [144  48],[41.70731707 12.29268293] ; [148.29268293  43.70731707],0
a3,1,0.12402,2.365804,[43 12] ; [128  62],[38.3877551 16.6122449] ; [132.6122449  57.3877551],0
b1,1,0.140322,2.174426,[27 28] ; [ 73 119],[22.26720648 32.73279352] ; [ 77.73279352 114.26720648],0
n5,1,0.145367,2.120206,[49  6] ; [154  37],[45.38617886  9.61382114] ; [157.61382114  33.38617886],0
u2,1,0.174427,1.844479,[8 4] ; [29 35],[5.84210526 6.15789474] ; [31.15789474 32.84210526],0
p6,1,0.18432,1.76244,[12 42] ; [ 28 163],[ 8.81632653 45.18367347] ; [ 31.18367347 159.81632653],0
p9,1,0.196308,1.66963,[43 11] ; [133  55],[39.27272727 14.72727273] ; [136.72727273  51.27272727],0
n3,1,0.226414,1.463247,[10  2] ; [36 19],[8.23880597 3.76119403] ; [37.76119403 17.23880597],0
d3,1,0.241758,1.370315,[38 17] ; [116  76],[34.29149798 20.70850202] ; [119.70850202  72.29149798],0
r2,1,0.256086,1.289795,[52  3] ; [170  20],[49.83673469  5.16326531] ; [172.16326531  17.83673469],0
r1,1,0.256462,1.287754,[44 11] ; [139  53],[40.74898785 14.25101215] ; [142.25101215  49.74898785],0
v1,1,0.278278,1.175481,[28 27] ; [ 78 105],[24.49579832 30.50420168] ; [ 81.50420168 101.49579832],0
d1,1,0.299106,1.078175,[33 22] ; [100  92],[29.61538462 25.38461538] ; [103.38461538  88.61538462],0
v3,1,0.30699,1.04358,[22 31] ; [ 62 121],[18.86440678 34.13559322] ; [ 65.13559322 117.86440678],0
d5,1,0.32236,0.979346,[44 11] ; [141  51],[41.19433198 13.80566802] ; [143.80566802  48.19433198],0
a4,1,0.348425,0.879187,[30 25] ; [ 90 100],[26.93877551 28.06122449] ; [93.06122449 96.93877551],0
u3,1,0.352332,0.865041,[7 5] ; [28 36],[5.52631579 6.47368421] ; [29.47368421 34.52631579],0
a5,1,0.359644,0.839135,[44 11] ; [142  50],[41.41700405 13.58299595] ; [144.58299595  47.41700405],0
a7,1,0.399734,0.709126,[39 15] ; [127  65],[36.43902439 17.56097561] ; [129.56097561  62.43902439],0
n1,1,0.406488,0.68905,[7 4] ; [29 29],[5.73913043 5.26086957] ; [30.26086957 27.73913043],0
u1,1,0.432799,0.6153,[12 43] ; [ 33 159],[10.02024291 44.97975709] ; [ 34.97975709 157.02024291],0
r3,1,0.435718,0.607533,[45  9] ; [167  24],[46.72653061  7.27346939] ; [165.27346939  25.72653061],0
b2,1,0.451,0.568137,[12 24] ; [46 68],[13.92 22.08] ; [44.08 69.92],0
b3,1,0.451,0.568137,[12 24] ; [46 68],[13.92 22.08] ; [44.08 69.92],0
a2,1,0.464735,0.534468,[14 41] ; [ 40 152],[12.0242915 42.9757085] ; [ 41.9757085 150.0242915],0
v2,1,0.522111,0.409722,[27 27] ; [ 82 100],[24.94067797 29.05932203] ; [84.05932203 97.94067797],0
p8,1,0.527062,0.400052,[11 44] ; [ 46 145],[12.74390244 42.25609756] ; [ 44.25609756 146.74390244],0
p2,1,0.601862,0.272196,[39 16] ; [129  63],[37.40890688 17.59109312] ; [130.59109312  61.40890688],0
