Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.008808,6.86144,[15  8] ; [22 43],[ 9.67045455 13.32954545] ; [27.32954545 37.67045455],0
v2,1,0.01725,5.670742,[15  7] ; [24 38],[10.21428571 11.78571429] ; [28.78571429 33.21428571],0
a5,1,0.039774,4.227497,[18  5] ; [35 30],[13.85227273  9.14772727] ; [39.14772727 25.85227273],0
p1,1,0.054717,3.690682,[ 4 19] ; [ 3 61],[ 1.85057471 21.14942529] ; [ 5.14942529 58.85057471],0
p9,1,0.061608,3.493557,[17  5] ; [35 29],[13.30232558  8.69767442] ; [38.69767442 25.30232558],0
p10,1,0.068357,3.322028,[14  7] ; [28 36],[10.37647059 10.62352941] ; [31.62352941 32.37647059],0
p8,1,0.072932,3.215773,[11 10] ; [20 45],[ 7.56976744 13.43023256] ; [23.43023256 41.56976744],0
a4,1,0.101746,2.677965,[13 10] ; [24 41],[ 9.67045455 13.32954545] ; [27.32954545 37.67045455],0
s1,1,0.104018,2.642828,[ 2 21] ; [ 1 64],[ 0.78409091 22.21590909] ; [ 2.21590909 62.78409091],0
s2,1,0.107144,2.595853,[ 4 19] ; [ 4 61],[ 2.09090909 20.90909091] ; [ 5.90909091 59.09090909],0
b5,1,0.252228,1.310923,[11 12] ; [40 25],[13.32954545  9.67045455] ; [37.67045455 27.32954545],0
s8,1,0.252745,1.308064,[ 6 17] ; [10 55],[ 4.18181818 18.81818182] ; [11.81818182 53.18181818],0
p4,1,0.256295,1.288658,[10 11] ; [22 43],[ 7.81395349 13.18604651] ; [24.18604651 40.81395349],0
d3,1,0.258728,1.275551,[15  8] ; [33 31],[12.68965517 10.31034483] ; [35.31034483 28.68965517],0
v4,1,0.266723,1.233522,[19  4] ; [46 19],[16.98863636  6.01136364] ; [48.01136364 16.98863636],0
d5,1,0.266723,1.233522,[19  4] ; [46 19],[16.98863636  6.01136364] ; [48.01136364 16.98863636],0
n3,1,0.295544,1.094194,[1 2] ; [18 10],[1.83870968 1.16129032] ; [17.16129032 10.83870968],0
r4,1,0.347257,0.883456,[16  7] ; [38 27],[14.11363636  8.88636364] ; [39.88636364 25.11363636],0
s4,1,0.357225,0.847625,[ 1 22] ; [ 7 58],[ 2.09090909 20.90909091] ; [ 5.90909091 59.09090909],0
b4,1,0.403966,0.696488,[14  9] ; [33 32],[12.28409091 10.71590909] ; [34.71590909 30.28409091],0
r1,1,0.415437,0.663188,[16  7] ; [39 26],[14.375  8.625] ; [40.625 24.375],0
s5,1,0.424419,0.638047,[ 4 19] ; [ 7 57],[ 2.90804598 20.09195402] ; [ 8.09195402 55.90804598],0
p5,1,0.435618,0.607798,[ 2 20] ; [ 3 62],[ 1.26436782 20.73563218] ; [ 3.73563218 61.26436782],0
a1,1,0.467542,0.52778,[ 2 21] ; [ 3 62],[ 1.30681818 21.69318182] ; [ 3.69318182 61.30681818],0
s7,1,0.468304,0.525974,[ 5 16] ; [10 50],[ 3.88888889 17.11111111] ; [11.11111111 48.88888889],0
a8,1,0.472919,0.515148,[ 1 20] ; [ 6 55],[ 1.79268293 19.20731707] ; [ 5.20731707 55.79268293],0
a7,1,0.492315,0.471464,[17  6] ; [43 22],[15.68181818  7.31818182] ; [44.31818182 20.68181818],0
b2,1,0.520159,0.413579,[5 7] ; [12 26],[4.08 7.92] ; [12.92 25.08],0
b3,1,0.520159,0.413579,[5 7] ; [12 26],[4.08 7.92] ; [12.92 25.08],0
u3,1,0.539498,0.376471,[3 5] ; [12 12],[3.75 4.25] ; [11.25 12.75],0
u2,1,0.539498,0.376471,[5 3] ; [12 12],[4.25 3.75] ; [12.75 11.25],0
n2,1,0.544197,0.367816,[1 2] ; [15 14],[1.5 1.5] ; [14.5 14.5],0
r2,1,0.547204,0.362351,[19  4] ; [49 15],[17.97701149  5.02298851] ; [50.02298851 13.97701149],0
a2,1,0.568977,0.324397,[ 4 19] ; [15 50],[ 4.96590909 18.03409091] ; [14.03409091 50.96590909],0
p11,1,0.635004,0.225336,[13 10] ; [33 32],[12.02272727 10.97727273] ; [33.97727273 31.02272727],0
p2,1,0.662037,0.191059,[12  9] ; [40 24],[12.84705882  8.15294118] ; [39.15294118 24.84705882],0
d1,1,0.672672,0.178493,[10 13] ; [25 40],[ 9.14772727 13.85227273] ; [25.85227273 39.14772727],0
n4,1,0.711729,0.136556,[11 12] ; [34 31],[11.76136364 11.23863636] ; [33.23863636 31.76136364],0
d2,1,0.74176,0.108586,[ 9 14] ; [28 37],[ 9.67045455 13.32954545] ; [27.32954545 37.67045455],0
d4,1,0.754116,0.098105,[15  8] ; [40 25],[14.375  8.625] ; [40.625 24.375],0
s6,1,0.773861,0.082558,[ 6 17] ; [19 46],[ 6.53409091 16.46590909] ; [18.46590909 46.53409091],0
n5,1,0.811651,0.056785,[10 13] ; [26 38],[ 9.51724138 13.48275862] ; [26.48275862 37.51724138],0
b1,1,0.840019,0.040751,[14  9] ; [38 27],[13.59090909  9.40909091] ; [38.40909091 26.59090909],0
a6,1,0.850931,0.035318,[14  9] ; [41 24],[14.375  8.625] ; [40.625 24.375],0
p7,1,0.858901,0.031603,[ 9 13] ; [28 37],[ 9.35632184 12.64367816] ; [27.64367816 37.35632184],0
p6,1,0.875411,0.024583,[ 4 17] ; [13 50],[ 4.25 16.75] ; [12.75 50.25],0
n1,1,0.875566,0.024521,[1 2] ; [11 18],[1.125 1.875] ; [10.875 18.125],0
