Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.273771,[59  3] ; [3 5],[54.91428571  7.08571429] ; [7.08571429 0.91428571],1
r4,1,3.6e-05,17.076613,[54  8] ; [2 6],[49.6 12.4] ; [6.4 1.6],1
r2,1,0.013788,6.065134,[57  5] ; [5 3],[54.91428571  7.08571429] ; [7.08571429 0.91428571],0
d5,1,0.033053,4.543011,[46 16] ; [3 5],[43.4 18.6] ; [5.6 2.4],0
r1,1,0.04427,4.046234,[45 17] ; [3 5],[42.51428571 19.48571429] ; [5.48571429 2.51428571],0
v2,1,0.066437,3.368936,[28 32] ; [1 7],[25.58823529 34.41176471] ; [3.41176471 4.58823529],0
s6,1,0.070125,3.280102,[39 22] ; [2 5],[36.77941176 24.22058824] ; [4.22058824 2.77941176],0
p7,1,0.077572,3.115047,[34 28] ; [7 1],[36.31428571 25.68571429] ; [4.68571429 3.31428571],0
s1,1,0.077779,3.110719,[ 4 58] ; [2 6],[ 5.31428571 56.68571429] ; [0.68571429 7.31428571],0
n2,1,0.150164,2.070588,[15  3] ; [2 2],[13.90909091  4.09090909] ; [3.09090909 0.90909091],0
p2,1,0.153992,2.032258,[46 16] ; [4 4],[44.28571429 17.71428571] ; [5.71428571 2.28571429],0
p6,1,0.165846,1.920101,[22 37] ; [1 7],[20.25373134 38.74626866] ; [2.74626866 5.25373134],0
a4,1,0.167778,1.902685,[23 39] ; [1 7],[21.25714286 40.74285714] ; [2.74285714 5.25714286],0
p5,1,0.19985,1.64347,[ 6 56] ; [2 6],[ 7.08571429 54.91428571] ; [0.91428571 7.08571429],0
s8,1,0.219436,1.508055,[23 38] ; [1 6],[21.52941176 39.47058824] ; [2.47058824 4.52941176],0
s7,1,0.249407,1.326624,[24 35] ; [1 5],[22.69230769 36.30769231] ; [2.30769231 3.69230769],0
d2,1,0.278156,1.176075,[28 34] ; [2 6],[26.57142857 35.42857143] ; [3.42857143 4.57142857],0
d1,1,0.278156,1.176075,[28 34] ; [2 6],[26.57142857 35.42857143] ; [3.42857143 4.57142857],0
a3,1,0.278156,1.176075,[34 28] ; [6 2],[35.42857143 26.57142857] ; [4.57142857 3.42857143],0
n1,1,0.363722,0.825,[9 9] ; [3 1],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
p4,1,0.370237,0.802867,[41 21] ; [4 4],[39.85714286 22.14285714] ; [5.14285714 2.85714286],0
a5,1,0.402072,0.70212,[37 25] ; [6 2],[38.08571429 23.91428571] ; [4.91428571 3.08571429],0
s5,1,0.408394,0.68347,[15 43] ; [1 7],[14.06060606 43.93939394] ; [1.93939394 6.06060606],0
b4,1,0.480423,0.497902,[39 23] ; [4 4],[38.08571429 23.91428571] ; [4.91428571 3.08571429],0
d4,1,0.483951,0.489946,[46 16] ; [5 3],[45.17142857 16.82857143] ; [5.82857143 2.17142857],0
v3,1,0.488393,0.480065,[15 43] ; [3 5],[15.81818182 42.18181818] ; [2.18181818 5.81818182],0
s4,1,0.500427,0.45403,[14 47] ; [1 7],[13.26086957 47.73913043] ; [1.73913043 6.26086957],0
a6,1,0.505573,0.443219,[31 31] ; [5 3],[31.88571429 30.11428571] ; [4.11428571 3.88571429],0
n6,1,0.530515,0.393406,[42 19] ; [4 3],[41.26470588 19.73529412] ; [4.73529412 2.26470588],0
n4,1,0.536662,0.381762,[39 22] ; [6 2],[39.7826087 21.2173913] ; [5.2173913 2.7826087],0
b5,1,0.556578,0.345664,[40 22] ; [6 2],[40.74285714 21.25714286] ; [5.25714286 2.74285714],0
d3,1,0.620202,0.245583,[33 29] ; [5 3],[33.65714286 28.34285714] ; [4.34285714 3.65714286],0
b2,1,0.644053,0.21348,[15 26] ; [1 3],[14.57777778 26.42222222] ; [1.42222222 2.57777778],0
b3,1,0.644053,0.21348,[15 26] ; [1 3],[14.57777778 26.42222222] ; [1.42222222 2.57777778],0
p9,1,0.656449,0.197866,[23 39] ; [2 5],[22.46376812 39.53623188] ; [2.53623188 4.46376812],0
v1,1,0.664442,0.188172,[26 36] ; [4 4],[26.57142857 35.42857143] ; [3.42857143 4.57142857],0
p11,1,0.810575,0.057449,[26 36] ; [3 5],[25.68571429 36.31428571] ; [3.31428571 4.68571429],0
s3,1,0.826994,0.047768,[33 28] ; [4 4],[32.71014493 28.28985507] ; [4.28985507 3.71014493],0
s2,1,0.85917,0.031481,[28 32] ; [4 4],[28.23529412 31.76470588] ; [3.76470588 4.23529412],0
b1,1,0.878109,0.023522,[37 25] ; [5 3],[37.2 24.8] ; [4.8 3.2],0
n5,1,0.895843,0.017139,[32 29] ; [4 4],[31.82608696 29.17391304] ; [4.17391304 3.82608696],0
a8,1,0.907776,0.01342,[ 6 48] ; [1 7],[ 6.09677419 47.90322581] ; [0.90322581 7.09677419],0
n3,1,0.910162,0.012731,[13  5] ; [3 1],[13.09090909  4.90909091] ; [2.90909091 1.09090909],0
a7,1,0.947257,0.004376,[38 24] ; [5 3],[38.08571429 23.91428571] ; [4.91428571 3.08571429],0
p8,1,0.96265,0.002193,[26 36] ; [3 4],[26.05797101 35.94202899] ; [2.94202899 4.05797101],0
