Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5e-06,20.790448,[45  8] ; [2 9],[38.921875 14.078125] ; [8.078125 2.921875],1
d1,1,1.4e-05,18.819392,[41 12] ; [ 1 10],[34.78125 18.21875] ; [7.21875 3.78125],1
d3,1,7e-05,15.809886,[42 11] ; [2 9],[36.4375 16.5625] ; [7.5625 3.4375],1
p9,1,0.001147,10.573427,[48  4] ; [6 5],[44.57142857  7.42857143] ; [9.42857143 1.57142857],0
n4,1,0.100033,2.705018,[45  8] ; [7 4],[43.0625  9.9375] ; [8.9375 2.0625],0
p10,1,0.107437,2.591526,[44  8] ; [7 4],[42.0952381  9.9047619] ; [8.9047619 2.0952381],0
v1,1,0.113447,2.505531,[33 20] ; [4 7],[30.640625 22.359375] ; [6.359375 4.640625],0
d2,1,0.144012,2.134553,[32 21] ; [4 7],[29.8125 23.1875] ; [6.1875 4.8125],0
b1,1,0.157532,1.997755,[17 36] ; [6 5],[19.046875 33.953125] ; [3.953125 7.046875],0
r2,1,0.16646,1.914535,[49  3] ; [9 2],[47.87301587  4.12698413] ; [10.12698413  0.87301587],0
a7,1,0.208481,1.581945,[39 14] ; [6 5],[37.265625 15.734375] ; [7.734375 3.265625],0
s1,1,0.224785,1.473559,[ 1 50] ; [ 1 10],[ 1.64516129 49.35483871] ; [ 0.35483871 10.64516129],0
p7,1,0.240656,1.376748,[33 19] ; [9 2],[34.66666667 17.33333333] ; [7.33333333 3.66666667],0
p11,1,0.242341,1.366927,[46  7] ; [8 3],[44.71875  8.28125] ; [9.28125 1.71875],0
p2,1,0.242341,1.366927,[46  7] ; [8 3],[44.71875  8.28125] ; [9.28125 1.71875],0
r1,1,0.266085,1.236821,[42 11] ; [7 4],[40.578125 12.421875] ; [8.421875 2.578125],0
r3,1,0.270819,1.212594,[49  4] ; [9 2],[48.03125  4.96875] ; [9.96875 1.03125],0
v3,1,0.312404,1.020487,[31 19] ; [5 6],[29.50819672 20.49180328] ; [6.49180328 4.50819672],0
a3,1,0.367095,0.813476,[42 11] ; [10  1],[43.0625  9.9375] ; [8.9375 2.0625],0
p4,1,0.378476,0.775645,[31 22] ; [8 3],[32.296875 20.703125] ; [6.703125 4.296875],0
u1,1,0.43412,0.611776,[10 43] ; [ 1 10],[ 9.109375 43.890625] ; [1.890625 9.109375],0
v4,1,0.447696,0.576479,[51  2] ; [10  1],[50.515625  2.484375] ; [10.484375  0.515625],0
p3,1,0.587363,0.294481,[29 24] ; [7 4],[29.8125 23.1875] ; [6.1875 4.8125],0
n6,1,0.602213,0.27167,[45  8] ; [10  1],[45.546875  7.453125] ; [9.453125 1.546875],0
s5,1,0.642097,0.21601,[10 38] ; [3 8],[10.57627119 37.42372881] ; [2.42372881 8.57627119],0
n5,1,0.657415,0.196678,[41 11] ; [8 3],[40.44444444 11.55555556] ; [8.55555556 2.44444444],0
r4,1,0.665837,0.18651,[46  7] ; [9 2],[45.546875  7.453125] ; [9.453125 1.546875],0
p1,1,0.66884,0.182962,[ 3 50] ; [ 1 10],[ 3.3125 49.6875] ; [ 0.6875 10.3125],0
p12,1,0.66884,0.182962,[ 3 50] ; [ 1 10],[ 3.3125 49.6875] ; [ 0.6875 10.3125],0
s3,1,0.702038,0.14636,[20 31] ; [5 6],[20.56451613 30.43548387] ; [4.43548387 6.56451613],0
p6,1,0.716007,0.132351,[22 30] ; [4 7],[21.46031746 30.53968254] ; [4.53968254 6.46031746],0
p8,1,0.720051,0.128444,[32 21] ; [6 5],[31.46875 21.53125] ; [6.53125 4.46875],0
b4,1,0.720051,0.128444,[32 21] ; [6 5],[31.46875 21.53125] ; [6.53125 4.46875],0
v2,1,0.725723,0.123075,[35 17] ; [8 3],[35.49206349 16.50793651] ; [7.50793651 3.49206349],0
a5,1,0.741422,0.108881,[41 12] ; [8 3],[40.578125 12.421875] ; [8.421875 2.578125],0
b2,1,0.751111,0.100599,[23 18] ; [4 4],[22.59183673 18.40816327] ; [4.40816327 3.59183673],0
b3,1,0.751111,0.100599,[23 18] ; [4 4],[22.59183673 18.40816327] ; [4.40816327 3.59183673],0
a6,1,0.75183,0.099999,[31 22] ; [7 4],[31.46875 21.53125] ; [6.53125 4.46875],0
s7,1,0.766636,0.088077,[28 23] ; [6 4],[28.42622951 22.57377049] ; [5.57377049 4.42622951],0
p5,1,0.799386,0.064588,[ 6 45] ; [ 1 10],[ 5.75806452 45.24193548] ; [1.24193548 9.75806452],0
b5,1,0.827788,0.047323,[26 27] ; [5 6],[25.671875 27.328125] ; [5.328125 5.671875],0
a2,1,0.846948,0.037255,[11 42] ; [2 9],[10.765625 42.234375] ; [2.234375 8.765625],0
s2,1,0.955741,0.00308,[19 32] ; [4 7],[18.91935484 32.08064516] ; [4.08064516 6.91935484],0
s4,1,0.971664,0.001262,[ 5 48] ; [ 1 10],[ 4.96875 48.03125] ; [1.03125 9.96875],0
a4,1,0.991702,0.000108,[24 29] ; [5 6],[24.015625 28.984375] ; [4.984375 6.015625],0
