Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.4e-05,17.196026,[37 15] ; [22 45],[25.78151261 26.21848739] ; [33.21848739 33.78151261],1
a8,1,7e-05,15.801521,[13 35] ; [ 1 61],[ 6.10909091 41.89090909] ; [ 7.89090909 54.10909091],1
n1,1,0.003098,8.748818,[9 6] ; [ 3 19],[ 4.86486486 10.13513514] ; [ 7.13513514 14.86486486],0
p7,1,0.014075,6.028708,[30 18] ; [25 39],[23.57142857 24.42857143] ; [31.42857143 32.57142857],0
d4,1,0.016747,5.722664,[37 14] ; [60  7],[41.92372881  9.07627119] ; [55.07627119 11.92372881],0
a3,1,0.031001,4.652897,[40 11] ; [40 27],[34.57627119 16.42372881] ; [45.42372881 21.57627119],0
d1,1,0.08519,2.962992,[22 30] ; [39 28],[26.65546218 25.34453782] ; [34.34453782 32.65546218],0
s3,1,0.092304,2.833728,[28 22] ; [27 40],[23.5042735 26.4957265] ; [31.4957265 35.5042735],0
a6,1,0.119434,2.424734,[44  7] ; [50 17],[40.62711864 10.37288136] ; [53.37288136 13.62711864],0
n2,1,0.119551,2.423188,[12  4] ; [11 11],[9.68421053 6.31578947] ; [13.31578947  8.68421053],0
a4,1,0.138918,2.189899,[24 28] ; [22 45],[20.10084034 31.89915966] ; [25.89915966 41.10084034],0
d3,1,0.183848,1.76624,[35 15] ; [54 13],[38.03418803 11.96581197] ; [50.96581197 16.03418803],0
p3,1,0.188313,1.730769,[14 38] ; [25 40],[17.33333333 34.66666667] ; [21.66666667 43.33333333],0
v3,1,0.20053,1.638512,[16 31] ; [15 50],[13.00892857 33.99107143] ; [17.99107143 47.00892857],0
p2,1,0.216755,1.525726,[34 18] ; [50 16],[37.01694915 14.98305085] ; [46.98305085 19.01694915],0
b4,1,0.222039,1.491145,[26 26] ; [41 26],[29.27731092 22.72268908] ; [37.72268908 29.27731092],0
d5,1,0.234508,1.413311,[39 12] ; [57 10],[41.49152542  9.50847458] ; [54.50847458 12.49152542],0
p11,1,0.240022,1.380463,[32 20] ; [34 33],[28.84033613 23.15966387] ; [37.15966387 29.84033613],0
a1,1,0.244413,1.354961,[ 4 48] ; [ 2 65],[ 2.62184874 49.37815126] ; [ 3.37815126 63.62184874],0
