Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.01721,5.674877,[ 2 22] ; [5 7],[ 4.66666667 19.33333333] ; [2.33333333 9.66666667],0
p2,1,0.033895,4.5,[ 9 15] ; [9 3],[12. 12.] ; [6. 6.],0
s3,1,0.074462,3.181818,[12 12] ; [2 9],[ 9.6 14.4] ; [4.4 6.6],0
v3,1,0.10247,2.666667,[ 4 20] ; [5 7],[ 6. 18.] ; [3. 9.],0
a4,1,0.133614,2.25,[ 6 18] ; [6 6],[ 8. 16.] ; [4. 8.],0
a5,1,0.133614,2.25,[14 10] ; [10  2],[16.  8.] ; [8. 4.],0
d4,1,0.133614,2.25,[18  6] ; [6 6],[16.  8.] ; [8. 4.],0
p4,1,0.133614,2.25,[ 6 18] ; [6 6],[ 8. 16.] ; [4. 8.],0
p9,1,0.138154,2.198403,[11 13] ; [8 3],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
s7,1,0.151317,2.058924,[ 3 18] ; [4 7],[ 4.59375 16.40625] ; [2.40625 8.59375],0
v2,1,0.151494,2.057143,[ 8 16] ; [7 5],[10. 14.] ; [5. 7.],0
s4,1,0.200825,1.636364,[ 1 23] ; [ 2 10],[ 2. 22.] ; [ 1. 11.],0
p1,1,0.200825,1.636364,[ 1 23] ; [ 2 10],[ 2. 22.] ; [ 1. 11.],0
b1,1,0.237867,1.393189,[11 13] ; [8 4],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
p6,1,0.256839,1.285714,[ 4 20] ; [4 8],[ 5.33333333 18.66666667] ; [2.66666667 9.33333333],0
p3,1,0.256839,1.285714,[ 4 20] ; [4 8],[ 5.33333333 18.66666667] ; [2.66666667 9.33333333],0
a3,1,0.26012,1.268116,[15  8] ; [10  2],[16.42857143  6.57142857] ; [8.57142857 3.42857143],0
r4,1,0.33355,0.935065,[ 8 16] ; [6 6],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
r1,1,0.345033,0.891641,[10 14] ; [7 5],[11.33333333 12.66666667] ; [5.66666667 6.33333333],0
p8,1,0.391249,0.735058,[ 6 16] ; [5 7],[ 7.11764706 14.88235294] ; [3.88235294 8.11764706],0
d3,1,0.473289,0.514286,[13 11] ; [8 4],[14. 10.] ; [7. 5.],0
p10,1,0.477688,0.504137,[10 14] ; [6 5],[10.97142857 13.02857143] ; [5.02857143 5.97142857],0
b3,1,0.484423,0.488889,[4 8] ; [2 8],[3.27272727 8.72727273] ; [2.72727273 7.27272727],0
b2,1,0.484423,0.488889,[4 8] ; [2 8],[3.27272727 8.72727273] ; [2.72727273 7.27272727],0
a8,1,0.490021,0.47648,[ 7 17] ; [2 9],[ 6.17142857 17.82857143] ; [2.82857143 8.17142857],0
s6,1,0.490843,0.474677,[ 8 16] ; [5 6],[ 8.91428571 15.08571429] ; [4.08571429 6.91428571],0
r2,1,0.560891,0.338164,[13 10] ; [8 4],[13.8  9.2] ; [7.2 4.8],0
p11,1,0.635256,0.225,[10 14] ; [6 6],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
b5,1,0.636831,0.22291,[12 12] ; [7 5],[12.66666667 11.33333333] ; [6.33333333 5.66666667],0
s2,1,0.65564,0.198864,[ 6 18] ; [2 9],[ 5.48571429 18.51428571] ; [2.51428571 8.48571429],0
u2,1,0.657619,0.196429,[3 6] ; [1 1],[3.27272727 5.72727273] ; [0.72727273 1.27272727],0
s1,1,0.70766,0.140625,[ 3 21] ; [ 1 11],[ 2.66666667 21.33333333] ; [ 1.33333333 10.66666667],0
a1,1,0.70766,0.140625,[ 3 21] ; [ 1 11],[ 2.66666667 21.33333333] ; [ 1.33333333 10.66666667],0
s8,1,0.776814,0.080357,[ 5 19] ; [3 9],[ 5.33333333 18.66666667] ; [2.66666667 9.33333333],0
d5,1,0.776814,0.080357,[19  5] ; [9 3],[18.66666667  5.33333333] ; [9.33333333 2.66666667],0
n4,1,0.806179,0.060201,[15  9] ; [8 4],[15.33333333  8.66666667] ; [7.66666667 4.33333333],0
a6,1,0.806179,0.060201,[15  9] ; [8 4],[15.33333333  8.66666667] ; [7.66666667 4.33333333],0
n5,1,0.808976,0.058442,[15  9] ; [7 5],[14.66666667  9.33333333] ; [7.33333333 4.66666667],0
s5,1,0.85554,0.033144,[ 5 19] ; [2 9],[ 4.8 19.2] ; [2.2 8.8],0
r3,1,0.886436,0.020396,[18  6] ; [8 3],[17.82857143  6.17142857] ; [8.17142857 2.82857143],0
n6,1,0.902785,0.014919,[11 12] ; [6 6],[11.17142857 11.82857143] ; [5.82857143 6.17142857],0
u1,1,1.0,0.0,[ 2 22] ; [ 1 11],[ 2. 22.] ; [ 1. 11.],0
d2,1,1.0,0.0,[12 12] ; [6 6],[12. 12.] ; [6. 6.],0
d1,1,1.0,0.0,[10 14] ; [5 7],[10. 14.] ; [5. 7.],0
p7,1,1.0,0.0,[ 8 16] ; [4 8],[ 8. 16.] ; [4. 8.],0
b4,1,1.0,0.0,[18  6] ; [9 3],[18.  6.] ; [9. 3.],0
