Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.020921,5.333333,[1 5] ; [5 1],[3. 3.] ; [3. 3.],0
s8,1,0.078983,3.085714,[1 5] ; [4 2],[2.5 3.5] ; [2.5 3.5],0
p6,1,0.078983,3.085714,[1 5] ; [4 2],[2.5 3.5] ; [2.5 3.5],0
r1,1,0.078983,3.085714,[1 5] ; [4 2],[2.5 3.5] ; [2.5 3.5],0
n6,1,0.220671,1.5,[5 1] ; [3 3],[4. 2.] ; [4. 2.],0
r3,1,0.220671,1.5,[3 3] ; [5 1],[4. 2.] ; [4. 2.],0
p7,1,0.220671,1.5,[3 3] ; [5 1],[4. 2.] ; [4. 2.],0
v2,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
b1,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
v3,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
b4,1,0.220671,1.5,[5 1] ; [3 3],[4. 2.] ; [4. 2.],0
p8,1,0.248213,1.333333,[2 4] ; [4 2],[3. 3.] ; [3. 3.],0
d2,1,0.248213,1.333333,[4 2] ; [2 4],[3. 3.] ; [3. 3.],0
b3,1,0.465209,0.533333,[1 3] ; [2 2],[1.5 2.5] ; [1.5 2.5],0
b2,1,0.465209,0.533333,[1 3] ; [2 2],[1.5 2.5] ; [1.5 2.5],0
p4,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
p9,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
p10,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
s3,1,0.504985,0.444444,[1 5] ; [2 4],[1.5 4.5] ; [1.5 4.5],0
s4,1,0.504985,0.444444,[1 5] ; [2 4],[1.5 4.5] ; [1.5 4.5],0
s6,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
a3,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
d3,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
a7,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
n5,1,0.558185,0.342857,[4 2] ; [3 3],[3.5 2.5] ; [3.5 2.5],0
p5,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
r4,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
p3,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
s2,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
n4,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
v4,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
a6,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
a5,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
b5,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
p12,1,1.0,0.0,[1 5] ; [1 5],[1. 5.] ; [1. 5.],0
