Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000491,12.15,[ 5 43] ; [4 2],[ 8. 40.] ; [1. 5.],1
r1,1,0.027548,4.856115,[19 33] ; [5 1],[21.51724138 30.48275862] ; [2.48275862 3.51724138],0
p10,1,0.030588,4.675914,[19 32] ; [5 1],[21.47368421 29.52631579] ; [2.52631579 3.47368421],0
p9,1,0.037777,4.315042,[19 30] ; [5 1],[21.38181818 27.61818182] ; [2.61818182 3.38181818],0
r4,1,0.050848,3.813281,[ 4 48] ; [2 4],[ 5.37931034 46.62068966] ; [0.62068966 5.37931034],0
p5,1,0.05799,3.593956,[ 4 46] ; [2 4],[ 5.35714286 44.64285714] ; [0.64285714 5.35714286],0
s6,1,0.087023,2.9286,[10 42] ; [3 3],[11.65517241 40.34482759] ; [1.34482759 4.65517241],0
p8,1,0.163678,1.939916,[12 39] ; [3 3],[13.42105263 37.57894737] ; [1.57894737 4.42105263],0
p4,1,0.163678,1.939916,[12 39] ; [3 3],[13.42105263 37.57894737] ; [1.57894737 4.42105263],0
s3,1,0.166681,1.912542,[ 6 43] ; [2 4],[ 7.12727273 41.87272727] ; [0.87272727 5.12727273],0
p12,1,0.179393,1.802642,[ 2 50] ; [1 5],[ 2.68965517 49.31034483] ; [0.31034483 5.68965517],0
b4,1,0.224097,1.477942,[30 22] ; [5 1],[31.37931034 20.62068966] ; [3.62068966 2.37931034],0
n6,1,0.233961,1.416618,[21 30] ; [4 2],[22.36842105 28.63157895] ; [2.63157895 3.36842105],0
v3,1,0.276574,1.183846,[10 42] ; [2 3],[10.94736842 41.05263158] ; [1.05263158 3.94736842],0
d3,1,0.296851,1.088288,[23 29] ; [4 2],[24.20689655 27.79310345] ; [2.79310345 3.20689655],0
a6,1,0.296851,1.088288,[23 29] ; [4 2],[24.20689655 27.79310345] ; [2.79310345 3.20689655],0
n3,1,0.306644,1.045074,[12 15] ; [1 4],[10.96875 16.03125] ; [2.03125 2.96875],0
u2,1,0.314879,1.010101,[ 8 14] ; [2 1],[ 8.8 13.2] ; [1.2 1.8],0
n2,1,0.324534,0.970588,[12 15] ; [4 2],[13.09090909 13.90909091] ; [2.90909091 3.09090909],0
n5,1,0.472402,0.516352,[36 16] ; [5 1],[36.75862069 15.24137931] ; [4.24137931 1.75862069],0
p2,1,0.479962,0.49895,[18 33] ; [3 3],[18.78947368 32.21052632] ; [2.21052632 3.78947368],0
d4,1,0.609789,0.260482,[29 23] ; [4 2],[29.5862069 22.4137931] ; [3.4137931 2.5862069],0
a3,1,0.638018,0.221344,[30 20] ; [3 3],[29.46428571 20.53571429] ; [3.53571429 2.46428571],0
d5,1,0.650688,0.205034,[31 21] ; [3 3],[30.48275862 21.51724138] ; [3.51724138 2.48275862],0
v1,1,0.658925,0.194832,[13 39] ; [2 4],[13.44827586 38.55172414] ; [1.55172414 4.44827586],0
n4,1,0.672573,0.178607,[30 22] ; [4 2],[30.48275862 21.51724138] ; [3.51724138 2.48275862],0
b5,1,0.672573,0.178607,[22 30] ; [2 4],[21.51724138 30.48275862] ; [2.48275862 3.51724138],0
p3,1,0.704715,0.143614,[12 39] ; [1 5],[11.63157895 39.36842105] ; [1.36842105 4.63157895],0
s5,1,0.71503,0.133305,[ 6 46] ; [1 5],[ 6.27586207 45.72413793] ; [0.72413793 5.27586207],0
a2,1,0.71503,0.133305,[ 6 46] ; [1 5],[ 6.27586207 45.72413793] ; [0.72413793 5.27586207],0
a7,1,0.71865,0.12979,[22 30] ; [3 3],[22.4137931 29.5862069] ; [2.5862069 3.4137931],0
p11,1,0.739402,0.110653,[14 38] ; [2 4],[14.34482759 37.65517241] ; [1.65517241 4.34482759],0
d2,1,0.748632,0.102684,[22 29] ; [3 3],[22.36842105 28.63157895] ; [2.63157895 3.36842105],0
n1,1,0.804748,0.061111,[12 15] ; [3 3],[12.27272727 14.72727273] ; [2.72727273 3.27272727],0
u3,1,0.826403,0.0481,[ 6 16] ; [1 2],[ 6.16 15.84] ; [0.84 2.16],0
b1,1,0.877076,0.023925,[33 19] ; [4 2],[33.17241379 18.82758621] ; [3.82758621 2.17241379],0
a4,1,0.897506,0.016593,[18 32] ; [2 4],[17.85714286 32.14285714] ; [2.14285714 3.85714286],0
r2,1,0.897506,0.016593,[32 18] ; [4 2],[32.14285714 17.85714286] ; [3.85714286 2.14285714],0
d1,1,0.950118,0.003914,[18 34] ; [2 4],[17.93103448 34.06896552] ; [2.06896552 3.93103448],0
a5,1,1.0,0.0,[26 26] ; [3 3],[26. 26.] ; [3. 3.],0
