Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,115.896273,[356  54] ; [69 91],[305.70175439 104.29824561] ; [119.29824561  40.70175439],1
n6,1,0.0,44.093236,[354  54] ; [99 61],[325.3943662  82.6056338] ; [127.6056338  32.3943662],1
p10,1,2e-06,22.361353,[325  81] ; [96 62],[303.06028369 102.93971631] ; [117.93971631  40.06028369],1
v1,1,2.5e-05,17.737978,[218 180] ; [ 54 101],[195.76130199 202.23869801] ; [76.23869801 78.76130199],1
p9,1,0.000128,14.677877,[335  71] ; [107  51],[318.17730496  87.82269504] ; [123.82269504  34.17730496],1
p4,1,0.000227,13.595243,[235 174] ; [64 95],[215.30105634 193.69894366] ; [83.69894366 75.30105634],1
s7,1,0.001317,10.318473,[171 220] ; [ 44 109],[154.53125 236.46875] ; [60.46875 92.53125],0
s6,1,0.001615,9.942801,[242 166] ; [71 88],[225.22751323 182.77248677] ; [87.77248677 71.22751323],0
a2,1,0.006383,7.438889,[ 99 311] ; [ 22 138],[ 87.03508772 322.96491228] ; [ 33.96491228 126.03508772],0
p11,1,0.006476,7.412917,[326  84] ; [110  50],[313.61403509  96.38596491] ; [122.38596491  37.61403509],0
p3,1,0.009931,6.647222,[191 216] ; [ 56 104],[177.29982363 229.70017637] ; [69.70017637 90.29982363],0
n1,1,0.013076,6.158831,[39 51] ; [10 36],[32.42647059 57.57352941] ; [16.57352941 29.42647059],0
s8,1,0.01308,6.158313,[155 254] ; [ 43 117],[142.32337434 266.67662566] ; [ 55.67662566 104.32337434],0
p6,1,0.013366,6.119989,[131 273] ; [ 34 122],[119.03571429 284.96428571] ; [ 45.96428571 110.03571429],0
d2,1,0.013961,6.043005,[197 211] ; [ 59 101],[183.88732394 224.11267606] ; [72.11267606 87.88732394],0
u1,1,0.013999,6.038314,[ 69 341] ; [ 14 146],[ 59.70175439 350.29824561] ; [ 23.29824561 136.70175439],0
a4,1,0.016931,5.70348,[179 227] ; [ 53 107],[166.41696113 239.58303887] ; [65.58303887 94.41696113],0
v3,1,0.019692,5.439007,[158 238] ; [ 43 105],[146.31617647 249.68382353] ; [54.68382353 93.31617647],0
a8,1,0.020119,5.401553,[ 52 319] ; [ 10 139],[ 44.23461538 326.76538462] ; [ 17.76538462 131.23461538],0
a5,1,0.021398,5.294067,[292 118] ; [98 62],[280.52631579 129.47368421] ; [109.47368421  50.52631579],0
b3,1,0.036816,4.358908,[ 97 153] ; [22 62],[ 89.07185629 160.92814371] ; [29.92814371 54.07185629],0
b2,1,0.036816,4.358908,[ 97 153] ; [22 62],[ 89.07185629 160.92814371] ; [29.92814371 54.07185629],0
s2,1,0.04367,4.069269,[167 240] ; [ 51 109],[156.48324515 250.51675485] ; [61.51675485 98.48324515],0
p5,1,0.052294,3.76634,[ 27 379] ; [  4 155],[ 22.27610619 383.72389381] ; [  8.72389381 150.27610619],0
p12,1,0.066384,3.370243,[ 22 384] ; [  3 156],[ 17.96460177 388.03539823] ; [  7.03539823 151.96460177],0
s3,1,0.075944,3.149641,[205 202] ; [66 91],[195.56205674 211.43794326] ; [75.43794326 81.56205674],0
a1,1,0.082837,3.008336,[ 21 389] ; [  3 157],[ 17.26315789 392.73684211] ; [  6.73684211 153.26315789],0
s4,1,0.09749,2.746125,[ 41 366] ; [ 24 136],[ 46.65784832 360.34215168] ; [ 18.34215168 141.65784832],0
u4,1,0.098106,2.736065,[ 12 398] ; [  1 159],[  9.35087719 400.64912281] ; [  3.64912281 156.35087719],0
u3,1,0.111623,2.531088,[67 61] ; [37 20],[71.95675676 56.04324324] ; [32.04324324 24.95675676],0
p8,1,0.115092,2.482876,[196 205] ; [66 93],[187.61071429 213.38928571] ; [74.38928571 84.61071429],0
d5,1,0.119107,2.429027,[328  81] ; [118  41],[321.15140845  87.84859155] ; [124.84859155  34.15140845],0
u2,1,0.131121,2.279177,[65 62] ; [36 21],[69.71195652 57.28804348] ; [31.28804348 25.71195652],0
a3,1,0.170414,1.879297,[282 126] ; [101  59],[275.11267606 132.88732394] ; [107.88732394  52.11267606],0
p7,1,0.172316,1.862676,[238 162] ; [84 74],[230.82437276 169.17562724] ; [91.17562724 66.82437276],0
d1,1,0.189068,1.724868,[230 180] ; [80 80],[222.98245614 187.01754386] ; [87.01754386 72.98245614],0
p2,1,0.190251,1.71567,[329  77] ; [121  38],[323.36283186  82.63716814] ; [126.63716814  32.36283186],0
a6,1,0.304657,1.053696,[289 120] ; [106  54],[283.92794376 125.07205624] ; [111.07205624  48.92794376],0
n2,1,0.390078,0.738698,[64 28] ; [28 17],[61.7810219 30.2189781] ; [30.2189781 14.7810219],0
a7,1,0.430641,0.621093,[298 111] ; [121  38],[301.70950704 107.29049296] ; [117.29049296  41.70950704],0
d3,1,0.460117,0.545609,[269 139] ; [110  49],[272.71957672 135.28042328] ; [106.28042328  52.71957672],0
r1,1,0.465033,0.533753,[325  83] ; [123  37],[321.8028169  86.1971831] ; [126.1971831  33.8028169],0
v4,1,0.503223,0.448133,[389  20] ; [149  10],[387.39788732  21.60211268] ; [150.60211268   8.39788732],0
r4,1,0.571368,0.320399,[368  42] ; [141  19],[366.12280702  43.87719298] ; [142.87719298  17.12280702],0
v2,1,0.689531,0.159593,[208 185] ; [76 73],[205.92619926 187.07380074] ; [78.07380074 70.92619926],0
b1,1,0.690257,0.158808,[156 254] ; [ 58 102],[153.92982456 256.07017544] ; [60.07017544 99.92982456],0
n3,1,0.693306,0.15553,[61 29] ; [32 13],[62. 28.] ; [31. 14.],0
b4,1,0.7159,0.132455,[234 176] ; [94 66],[235.92982456 174.07017544] ; [92.07017544 67.92982456],0
p1,1,0.748092,0.103142,[ 29 380] ; [ 10 148],[ 28.13227513 380.86772487] ; [ 10.86772487 147.13227513],0
d4,1,0.809009,0.058421,[320  88] ; [124  36],[318.92957746  89.07042254] ; [125.07042254  34.92957746],0
b5,1,0.90065,0.015585,[256 154] ; [99 61],[255.35087719 154.64912281] ; [99.64912281 60.35087719],0
s1,1,0.954917,0.003196,[ 13 391] ; [  5 155],[ 12.89361702 391.10638298] ; [  5.10638298 154.89361702],0
r3,1,0.990168,0.000152,[381  28] ; [149  11],[380.96660808  28.03339192] ; [149.03339192  10.96660808],0
