Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.002534,9.116014,[ 9 24] ; [19 10],[14.90322581 18.09677419] ; [13.09677419 15.90322581],0
a5,1,0.017486,5.646921,[14 19] ; [21  8],[18.62903226 14.37096774] ; [16.37096774 12.62903226],0
r3,1,0.026538,4.920638,[13 20] ; [19  9],[17.31147541 15.68852459] ; [14.68852459 13.31147541],0
d5,1,0.031837,4.607266,[15 18] ; [21  8],[19.16129032 13.83870968] ; [16.83870968 12.16129032],0
b4,1,0.047686,3.921021,[17 16] ; [22  7],[20.75806452 12.24193548] ; [18.24193548 10.75806452],0
a2,1,0.058963,3.566303,[ 1 32] ; [ 5 24],[ 3.19354839 29.80645161] ; [ 2.80645161 26.19354839],0
p8,1,0.081723,3.030303,[ 3 30] ; [ 7 20],[ 5.5 27.5] ; [ 4.5 22.5],0
a3,1,0.112626,2.516985,[17 16] ; [20  8],[20.01639344 12.98360656] ; [16.98360656 11.01639344],0
p6,1,0.193255,1.692626,[ 2 29] ; [ 5 24],[ 3.61666667 27.38333333] ; [ 3.38333333 25.61666667],0
n2,1,0.193931,1.6875,[ 5 10] ; [7 5],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
d3,1,0.203141,1.619645,[14 19] ; [17 12],[16.5 16.5] ; [14.5 14.5],0
s4,1,0.245708,1.347544,[ 7 26] ; [ 3 26],[ 5.32258065 27.67741935] ; [ 4.67741935 24.32258065],0
n6,1,0.265257,1.241112,[16 16] ; [10 18],[13.86666667 18.13333333] ; [12.13333333 15.86666667],0
b2,1,0.300299,1.072866,[10 13] ; [ 5 13],[ 8.41463415 14.58536585] ; [ 6.58536585 11.41463415],0
b3,1,0.300299,1.072866,[10 13] ; [ 5 13],[ 8.41463415 14.58536585] ; [ 6.58536585 11.41463415],0
b5,1,0.316236,1.00445,[14 19] ; [16 13],[15.96774194 17.03225806] ; [14.03225806 14.96774194],0
p9,1,0.329662,0.950226,[12 20] ; [14 14],[13.86666667 18.13333333] ; [12.13333333 15.86666667],0
p5,1,0.385491,0.753119,[ 3 30] ; [ 1 27],[ 2.16393443 30.83606557] ; [ 1.83606557 26.16393443],0
s5,1,0.388237,0.744456,[ 4 28] ; [ 6 23],[ 5.24590164 26.75409836] ; [ 4.75409836 24.24590164],0
a4,1,0.410107,0.67849,[12 20] ; [ 8 21],[10.49180328 21.50819672] ; [ 9.50819672 19.49180328],0
v2,1,0.415214,0.663821,[ 9 23] ; [11 18],[10.49180328 21.50819672] ; [ 9.50819672 19.49180328],0
v1,1,0.492836,0.470329,[ 8 25] ; [ 9 19],[ 9.19672131 23.80327869] ; [ 7.80327869 20.19672131],0
n4,1,0.512863,0.428222,[22 11] ; [17 12],[20.75806452 12.24193548] ; [18.24193548 10.75806452],0
