Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,66.466949,[77  6] ; [ 7 30],[58.1 24.9] ; [25.9 11.1],1
n6,1,0.004607,8.027787,[79  4] ; [29  8],[74.7  8.3] ; [33.3  3.7],0
b4,1,0.004998,7.880169,[45 38] ; [30  7],[51.875 31.125] ; [23.125 13.875],0
n2,1,0.017706,5.625045,[17  2] ; [8 7],[13.97058824  5.02941176] ; [11.02941176  3.97058824],0
b1,1,0.026152,4.945971,[38 45] ; [ 9 28],[32.50833333 50.49166667] ; [14.49166667 22.50833333],0
p4,1,0.02909,4.762304,[55 27] ; [17 20],[49.61344538 32.38655462] ; [22.38655462 14.61344538],0
s7,1,0.035617,4.415363,[54 24] ; [17 18],[49.00884956 28.99115044] ; [21.99115044 13.00884956],0
p2,1,0.041071,4.173087,[71 12] ; [25 11],[66.95798319 16.04201681] ; [29.04201681  6.95798319],0
a2,1,0.053943,3.714448,[22 61] ; [ 4 33],[17.98333333 65.01666667] ; [ 8.01666667 28.98333333],0
r1,1,0.062908,3.459008,[70 13] ; [25 11],[66.2605042 16.7394958] ; [28.7394958  7.2605042],0
a6,1,0.068978,3.307185,[57 26] ; [19 18],[52.56666667 30.43333333] ; [23.43333333 13.56666667],0
u1,1,0.070632,3.268278,[18 65] ; [ 3 34],[14.525 68.475] ; [ 6.475 30.525],0
s4,1,0.109686,2.558746,[21 60] ; [15 22],[24.71186441 56.28813559] ; [11.28813559 25.71186441],0
p6,1,0.113599,2.503419,[35 48] ; [10 27],[31.125 51.875] ; [13.875 23.125],0
a4,1,0.116325,2.466111,[42 41] ; [13 24],[38.04166667 44.95833333] ; [16.95833333 20.04166667],0
p11,1,0.120121,2.415738,[65 18] ; [24 13],[61.55833333 21.44166667] ; [27.44166667  9.55833333],0
p9,1,0.137815,2.202187,[69 11] ; [27  9],[66.20689655 13.79310345] ; [29.79310345  6.20689655],0
d4,1,0.139381,2.184778,[61 21] ; [32  5],[64.08403361 17.91596639] ; [28.91596639  8.08403361],0
v4,1,0.155465,2.017788,[78  5] ; [31  5],[76.02521008  6.97478992] ; [32.97478992  3.02521008],0
p1,1,0.160252,1.97185,[12 70] ; [ 2 34],[ 9.72881356 72.27118644] ; [ 4.27118644 31.72881356],0
u3,1,0.172955,1.857143,[16 10] ; [5 8],[14. 12.] ; [7. 6.],0
s8,1,0.192949,1.694957,[37 45] ; [12 25],[33.76470588 48.23529412] ; [15.23529412 21.76470588],0
p3,1,0.217629,1.519935,[46 37] ; [16 21],[42.88333333 40.11666667] ; [19.11666667 17.88333333],0
b2,1,0.225038,1.471952,[20 29] ; [ 6 17],[17.69444444 31.30555556] ; [ 8.30555556 14.69444444],0
b3,1,0.225038,1.471952,[20 29] ; [ 6 17],[17.69444444 31.30555556] ; [ 8.30555556 14.69444444],0
r2,1,0.296929,1.087936,[80  3] ; [34  3],[78.85  4.15] ; [35.15  1.85],0
u2,1,0.304976,1.052308,[14 11] ; [5 8],[12.5 12.5] ; [6.5 6.5],0
p10,1,0.316895,1.001719,[68 14] ; [27  9],[66.01694915 15.98305085] ; [28.98305085  7.01694915],0
p12,1,0.331521,0.942949,[ 9 73] ; [ 2 35],[ 7.57983193 74.42016807] ; [ 3.42016807 33.57983193],0
a5,1,0.340277,0.909387,[63 20] ; [25 12],[60.86666667 22.13333333] ; [27.13333333  9.86666667],0
p5,1,0.340949,0.906858,[15 68] ; [ 4 32],[13.25210084 69.74789916] ; [ 5.74789916 30.25210084],0
d2,1,0.366621,0.815086,[45 37] ; [17 20],[42.72268908 39.27731092] ; [19.27731092 17.72268908],0
d5,1,0.369945,0.803848,[61 22] ; [30  7],[62.94166667 20.05833333] ; [28.05833333  8.94166667],0
v2,1,0.410184,0.678268,[35 46] ; [19 18],[37.06779661 43.93220339] ; [16.93220339 20.06779661],0
v3,1,0.415553,0.662857,[27 54] ; [ 9 26],[25.13793103 55.86206897] ; [10.86206897 24.13793103],0
a7,1,0.440675,0.594525,[54 28] ; [27 10],[55.81512605 26.18487395] ; [25.18487395 11.81512605],0
a8,1,0.472368,0.516431,[ 8 67] ; [ 2 30],[ 7.00934579 67.99065421] ; [ 2.99065421 29.00934579],0
s3,1,0.489967,0.476599,[52 30] ; [21 16],[50.30252101 31.69747899] ; [22.69747899 14.30252101],0
d3,1,0.493821,0.468191,[53 30] ; [26 11],[54.64166667 28.35833333] ; [24.35833333 12.64166667],0
s2,1,0.525527,0.403033,[50 33] ; [20 17],[48.41666667 34.58333333] ; [21.58333333 15.41666667],0
n1,1,0.565659,0.33,[9 9] ; [6 9],[8.18181818 9.81818182] ; [6.81818182 8.18181818],0
p8,1,0.621647,0.24356,[40 41] ; [16 20],[38.76923077 42.23076923] ; [17.23076923 18.76923077],0
a1,1,0.672554,0.17863,[ 5 78] ; [ 3 34],[ 5.53333333 77.46666667] ; [ 2.46666667 34.53333333],0
a3,1,0.680712,0.169326,[57 26] ; [24 13],[56.025 26.975] ; [24.975 12.025],0
p7,1,0.686808,0.162563,[52 28] ; [22 14],[51.03448276 28.96551724] ; [22.96551724 13.03448276],0
n3,1,0.746108,0.104831,[14  5] ; [11  3],[14.39393939  4.60606061] ; [10.60606061  3.39393939],0
b5,1,0.796197,0.066704,[38 45] ; [16 21],[37.35 45.65] ; [16.65 20.35],0
d1,1,0.796197,0.066704,[45 38] ; [21 16],[45.65 37.35] ; [20.35 16.65],0
r4,1,0.8433,0.039075,[75  8] ; [33  4],[74.7  8.3] ; [33.3  3.7],0
s6,1,0.878806,0.023251,[70 10] ; [32  5],[69.74358974 10.25641026] ; [32.25641026  4.74358974],0
s1,1,0.893765,0.017833,[ 5 78] ; [ 2 35],[ 4.84166667 78.15833333] ; [ 2.15833333 34.84166667],0
