Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,41.425391,[109   4] ; [12 12],[99.80291971 13.19708029] ; [21.19708029  2.80291971],1
r2,1,0.0,38.407549,[109   3] ; [12 10],[101.13432836  10.86567164] ; [19.86567164  2.13432836],1
r3,1,0.0,37.830115,[108   5] ; [12 12],[98.97810219 14.02189781] ; [21.02189781  2.97810219],1
r1,1,0.0,30.845154,[89 24] ; [ 5 19],[77.53284672 35.46715328] ; [16.46715328  7.53284672],1
s6,1,5.1e-05,16.404125,[77 34] ; [ 6 18],[68.24444444 42.75555556] ; [14.75555556  9.24444444],1
a7,1,0.001416,10.184802,[77 36] ; [ 8 16],[70.10948905 42.89051095] ; [14.89051095  9.10948905],0
p9,1,0.002243,9.339536,[76 35] ; [ 7 14],[69.79545455 41.20454545] ; [13.20454545  7.79545455],0
s8,1,0.011023,6.461565,[50 62] ; [ 4 20],[44.47058824 67.52941176] ; [ 9.52941176 14.47058824],0
s3,1,0.017612,5.63438,[52 58] ; [ 5 19],[46.79104478 63.20895522] ; [10.20895522 13.79104478],0
s2,1,0.019303,5.473896,[52 59] ; [ 5 19],[46.86666667 64.13333333] ; [10.13333333 13.86666667],0
p10,1,0.021987,5.246849,[74 37] ; [10 14],[69.06666667 41.93333333] ; [14.93333333  9.06666667],0
p7,1,0.026365,4.931948,[41 70] ; [ 3 20],[36.44776119 74.55223881] ; [ 7.55223881 15.44776119],0
s5,1,0.040615,4.192021,[36 71] ; [ 3 21],[31.85496183 75.14503817] ; [ 7.14503817 16.85496183],0
p3,1,0.045033,4.017413,[43 70] ; [ 4 20],[38.76642336 74.23357664] ; [ 8.23357664 15.76642336],0
p11,1,0.047713,3.920071,[76 37] ; [11 13],[71.75912409 41.24087591] ; [15.24087591  8.75912409],0
v1,1,0.051092,3.805264,[48 62] ; [ 5 18],[43.83458647 66.16541353] ; [ 9.16541353 13.83458647],0
p6,1,0.089957,2.875134,[28 85] ; [ 2 21],[24.92647059 88.07352941] ; [ 5.07352941 17.92647059],0
n2,1,0.098416,2.731034,[24  5] ; [9 6],[21.75  7.25] ; [11.25  3.75],0
a6,1,0.103472,2.6512,[72 41] ; [11 13],[68.45985401 44.54014599] ; [14.54014599  9.45985401],0
