Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.869323,[209  90] ; [111 129],[177.51391466 121.48608534] ; [142.48608534  97.51391466],1
v3,1,3e-06,22.036726,[149 149] ; [ 73 170],[122.28465804 175.71534196] ; [ 99.71534196 143.28465804],1
p4,1,3e-06,21.856953,[220  85] ; [130 116],[193.73865699 111.26134301] ; [156.26134301  89.73865699],1
n5,1,1e-05,19.473843,[262  45] ; [171  74],[240.81702899  66.18297101] ; [192.18297101  52.81702899],1
p3,1,2e-05,18.235155,[181 125] ; [101 146],[156.04339964 149.95660036] ; [125.95660036 121.04339964],1
p6,1,6.8e-05,15.876413,[140 160] ; [ 74 173],[117.36745887 182.63254113] ; [ 96.63254113 150.36745887],1
p8,1,0.000364,12.71077,[186 115] ; [114 131],[165.38461538 135.61538462] ; [134.61538462 110.38461538],1
a5,1,0.001252,10.411642,[247  60] ; [170  78],[230.66486486  76.33513514] ; [186.33513514  61.66486486],0
n4,1,0.002962,8.830551,[259  47] ; [184  63],[245.13200723  60.86799277] ; [197.86799277  49.13200723],0
p7,1,0.00315,8.718343,[207  90] ; [139 103],[190.65306122 106.34693878] ; [155.34693878  86.65306122],0
s8,1,0.003944,8.309207,[148 155] ; [ 90 156],[131.35519126 171.64480874] ; [106.64480874 139.35519126],0
p9,1,0.005101,7.843285,[272  31] ; [197  45],[260.74678899  42.25321101] ; [208.25321101  33.74678899],0
p5,1,0.008897,6.84339,[ 47 258] ; [ 20 227],[ 37.01992754 267.98007246] ; [ 29.98007246 217.01992754],0
u4,1,0.010447,6.557094,[ 11 296] ; [  1 247],[  6.63783784 300.36216216] ; [  5.36216216 242.63783784],0
r4,1,0.010598,6.53147,[294  13] ; [224  24],[286.53333333  20.46666667] ; [231.46666667  16.53333333],0
p10,1,0.011232,6.428203,[266  37] ; [194  49],[255.27472527  47.72527473] ; [204.72527473  38.27472527],0
p2,1,0.012524,6.235075,[271  35] ; [200  47],[260.62567812  45.37432188] ; [210.37432188  36.62567812],0
s6,1,0.015419,5.867947,[220  79] ; [156  88],[207.04235727  91.95764273] ; [168.95764273  75.04235727],0
p11,1,0.020173,5.396886,[257  50] ; [188  60],[246.15315315  60.84684685] ; [198.84684685  49.15315315],0
s7,1,0.032681,4.562389,[154 134] ; [105 133],[141.80988593 146.19011407] ; [117.19011407 120.80988593],0
u1,1,0.034128,4.488286,[ 83 224] ; [ 48 200],[ 72.46306306 234.53693694] ; [ 58.53693694 189.46306306],0
d1,1,0.034705,4.459635,[205 102] ; [144 104],[193.05045045 113.94954955] ; [155.94954955  92.05045045],0
s5,1,0.04408,4.053488,[112 180] ; [ 73 170],[100.97196262 191.02803738] ; [ 84.02803738 158.97196262],0
p12,1,0.045053,4.016648,[ 35 271] ; [ 16 231],[ 28.22061483 277.77938517] ; [ 22.77938517 224.22061483],0
r1,1,0.05603,3.651176,[260  45] ; [196  52],[251.50090416  53.49909584] ; [204.49909584  43.50090416],0
p1,1,0.060863,3.513719,[ 34 272] ; [ 16 230],[ 27.7173913 278.2826087] ; [ 22.2826087 223.7173913],0
r2,1,0.064457,3.41882,[297   8] ; [230  14],[292.77777778  12.22222222] ; [234.22222222   9.77777778],0
a4,1,0.066761,3.360915,[148 157] ; [101 147],[137.33273056 167.66726944] ; [111.66726944 136.33273056],0
b5,1,0.075213,3.165425,[208  99] ; [150  98],[198.02882883 108.97117117] ; [159.97117117  88.02882883],0
v4,1,0.089682,2.880073,[300   6] ; [235  11],[296.57608696   9.42391304] ; [238.42391304   7.57608696],0
a2,1,0.127332,2.324739,[100 207] ; [ 66 182],[ 91.82342342 215.17657658] ; [ 74.17657658 173.82342342],0
r3,1,0.151019,2.061923,[299   7] ; [235  11],[296.02173913   9.97826087] ; [237.97826087   8.02173913],0
s2,1,0.156424,2.008458,[164 136] ; [120 127],[155.75868373 144.24131627] ; [128.24131627 118.75868373],0
u3,1,0.171136,1.872962,[51 30] ; [38 35],[46.81168831 34.18831169] ; [42.18831169 30.81168831],0
n2,1,0.187848,1.734417,[42  9] ; [46 18],[39.02608696 11.97391304] ; [48.97391304 15.02608696],0
a8,1,0.225857,1.466766,[ 45 224] ; [ 29 197],[ 40.21414141 228.78585859] ; [ 33.78585859 192.21414141],0
a3,1,0.231356,1.432508,[226  78] ; [173  75],[219.73913043  84.26086957] ; [179.26086957  68.73913043],0
s4,1,0.269934,1.21708,[ 47 253] ; [ 47 197],[ 51.83823529 248.16176471] ; [ 42.16176471 201.83823529],0
u2,1,0.271371,1.209805,[46 34] ; [36 38],[42.5974026 37.4025974] ; [39.4025974 34.5974026],0
d3,1,0.307853,1.039866,[245  62] ; [189  59],[240.06846847  66.93153153] ; [193.93153153  54.06846847],0
n3,1,0.331047,0.944796,[36 15] ; [51 14],[38.25 12.75] ; [48.75 16.25],0
d2,1,0.33367,0.934601,[157 149] ; [117 131],[151.34296029 154.65703971] ; [122.65703971 125.34296029],0
a6,1,0.389946,0.739109,[239  67] ; [186  62],[234.74729242  71.25270758] ; [190.25270758  57.74729242],0
d5,1,0.421054,0.647372,[258  49] ; [202  46],[254.45045045  52.54954955] ; [205.54954955  42.45045045],0
b1,1,0.422582,0.643124,[ 99 208] ; [ 88 160],[103.43963964 203.56036036] ; [ 83.56036036 164.43963964],0
b2,1,0.504611,0.445226,[ 73 122] ; [45 88],[ 70.15243902 124.84756098] ; [47.84756098 85.15243902],0
b3,1,0.504611,0.445226,[ 73 122] ; [45 88],[ 70.15243902 124.84756098] ; [47.84756098 85.15243902],0
s3,1,0.657144,0.197011,[168 131] ; [133 112],[165.43933824 133.56066176] ; [135.56066176 109.43933824],0
b4,1,0.708465,0.139815,[188 119] ; [148 100],[185.85945946 121.14054054] ; [150.14054054  97.85945946],0
a1,1,0.732958,0.116413,[ 13 294] ; [ 12 236],[ 13.82882883 293.17117117] ; [ 11.17117117 236.82882883],0
s1,1,0.760856,0.092633,[ 10 292] ; [  7 238],[  9.3857404 292.6142596] ; [  7.6142596 237.3857404],0
n1,1,0.902751,0.01493,[20 31] ; [24 39],[19.68421053 31.31578947] ; [24.31578947 38.68421053],0
d4,1,0.957204,0.00288,[258  49] ; [208  40],[257.76936937  49.23063063] ; [208.23063063  39.76936937],0
