Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,107.317106,[225 161] ; [ 48 222],[160.63719512 225.36280488] ; [112.36280488 157.63719512],1
v1,1,0.0,40.781142,[263 126] ; [115 155],[223.12898331 165.87101669] ; [154.87101669 115.12898331],1
r1,1,0.000257,13.362704,[352  44] ; [216  59],[335.21311475  60.78688525] ; [232.78688525  42.21311475],1
a5,1,0.000526,12.022615,[322  75] ; [192  84],[303.20653789  93.79346211] ; [210.79346211  65.20653789],1
d5,1,0.003156,8.71499,[341  55] ; [211  62],[326.74439462  69.25560538] ; [225.25560538  47.74439462],0
d1,1,0.007401,7.173091,[262 135] ; [154 122],[245.39673105 151.60326895] ; [170.60326895 105.39673105],0
a3,1,0.007817,7.074901,[308  88] ; [188  86],[293.15820896 102.84179104] ; [202.84179104  71.15820896],0
p3,1,0.011362,6.407845,[230 166] ; [133 143],[213.91071429 182.08928571] ; [149.08928571 126.91071429],0
s1,1,0.013537,6.097553,[  6 386] ; [ 13 259],[ 11.21686747 380.78313253] ; [  7.78313253 264.21686747],0
d2,1,0.014539,5.971463,[210 186] ; [119 155],[194.45373134 201.54626866] ; [134.54626866 139.45373134],0
u1,1,0.021723,5.267804,[ 87 310] ; [ 41 235],[ 75.50668648 321.49331352] ; [ 52.49331352 223.50668648],0
p7,1,0.030025,4.707857,[276 114] ; [170 101],[263.14674735 126.85325265] ; [182.85325265  88.14674735],0
p12,1,0.036223,4.386575,[ 45 352] ; [ 18 257],[ 37.21875 359.78125] ; [ 25.78125 249.21875],0
d4,1,0.037704,4.318327,[343  53] ; [221  53],[333.34925373  62.65074627] ; [230.65074627  43.34925373],0
s4,1,0.041347,4.161753,[ 60 335] ; [ 58 214],[ 69.88005997 325.11994003] ; [ 48.11994003 223.88005997],0
a7,1,0.046421,3.966267,[305  91] ; [193  82],[293.90163934 102.09836066] ; [204.09836066  70.90163934],0
p10,1,0.057358,3.612185,[369  28] ; [244  31],[362.14434524  34.85565476] ; [250.85565476  24.14434524],0
s7,1,0.06605,3.378564,[212 169] ; [128 137],[200.52631579 180.47368421] ; [139.47368421 125.52631579],0
b1,1,0.074751,3.175477,[122 275] ; [103 173],[132.72659733 264.27340267] ; [ 92.27340267 183.72659733],0
d3,1,0.09411,2.80263,[291 105] ; [185  89],[281.33731343 114.66268657] ; [194.66268657  79.33731343],0
n6,1,0.095106,2.785758,[354  39] ; [237  39],[347.1793722  45.8206278] ; [243.8206278  32.1793722],0
n4,1,0.101084,2.688365,[323  73] ; [210  65],[314.55737705  81.44262295] ; [218.44262295  56.55737705],0
a2,1,0.123568,2.37151,[107 290] ; [ 60 216],[ 98.51263001 298.48736999] ; [ 68.48736999 207.51263001],0
s8,1,0.144472,2.129667,[201 193] ; [125 151],[191.70746269 202.29253731] ; [134.29253731 141.70746269],0
n5,1,0.150625,2.065909,[315  79] ; [207  68],[307.42600897  86.57399103] ; [214.57399103  60.42600897],0
b5,1,0.164958,1.928174,[235 162] ; [178  98],[243.62704309 153.37295691] ; [169.37295691 106.62704309],0
a1,1,0.165053,1.927309,[ 22 375] ; [  9 267],[ 18.28677563 378.71322437] ; [ 12.71322437 263.28677563],0
a6,1,0.180483,1.793639,[282 113] ; [183  92],[274.14179104 120.85820896] ; [190.85820896  84.14179104],0
u4,1,0.187568,1.736619,[ 12 385] ; [  4 272],[  9.43833581 387.56166419] ; [  6.56166419 269.43833581],0
r2,1,0.207983,1.585414,[388   7] ; [265   9],[385.55306428   9.44693572] ; [267.44693572   6.55306428],0
p4,1,0.218592,1.513589,[259 135] ; [168 107],[251.47683109 142.52316891] ; [175.52316891  99.47683109],0
p11,1,0.286211,1.13736,[336  61] ; [225  51],[330.93164933  66.06835067] ; [230.06835067  45.93164933],0
p8,1,0.302041,1.065163,[229 162] ; [150 125],[222.50600601 168.49399399] ; [156.49399399 118.50600601],0
r3,1,0.354175,0.858442,[392   5] ; [269   6],[390.5014881   6.4985119] ; [270.4985119   4.5014881],0
b4,1,0.400966,0.705428,[233 164] ; [153 123],[227.69985141 169.30014859] ; [158.30014859 117.69985141],0
a4,1,0.460772,0.544019,[190 206] ; [124 151],[185.31147541 210.68852459] ; [128.68852459 146.31147541],0
n1,1,0.462996,0.538641,[24 45] ; [27 39],[26.06666667 42.93333333] ; [24.93333333 41.06666667],0
a8,1,0.511175,0.43166,[ 57 298] ; [ 36 219],[ 54.12295082 300.87704918] ; [ 38.87704918 216.12295082],0
u2,1,0.52721,0.399767,[49 40] ; [52 35],[51.07386364 37.92613636] ; [49.92613636 37.07386364],0
