Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,59.274854,[341  48] ; [25 30],[320.66216216  68.33783784] ; [45.33783784  9.66216216],1
n4,1,0.0,31.584639,[334  54] ; [31 25],[318.96396396  69.03603604] ; [46.03603604  9.96396396],1
p10,1,1e-06,23.352287,[342  43] ; [34 19],[330.50228311  54.49771689] ; [45.49771689  7.50228311],1
p4,1,0.000342,12.824191,[270 117] ; [25 30],[258.2918552 128.7081448] ; [36.7081448 18.2918552],1
p7,1,0.000761,11.33348,[271 106] ; [26 27],[260.39302326 116.60697674] ; [36.60697674 16.39302326],1
p9,1,0.001365,10.252389,[348  37] ; [40 13],[341.05022831  43.94977169] ; [46.94977169  6.05022831],0
p8,1,0.003152,8.717296,[235 145] ; [22 32],[225.02304147 154.97695853] ; [31.97695853 22.02304147],0
p11,1,0.008287,6.970278,[327  62] ; [39 17],[319.94157303  69.05842697] ; [46.05842697  9.94157303],0
v4,1,0.013641,6.084027,[385   4] ; [52  3],[382.86711712   6.13288288] ; [54.13288288  0.86711712],0
v3,1,0.014953,5.921967,[202 176] ; [18 33],[193.84615385 184.15384615] ; [26.15384615 24.84615385],0
b1,1,0.021336,5.299129,[133 256] ; [28 28],[140.73932584 248.26067416] ; [20.26067416 35.73932584],0
a7,1,0.03405,4.492209,[294  94] ; [35 21],[287.5045045 100.4954955] ; [41.4954955 14.5045045],0
d2,1,0.038127,4.299364,[203 185] ; [21 35],[195.74774775 192.25225225] ; [28.25225225 27.74774775],0
d1,1,0.043167,4.088861,[249 140] ; [28 28],[242.14157303 146.85842697] ; [34.85842697 21.14157303],0
u1,1,0.049012,3.874926,[ 86 303] ; [ 6 50],[ 80.42247191 308.57752809] ; [11.57752809 44.42247191],0
p5,1,0.04967,3.852576,[ 60 326] ; [ 3 51],[ 55.26818182 330.73181818] ; [ 7.73181818 46.26818182],0
s6,1,0.063394,3.446294,[279  99] ; [34 21],[273.24249423 104.75750577] ; [39.75750577 15.24249423],0
u2,1,0.067098,3.352624,[51 46] ; [11  3],[54.18018018 42.81981982] ; [7.81981982 6.18018018],0
p6,1,0.110317,2.549681,[172 209] ; [17 34],[166.6875 214.3125] ; [22.3125 28.6875],0
p2,1,0.121118,2.402801,[339  48] ; [44 11],[335.34162896  51.65837104] ; [47.65837104  7.34162896],0
r2,1,0.124619,2.358291,[383   4] ; [54  2],[381.75846501   5.24153499] ; [55.24153499  0.75846501],0
s7,1,0.139723,2.181011,[204 166] ; [23 29],[199.02843602 170.97156398] ; [27.97156398 24.02843602],0
a4,1,0.143455,2.1405,[192 194] ; [22 34],[186.88687783 199.11312217] ; [27.11312217 28.88687783],0
u3,1,0.151373,2.05836,[59 38] ; [12  3],[61.49107143 35.50892857] ; [9.50892857 5.49107143],0
