Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000906,11.011114,[19  8] ; [ 5 17],[13.2244898 13.7755102] ; [10.7755102 11.2244898],1
a3,1,0.034258,4.481793,[22  6] ; [11 11],[18.48  9.52] ; [14.52  7.48],0
n3,1,0.036331,4.381481,[7 2] ; [1 4],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
a4,1,0.061448,3.497857,[15 13] ; [ 6 16],[11.76 16.24] ; [ 9.24 12.76],0
s5,1,0.065976,3.380409,[10 15] ; [ 3 17],[ 7.22222222 17.77777778] ; [ 5.77777778 14.22222222],0
n2,1,0.085192,2.962963,[7 2] ; [2 4],[5.4 3.6] ; [3.6 2.4],0
p5,1,0.087375,2.922078,[ 1 27] ; [ 4 18],[ 2.8 25.2] ; [ 2.2 19.8],0
a8,1,0.097196,2.750959,[ 8 14] ; [ 3 18],[ 5.62790698 16.37209302] ; [ 5.37209302 15.62790698],0
v3,1,0.125311,2.34965,[14 12] ; [ 7 15],[11.375 14.625] ; [ 9.625 12.375],0
s2,1,0.153164,2.040454,[20  7] ; [12 10],[17.63265306  9.36734694] ; [14.36734694  7.63265306],0
s7,1,0.187132,1.740057,[21  7] ; [12  9],[18.85714286  9.14285714] ; [14.14285714  6.85714286],0
b4,1,0.216989,1.52417,[20  8] ; [12 10],[17.92 10.08] ; [14.08  7.92],0
p2,1,0.242997,1.363121,[22  6] ; [14  8],[20.16  7.84] ; [15.84  6.16],0
p6,1,0.247349,1.338213,[13 14] ; [ 7 15],[11.02040816 15.97959184] ; [ 8.97959184 13.02040816],0
r4,1,0.254451,1.298701,[24  4] ; [21  1],[25.2  2.8] ; [19.8  2.2],0
p7,1,0.278287,1.175436,[14 13] ; [ 8 14],[12.12244898 14.87755102] ; [ 9.87755102 12.12244898],0
a2,1,0.318689,0.994318,[ 7 21] ; [ 3 19],[ 5.6 22.4] ; [ 4.4 17.6],0
r1,1,0.318689,0.994318,[21  7] ; [19  3],[22.4  5.6] ; [17.6  4.4],0
d2,1,0.335743,0.92662,[19  9] ; [12 10],[17.36 10.64] ; [13.64  8.36],0
b5,1,0.360628,0.835706,[20  8] ; [13  9],[18.48  9.52] ; [14.52  7.48],0
b1,1,0.373678,0.791396,[13 15] ; [13  9],[14.56 13.44] ; [11.44 10.56],0
a5,1,0.384088,0.757576,[21  7] ; [14  8],[19.6  8.4] ; [15.4  6.6],0
b3,1,0.405033,0.693333,[ 8 16] ; [7 8],[ 9.23076923 14.76923077] ; [5.76923077 9.23076923],0
b2,1,0.405033,0.693333,[ 8 16] ; [7 8],[ 9.23076923 14.76923077] ; [5.76923077 9.23076923],0
r3,1,0.414636,0.665469,[27  1] ; [20  2],[26.32  1.68] ; [20.68  1.32],0
d4,1,0.44057,0.594798,[24  4] ; [17  5],[22.96  5.04] ; [18.04  3.96],0
n4,1,0.465085,0.53363,[22  5] ; [16  6],[20.93877551  6.06122449] ; [17.06122449  4.93877551],0
d5,1,0.476523,0.50681,[22  6] ; [19  3],[22.96  5.04] ; [18.04  3.96],0
n6,1,0.476798,0.506178,[23  4] ; [17  5],[22.04081633  4.95918367] ; [17.95918367  4.04081633],0
p4,1,0.485263,0.487013,[18 10] ; [12 10],[16.8 11.2] ; [13.2  8.8],0
d3,1,0.585024,0.298183,[17 11] ; [15  7],[17.92 10.08] ; [14.08  7.92],0
s3,1,0.617093,0.249974,[19  8] ; [14  8],[18.18367347  8.81632653] ; [14.81632653  7.18367347],0
n1,1,0.639994,0.21875,[3 5] ; [3 3],[3.42857143 4.57142857] ; [2.57142857 3.42857143],0
a1,1,0.701061,0.14737,[ 2 26] ; [ 1 21],[ 1.68 26.32] ; [ 1.32 20.68],0
p11,1,0.707175,0.141115,[18 10] ; [13  9],[17.36 10.64] ; [13.64  8.36],0
u2,1,0.793258,0.068687,[4 2] ; [8 3],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
d1,1,0.832649,0.04465,[17 11] ; [14  8],[17.36 10.64] ; [13.64  8.36],0
s6,1,0.85183,0.034888,[21  7] ; [17  5],[21.28  6.72] ; [16.72  5.28],0
p9,1,0.854277,0.033733,[16 12] ; [12 10],[15.68 12.32] ; [12.32  9.68],0
n5,1,0.868681,0.027335,[19  8] ; [15  7],[18.73469388  8.26530612] ; [15.26530612  6.73469388],0
u1,1,0.912377,0.012109,[ 6 22] ; [ 5 17],[ 6.16 21.84] ; [ 4.84 17.16],0
p3,1,0.945311,0.004705,[13 15] ; [10 12],[12.88 15.12] ; [10.12 11.88],0
p8,1,0.945311,0.004705,[13 15] ; [10 12],[12.88 15.12] ; [10.12 11.88],0
a7,1,0.962128,0.002255,[18 10] ; [14  8],[17.92 10.08] ; [14.08  7.92],0
a6,1,0.962128,0.002255,[18 10] ; [14  8],[17.92 10.08] ; [14.08  7.92],0
s4,1,0.976336,0.00088,[ 5 23] ; [ 4 18],[ 5.04 22.96] ; [ 3.96 18.04],0
