Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,77.790164,[187  69] ; [181 286],[130.30152144 125.69847856] ; [237.69847856 229.30152144],1
s6,1,0.0,68.693825,[223  31] ; [269 197],[173.56666667  80.43333333] ; [318.43333333 147.56666667],1
p5,1,0.0,41.750291,[ 57 200] ; [ 28 438],[ 30.21438451 226.78561549] ; [ 54.78561549 411.21438451],1
s7,1,0.0,35.328285,[161  84] ; [190 261],[123.55603448 121.44396552] ; [227.44396552 223.55603448],1
s3,1,0.0,30.231271,[173  80] ; [218 246],[137.9679219 115.0320781] ; [253.0320781 210.9679219],1
s8,1,0.0,27.06314,[147 108] ; [176 293],[113.76381215 141.23618785] ; [209.23618785 259.76381215],1
s4,1,2e-06,22.708696,[ 64 188] ; [ 54 412],[ 41.41504178 210.58495822] ; [ 76.58495822 389.41504178],1
p6,1,4.8e-05,16.54496,[121 133] ; [150 315],[ 95.73574409 158.26425591] ; [175.26425591 289.73574409],1
r4,1,0.000108,14.996968,[251   6] ; [422  48],[237.91059147  19.08940853] ; [435.08940853  34.91059147],1
p7,1,0.000189,13.94158,[185  65] ; [276 184],[162.32394366  87.67605634] ; [298.67605634 161.32394366],1
a5,1,0.00058,11.839443,[209  48] ; [327 143],[189.48005502  67.51994498] ; [346.51994498 123.48005502],1
p4,1,0.000692,11.511431,[177  78] ; [264 203],[155.75484765  99.24515235] ; [285.24515235 181.75484765],1
p12,1,0.00113,10.601548,[ 32 225] ; [ 26 440],[ 20.61687414 236.38312586] ; [ 37.38312586 428.61687414],0
p10,1,0.00122,10.459499,[227  28] ; [369  95],[211.37691238  43.62308762] ; [384.62308762  79.37691238],0
p3,1,0.001416,10.184911,[151 106] ; [217 251],[130.44965517 126.55034483] ; [237.55034483 230.44965517],0
p1,1,0.002089,9.47004,[ 33 223] ; [ 29 439],[ 21.92265193 234.07734807] ; [ 40.07734807 427.92265193],0
a4,1,0.002263,9.322591,[136 121] ; [192 275],[116.43093923 140.56906077] ; [211.56906077 255.43093923],0
p9,1,0.003022,8.794036,[229  23] ; [383  80],[215.6979021  36.3020979] ; [396.3020979  66.6979021],0
a3,1,0.004078,8.248818,[199  56] ; [318 150],[182.34439834  72.65560166] ; [334.65560166 133.34439834],0
