Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.444712,[67 17] ; [50 55],[52. 32.] ; [65. 40.],1
p3,1,0.014069,6.02947,[46 41] ; [37 68],[37.609375 49.390625] ; [45.390625 59.609375],0
b3,1,0.030395,4.68679,[ 9 41] ; [21 36],[14.01869159 35.98130841] ; [15.98130841 41.01869159],0
b2,1,0.030395,4.68679,[ 9 41] ; [21 36],[14.01869159 35.98130841] ; [15.98130841 41.01869159],0
p6,1,0.034426,4.473401,[30 53] ; [23 81],[23.52406417 59.47593583] ; [29.47593583 74.52406417],0
p11,1,0.05107,3.805975,[69 18] ; [70 35],[62.984375 24.015625] ; [76.015625 28.984375],0
s7,1,0.052819,3.74963,[36 50] ; [28 71],[29.75135135 56.24864865] ; [34.24864865 64.75135135],0
s6,1,0.071444,3.249531,[53 33] ; [51 54],[46.82722513 39.17277487] ; [57.17277487 47.82722513],0
v3,1,0.086424,2.939748,[27 57] ; [21 79],[21.91304348 62.08695652] ; [26.08695652 73.91304348],0
p12,1,0.087494,2.919878,[ 6 81] ; [  2 102],[ 3.64397906 83.35602094] ; [ 4.35602094 99.64397906],0
u3,1,0.096973,2.75463,[17 17] ; [25 11],[20.4 13.6] ; [21.6 14.4],0
u1,1,0.102464,2.666765,[ 6 81] ; [15 90],[ 9.515625 77.484375] ; [11.484375 93.515625],0
a6,1,0.119991,2.417441,[52 35] ; [74 31],[57.09375 29.90625] ; [68.90625 36.09375],0
p4,1,0.129481,2.298717,[46 41] ; [44 61],[40.78125 46.21875] ; [49.21875 55.78125],0
p10,1,0.138305,2.196714,[64 22] ; [67 37],[59.29473684 26.70526316] ; [71.70526316 32.29473684],0
r4,1,0.173343,1.853793,[76 11] ; [84 21],[72.5 14.5] ; [87.5 17.5],0
d5,1,0.195589,1.675005,[69 18] ; [74 30],[65.13612565 21.86387435] ; [77.86387435 26.13612565],0
p5,1,0.208611,1.581042,[ 7 80] ; [  4 101],[ 4.984375 82.015625] ; [ 6.015625 98.984375],0
n1,1,0.21993,1.504826,[ 7 15] ; [ 6 28],[ 5.10714286 16.89285714] ; [ 7.89285714 26.10714286],0
p1,1,0.232165,1.427549,[ 9 77] ; [ 6 98],[ 6.78947368 79.21052632] ; [ 8.21052632 95.78947368],0
a5,1,0.247807,1.335624,[60 27] ; [64 41],[56.1875 30.8125] ; [67.8125 37.1875],0
s8,1,0.268147,1.226203,[34 53] ; [33 72],[30.359375 56.640625] ; [36.640625 68.359375],0
a2,1,0.300372,1.072544,[11 76] ; [19 86],[13.59375 73.40625] ; [16.40625 88.59375],0
a4,1,0.306878,1.044064,[27 60] ; [40 65],[30.359375 56.640625] ; [36.640625 68.359375],0
s4,1,0.330787,0.945813,[12 75] ; [20 85],[14.5 72.5] ; [17.5 87.5],0
d1,1,0.376968,0.780565,[47 40] ; [50 55],[43.953125 43.046875] ; [53.046875 51.953125],0
a3,1,0.42393,0.639394,[52 35] ; [68 36],[54.65968586 32.34031414] ; [65.34031414 38.65968586],0
v1,1,0.426187,0.63319,[36 49] ; [37 64],[33.36021505 51.63978495] ; [39.63978495 61.36021505],0
a8,1,0.502358,0.449951,[ 5 72] ; [ 9 88],[ 6.1954023 70.8045977] ; [ 7.8045977 89.1954023],0
p9,1,0.506966,0.440324,[68 19] ; [77 27],[66.04712042 20.95287958] ; [78.95287958 25.04712042],0
s1,1,0.52181,0.410315,[ 4 83] ; [  3 102],[ 3.171875 83.828125] ; [  3.828125 101.171875],0
a1,1,0.527191,0.399803,[ 5 82] ; [  4 101],[ 4.078125 82.921875] ; [  4.921875 100.078125],0
r1,1,0.532423,0.389766,[67 20] ; [76 28],[65.13612565 21.86387435] ; [77.86387435 26.13612565],0
r3,1,0.539165,0.37709,[83  4] ; [98  7],[82.015625  4.984375] ; [98.984375  6.015625],0
d3,1,0.557469,0.344105,[66 21] ; [75 29],[64.22513089 22.77486911] ; [76.77486911 27.22513089],0
s5,1,0.557816,0.343499,[24 60] ; [25 76],[22.24864865 61.75135135] ; [26.75135135 74.24864865],0
u2,1,0.625585,0.238095,[20 15] ; [22 13],[21. 14.] ; [21. 14.],0
d4,1,0.650038,0.205852,[69 18] ; [86 19],[70.234375 16.765625] ; [84.765625 20.234375],0
s2,1,0.669993,0.18161,[33 54] ; [43 62],[34.4375 52.5625] ; [41.5625 63.4375],0
v2,1,0.673602,0.177417,[43 42] ; [47 52],[41.57608696 43.42391304] ; [48.42391304 50.57608696],0
n4,1,0.713185,0.135116,[35 52] ; [45 60],[36.25 50.75] ; [43.75 61.25],0
b1,1,0.72489,0.123855,[31 56] ; [40 65],[32.171875 54.828125] ; [38.828125 66.171875],0
n2,1,0.728369,0.120614,[15  7] ; [21 12],[14.4  7.6] ; [21.6 11.4],0
b4,1,0.747466,0.103672,[55 32] ; [64 41],[53.921875 33.078125] ; [65.078125 39.921875],0
