Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4.2e-05,16.780254,[40 13] ; [51 71],[27.56 25.44] ; [63.44 58.56],1
s8,1,0.000318,12.959043,[35 18] ; [45 78],[24.09090909 28.90909091] ; [55.90909091 67.09090909],1
s6,1,0.000449,12.315497,[46  6] ; [76 47],[36.25142857 15.74857143] ; [85.74857143 37.25142857],1
s4,1,0.001706,9.841977,[14 40] ; [ 10 111],[ 7.40571429 46.59428571] ; [ 16.59428571 104.40571429],0
s3,1,0.002205,9.370219,[37 14] ; [57 64],[27.87209302 23.12790698] ; [66.12790698 54.87209302],0
s7,1,0.003223,8.676991,[34 19] ; [47 71],[25.10526316 27.89473684] ; [55.89473684 62.10526316],0
v3,1,0.010313,6.580084,[26 27] ; [34 84],[18.59649123 34.40350877] ; [41.40350877 76.59649123],0
p12,1,0.01643,5.756299,[ 5 49] ; [  2 121],[ 2.13559322 51.86440678] ; [  4.86440678 118.13559322],0
n6,1,0.021268,5.304671,[48  5] ; [92 30],[42.4 10.6] ; [97.6 24.4],0
r4,1,0.039317,4.247121,[51  3] ; [102  21],[46.6779661  7.3220339] ; [106.3220339  16.6779661],0
d5,1,0.0552,3.676027,[48  6] ; [94 29],[43.3220339 10.6779661] ; [98.6779661 24.3220339],0
p5,1,0.062167,3.478595,[ 7 47] ; [  6 115],[ 4.01142857 49.98857143] ; [  8.98857143 112.01142857],0
r1,1,0.068181,3.326267,[45  7] ; [91 32],[40.41142857 11.58857143] ; [95.58857143 27.41142857],0
n4,1,0.086496,2.938413,[44  9] ; [87 36],[39.44886364 13.55113636] ; [91.55113636 31.44886364],0
p6,1,0.093383,2.815061,[26 27] ; [43 78],[21.01724138 31.98275862] ; [47.98275862 73.01724138],0
d2,1,0.093513,2.812829,[31 22] ; [55 68],[25.89772727 27.10227273] ; [60.10227273 62.89772727],0
v1,1,0.095145,2.785094,[35 19] ; [62 59],[29.93142857 24.06857143] ; [67.06857143 53.93142857],0
a6,1,0.100564,2.696583,[29 25] ; [82 41],[33.86440678 20.13559322] ; [77.13559322 45.86440678],0
a4,1,0.112702,2.515918,[30 24] ; [52 70],[25.15909091 28.84090909] ; [56.84090909 65.15909091],0
v4,1,0.150501,2.067165,[52  1] ; [113   9],[49.97142857  3.02857143] ; [115.02857143   6.97142857],0
d1,1,0.156663,2.006143,[36 18] ; [68 55],[31.72881356 22.27118644] ; [72.27118644 50.72881356],0
a2,1,0.1756,1.83447,[15 39] ; [ 23 100],[11.59322034 42.40677966] ; [26.40677966 96.59322034],0
a5,1,0.180871,1.790453,[43 11] ; [86 37],[39.3559322 14.6440678] ; [89.6440678 33.3559322],0
b5,1,0.186222,1.747253,[29 25] ; [79 44],[32.94915254 21.05084746] ; [75.05084746 47.94915254],0
p2,1,0.209241,1.576668,[44 10] ; [108  14],[46.63636364  7.36363636] ; [105.36363636  16.63636364],0
p7,1,0.2127,1.552951,[39 14] ; [78 44],[35.43428571 17.56571429] ; [81.56571429 40.43428571],0
p9,1,0.237434,1.395766,[45  8] ; [94 28],[42.09714286 10.90285714] ; [96.90285714 25.09714286],0
p10,1,0.255405,1.293496,[44  9] ; [91 30],[41.12068966 11.87931034] ; [93.87931034 27.12068966],0
n5,1,0.259469,1.271588,[43 10] ; [90 33],[40.05113636 12.94886364] ; [92.94886364 30.05113636],0
u3,1,0.263328,1.251178,[8 9] ; [24 14],[9.89090909 7.10909091] ; [22.10909091 15.89090909],0
b3,1,0.275023,1.191522,[14 19] ; [25 54],[11.49107143 21.50892857] ; [27.50892857 51.49107143],0
b2,1,0.275023,1.191522,[14 19] ; [25 54],[11.49107143 21.50892857] ; [27.50892857 51.49107143],0
n2,1,0.307841,1.039916,[11  6] ; [22  6],[12.46666667  4.53333333] ; [20.53333333  7.46666667],0
p11,1,0.335004,0.929456,[39 15] ; [97 26],[41.49152542 12.50847458] ; [94.50847458 28.49152542],0
r2,1,0.341062,0.906437,[51  3] ; [109  12],[49.37142857  4.62857143] ; [110.62857143  10.37142857],0
u1,1,0.423655,0.640154,[ 9 45] ; [ 15 108],[ 7.3220339 46.6779661] ; [ 16.6779661 106.3220339],0
u2,1,0.542177,0.371519,[8 8] ; [23 16],[9.01818182 6.98181818] ; [21.98181818 17.01818182],0
n1,1,0.6156,0.252101,[ 6 11] ; [12 16],[ 6.8 10.2] ; [11.2 16.8],0
r3,1,0.663197,0.189663,[50  4] ; [116   7],[50.6440678  3.3559322] ; [115.3559322   7.6440678],0
