Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.006736,7.342105,[32 30] ; [25  6],[38. 24.] ; [19. 12.],0
v3,1,0.037838,4.312293,[13 48] ; [13 18],[17.23913043 43.76086957] ; [ 8.76086957 22.23913043],0
s5,1,0.080029,3.064317,[10 49] ; [10 20],[13.25842697 45.74157303] ; [ 6.74157303 23.25842697],0
p5,1,0.104438,2.636423,[ 5 56] ; [ 6 24],[ 7.37362637 53.62637363] ; [ 3.62637363 26.37362637],0
p10,1,0.13573,2.225711,[29 29] ; [20 10],[32.29545455 25.70454545] ; [16.70454545 13.29545455],0
v2,1,0.158077,1.99253,[27 34] ; [18 12],[30.16483516 30.83516484] ; [14.83516484 15.16483516],0
b1,1,0.186664,1.74375,[35 27] ; [13 18],[32. 30.] ; [16. 15.],0
p12,1,0.219303,1.508926,[ 1 60] ; [ 2 29],[ 1.98913043 59.01086957] ; [ 1.01086957 29.98913043],0
a6,1,0.22322,1.483549,[42 20] ; [17 14],[39.33333333 22.66666667] ; [19.66666667 11.33333333],0
b3,1,0.226685,1.461538,[14 24] ; [ 4 15],[12. 26.] ; [ 6. 13.],0
b2,1,0.226685,1.461538,[14 24] ; [ 4 15],[12. 26.] ; [ 6. 13.],0
s4,1,0.231639,1.430769,[12 50] ; [ 3 28],[10. 52.] ; [ 5. 26.],0
d4,1,0.254843,1.296556,[50 12] ; [27  3],[51.89130435 10.10869565] ; [25.10869565  4.89130435],0
p4,1,0.318394,0.995531,[27 34] ; [10 20],[24.8021978 36.1978022] ; [12.1978022 17.8021978],0
r3,1,0.324125,0.972231,[40 22] ; [15 13],[37.88888889 24.11111111] ; [17.11111111 10.88888889],0
a4,1,0.332274,0.940014,[25 36] ; [16 15],[27.18478261 33.81521739] ; [13.81521739 17.18478261],0
s2,1,0.372392,0.795666,[23 39] ; [ 8 21],[21.12087912 40.87912088] ; [ 9.87912088 19.12087912],0
u2,1,0.372957,0.793788,[13  8] ; [5 6],[11.8125  9.1875] ; [6.1875 4.8125],0
p6,1,0.391082,0.735574,[16 42] ; [ 6 25],[14.33707865 43.66292135] ; [ 7.66292135 23.33707865],0
n1,1,0.452214,0.565096,[ 7 18] ; [ 7 11],[ 8.13953488 16.86046512] ; [ 5.86046512 12.13953488],0
a1,1,0.456862,0.553571,[ 7 55] ; [ 2 29],[ 6. 56.] ; [ 3. 28.],0
p11,1,0.458993,0.548349,[37 25] ; [16 15],[35.33333333 26.66666667] ; [17.66666667 13.33333333],0
p9,1,0.540818,0.374026,[38 22] ; [17 13],[36.66666667 23.33333333] ; [18.33333333 11.66666667],0
n4,1,0.542521,0.370887,[38 24] ; [21 10],[39.33333333 22.66666667] ; [19.66666667 11.33333333],0
d1,1,0.549021,0.359073,[36 26] ; [20 11],[37.33333333 24.66666667] ; [18.66666667 12.33333333],0
p1,1,0.593681,0.284632,[ 4 57] ; [ 3 28],[ 4.64130435 56.35869565] ; [ 2.35869565 28.64130435],0
a8,1,0.596363,0.280517,[ 4 55] ; [ 1 25],[ 3.47058824 55.52941176] ; [ 1.52941176 24.47058824],0
s3,1,0.62964,0.232549,[25 36] ; [13 15],[26.04494382 34.95505618] ; [11.95505618 16.04494382],0
p3,1,0.635256,0.225,[21 39] ; [ 9 21],[20. 40.] ; [10. 20.],0
u1,1,0.635936,0.224096,[ 6 56] ; [ 4 27],[ 6.66666667 55.33333333] ; [ 3.33333333 27.66666667],0
a3,1,0.645701,0.211364,[41 21] ; [19 12],[40. 22.] ; [20. 11.],0
u3,1,0.647434,0.20915,[10 10] ; [5 7],[ 9.375 10.625] ; [5.625 6.375],0
s6,1,0.667829,0.184152,[26 36] ; [14 16],[26.95652174 35.04347826] ; [13.04347826 16.95652174],0
s7,1,0.687934,0.161331,[21 37] ; [11 16],[21.83529412 36.16470588] ; [10.16470588 16.83529412],0
a2,1,0.697606,0.150974,[10 52] ; [ 6 25],[10.66666667 51.33333333] ; [ 5.33333333 25.66666667],0
d3,1,0.714078,0.134238,[41 20] ; [22  9],[41.77173913 19.22826087] ; [21.22826087  9.77173913],0
a7,1,0.736251,0.113449,[37 25] ; [19 11],[37.73913043 24.26086957] ; [18.26086957 11.73913043],0
s1,1,0.745115,0.105682,[ 3 59] ; [ 2 29],[ 3.33333333 58.66666667] ; [ 1.66666667 29.33333333],0
r2,1,0.745526,0.105329,[36 20] ; [19  9],[36.66666667 19.33333333] ; [18.33333333  9.66666667],0
b5,1,0.767713,0.087242,[34 28] ; [18 13],[34.66666667 27.33333333] ; [17.33333333 13.66666667],0
v1,1,0.77064,0.084994,[21 38] ; [12 19],[21.63333333 37.36666667] ; [11.36666667 19.63333333],0
s8,1,0.796504,0.066499,[13 49] ; [ 7 23],[13.47826087 48.52173913] ; [ 6.52173913 23.47826087],0
p8,1,0.798005,0.0655,[17 43] ; [ 8 23],[16.48351648 43.51648352] ; [ 8.51648352 22.48351648],0
n6,1,0.805055,0.060915,[37 24] ; [19 11],[37.53846154 23.46153846] ; [18.46153846 11.53846154],0
d2,1,0.821537,0.050881,[31 30] ; [16 14],[31.50549451 29.49450549] ; [15.49450549 14.50549451],0
p2,1,0.829992,0.046101,[34 25] ; [18 12],[34.47191011 24.52808989] ; [17.52808989 12.47191011],0
n5,1,0.832457,0.044754,[38 23] ; [18 12],[37.53846154 23.46153846] ; [18.46153846 11.53846154],0
v4,1,0.92519,0.008817,[42 19] ; [19  9],[41.80898876 19.19101124] ; [19.19101124  8.80898876],0
p7,1,0.931066,0.007483,[22 38] ; [10 18],[21.81818182 38.18181818] ; [10.18181818 17.81818182],0
n3,1,0.952198,0.003594,[12 13] ; [8 9],[11.9047619 13.0952381] ; [8.0952381 8.9047619],0
n2,1,0.976903,0.000838,[14 11] ; [10  8],[13.95348837 11.04651163] ; [10.04651163  7.95348837],0
a5,1,1.0,0.0,[42 20] ; [21 10],[42. 20.] ; [21. 10.],0
