Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,195.73201,[329 123] ; [ 21 160],[249.92101106 202.07898894] ; [100.07898894  80.92101106],1
d5,1,0.0,135.402578,[444   9] ; [119  62],[402.26971609  50.73028391] ; [160.73028391  20.26971609],1
d3,1,0.0,117.03438,[404  49] ; [90 91],[352.96845426 100.03154574] ; [141.03154574  39.96845426],1
a2,1,0.0,66.516783,[172 281] ; [ 10 171],[130.04100946 322.95899054] ; [ 51.95899054 129.04100946],1
u1,1,0.0,51.859397,[138 315] ; [  7 174],[103.60410095 349.39589905] ; [ 41.39589905 139.60410095],1
a4,1,0.0,47.263299,[269 183] ; [ 53 128],[229.92733017 222.07266983] ; [92.07266983 88.92733017],1
a5,1,0.0,39.057088,[385  68] ; [113  68],[355.82649842  97.17350158] ; [142.17350158  38.82649842],1
p4,1,3.6e-05,17.080097,[296 153] ; [85 92],[273.27316294 175.72683706] ; [107.72683706  69.27316294],1
a6,1,4.3e-05,16.72321,[339 113] ; [106  75],[317.75671406 134.24328594] ; [127.24328594  53.75671406],1
a3,1,8.2e-05,15.507567,[363  88] ; [119  62],[343.95886076 107.04113924] ; [138.04113924  42.95886076],1
s8,1,0.000545,11.954726,[230 218] ; [ 65 115],[210.44585987 237.55414013] ; [84.55414013 95.44585987],1
n4,1,0.001094,10.661042,[367  84] ; [125  55],[351.65134707  99.34865293] ; [140.34865293  39.65134707],0
r2,1,0.001518,10.056324,[441   8] ; [167  12],[434.70063694  14.29936306] ; [173.29936306   5.70063694],0
a7,1,0.001732,9.814291,[356  97] ; [120  60],[340.64454976 112.35545024] ; [135.35545024  44.64454976],0
v4,1,0.003248,8.662869,[440  12] ; [165  14],[433.37559429  18.62440571] ; [171.62440571   7.37559429],0
n6,1,0.00556,7.687789,[389  61] ; [137  40],[377.51196172  72.48803828] ; [148.48803828  28.51196172],0
p3,1,0.007584,7.129254,[241 210] ; [ 75 105],[225.85736926 225.14263074] ; [90.14263074 89.85736926],0
v3,1,0.010036,6.628421,[190 239] ; [ 58 118],[175.85454545 253.14545455] ; [ 72.14545455 103.85454545],0
p10,1,0.021793,5.262207,[376  71] ; [135  42],[366.05288462  80.94711538] ; [144.94711538  32.05288462],0
n5,1,0.02238,5.216007,[345 105] ; [120  57],[333.73205742 116.26794258] ; [131.26794258  45.73205742],0
p12,1,0.025494,4.990032,[ 45 403] ; [  8 169],[ 37.9904 410.0096] ; [ 15.0096 161.9904],0
p9,1,0.026236,4.940369,[384  61] ; [140  37],[374.88745981  70.11254019] ; [149.11254019  27.88745981],0
s2,1,0.035478,4.422004,[250 197] ; [84 96],[238.11483254 208.88516746] ; [95.88516746 84.11483254],0
u4,1,0.035945,4.399723,[ 16 437] ; [  1 180],[ 12.1466877 440.8533123] ; [  4.8533123 176.1466877],0
s7,1,0.03672,4.363369,[233 197] ; [77 95],[221.42857143 208.57142857] ; [88.57142857 83.42857143],0
p8,1,0.037186,4.341886,[251 194] ; [84 94],[239.28571429 205.71428571] ; [95.71428571 82.28571429],0
r4,1,0.069889,3.285626,[434  19] ; [167  14],[429.42113565  23.57886435] ; [171.57886435   9.42113565],0
p6,1,0.070567,3.269789,[174 272] ; [ 55 121],[164.20257235 281.79742765] ; [ 64.79742765 111.20257235],0
v1,1,0.089442,2.88438,[256 185] ; [90 88],[246.50403877 194.49596123] ; [99.49596123 78.50403877],0
s6,1,0.09846,2.730305,[313 130] ; [113  64],[304.38387097 138.61612903] ; [121.61612903  55.38387097],0
v2,1,0.10006,2.704581,[273 164] ; [95 77],[264.06568144 172.93431856] ; [103.93431856  68.06568144],0
n2,1,0.19872,1.651758,[63 33] ; [30  9],[66.13333333 29.86666667] ; [26.86666667 12.13333333],0
s3,1,0.20844,1.582229,[265 179] ; [97 82],[257.99036918 186.00963082] ; [104.00963082  74.99036918],0
s5,1,0.228171,1.452226,[163 271] ; [ 57 119],[156.52459016 277.47540984] ; [ 63.47540984 112.52459016],0
p1,1,0.228524,1.450022,[ 35 415] ; [  9 169],[ 31.52866242 418.47133758] ; [ 12.47133758 165.52866242],0
s4,1,0.312037,1.022036,[ 74 370] ; [ 24 155],[ 69.84269663 374.15730337] ; [ 28.15730337 150.84269663],0
b1,1,0.334446,0.931605,[169 284] ; [ 75 106],[174.34069401 278.65930599] ; [ 69.65930599 111.34069401],0
p5,1,0.357037,0.848288,[ 54 393] ; [ 17 162],[ 50.69808307 396.30191693] ; [ 20.30191693 158.69808307],0
p7,1,0.367163,0.813243,[289 148] ; [109  66],[284.19281046 152.80718954] ; [113.80718954  61.19281046],0
b5,1,0.378415,0.775846,[275 178] ; [103  78],[270.0851735 182.9148265] ; [107.9148265  73.0851735],0
p2,1,0.398232,0.713659,[381  68] ; [147  32],[377.50318471  71.49681529] ; [150.49681529  28.50318471],0
n1,1,0.450662,0.568987,[37 59] ; [12 26],[35.10447761 60.89552239] ; [13.89552239 24.10447761],0
a8,1,0.487357,0.482356,[ 56 343] ; [ 28 144],[ 58.69702277 340.30297723] ; [ 25.30297723 146.69702277],0
s1,1,0.503473,0.447608,[ 13 434] ; [  7 170],[ 14.32692308 432.67307692] ; [  5.67307692 171.32692308],0
p11,1,0.520444,0.413014,[356  97] ; [138  43],[352.96845426 100.03154574] ; [141.03154574  39.96845426],0
u2,1,0.561874,0.336471,[57 32] ; [35 24],[55.32432432 33.67567568] ; [36.67567568 22.32432432],0
n3,1,0.659637,0.193964,[67 28] ; [26 13],[65.93283582 29.06716418] ; [27.06716418 11.93283582],0
b2,1,0.714016,0.134299,[115 174] ; [39 54],[116.5078534 172.4921466] ; [37.4921466 55.5078534],0
b3,1,0.714016,0.134299,[115 174] ; [39 54],[116.5078534 172.4921466] ; [37.4921466 55.5078534],0
r3,1,0.722154,0.126439,[435  15] ; [172   7],[434.26073132  15.73926868] ; [172.73926868   6.26073132],0
a1,1,0.815092,0.054692,[ 22 431] ; [  8 173],[ 21.43533123 431.56466877] ; [  8.56466877 172.43533123],0
u3,1,0.944161,0.004906,[59 31] ; [39 21],[58.8 31.2] ; [39.2 20.8],0
b4,1,0.971344,0.00129,[271 182] ; [108  73],[270.79968454 182.20031546] ; [108.20031546  72.79968454],0
