Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.2e-05,16.029611,[23 36] ; [101  45],[35.68780488 23.31219512] ; [88.31219512 57.68780488],1
s3,1,0.000131,14.622356,[29 30] ; [111  34],[40.49019608 18.50980392] ; [99.50980392 45.49019608],1
n5,1,0.004106,8.236342,[38 21] ; [121  25],[45.76097561 13.23902439] ; [113.23902439  32.76097561],0
a3,1,0.00556,7.687694,[37 23] ; [117  29],[44.85436893 15.14563107] ; [109.14563107  36.85436893],0
p5,1,0.01431,5.999468,[ 1 59] ; [ 18 124],[ 5.64356436 54.35643564] ; [ 13.35643564 128.64356436],0
p9,1,0.017521,5.643456,[48 12] ; [133  12],[52.97560976  7.02439024] ; [128.02439024  16.97560976],0
s6,1,0.020667,5.354689,[41 19] ; [121  25],[47.18446602 12.81553398] ; [114.81553398  31.18446602],0
v4,1,0.035088,4.440904,[55  5] ; [142   3],[57.65853659  2.34146341] ; [139.34146341   5.65853659],0
a7,1,0.05848,3.579969,[46 13] ; [94 52],[40.29268293 18.70731707] ; [99.70731707 46.29268293],0
n6,1,0.063892,3.433351,[47 13] ; [129  17],[51.26213592  8.73786408] ; [124.73786408  21.26213592],0
d4,1,0.09176,2.843224,[44 16] ; [122  24],[48.34951456 11.65048544] ; [117.65048544  28.34951456],0
r2,1,0.099628,2.711485,[53  6] ; [138   6],[55.51231527  3.48768473] ; [135.48768473   8.51231527],0
p11,1,0.12859,2.30945,[55  5] ; [122  24],[51.55339806  8.44660194] ; [125.44660194  20.55339806],0
p2,1,0.154581,2.026454,[54  6] ; [119  26],[50.63414634  9.36585366] ; [122.36585366  22.63414634],0
v1,1,0.167709,1.903302,[26 31] ; [79 61],[30.38071066 26.61928934] ; [74.61928934 65.38071066],0
d2,1,0.177633,1.817315,[37 23] ; [75 71],[32.62135922 27.37864078] ; [79.37864078 66.62135922],0
b2,1,0.197822,1.65838,[13 28] ; [48 63],[16.45394737 24.54605263] ; [44.54605263 66.45394737],0
b3,1,0.197822,1.65838,[13 28] ; [48 63],[16.45394737 24.54605263] ; [44.54605263 66.45394737],0
u4,1,0.223836,1.47961,[ 1 59] ; [  8 138],[ 2.62135922 57.37864078] ; [  6.37864078 139.62135922],0
a1,1,0.223836,1.47961,[ 1 59] ; [  8 138],[ 2.62135922 57.37864078] ; [  6.37864078 139.62135922],0
v3,1,0.258483,1.276865,[21 36] ; [63 75],[24.55384615 32.44615385] ; [59.44615385 78.55384615],0
p10,1,0.265249,1.241155,[48 12] ; [125  20],[50.63414634  9.36585366] ; [122.36585366  22.63414634],0
p1,1,0.271469,1.209311,[ 3 57] ; [ 14 131],[ 4.97560976 55.02439024] ; [ 12.02439024 132.97560976],0
b4,1,0.299782,1.075162,[38 22] ; [81 65],[34.66019417 25.33980583] ; [84.33980583 61.66019417],0
d3,1,0.345585,0.889602,[37 23] ; [100  46],[39.90291262 20.09708738] ; [97.09708738 48.90291262],0
a5,1,0.368573,0.80847,[42 18] ; [111  35],[44.5631068 15.4368932] ; [108.4368932  37.5631068],0
u3,1,0.378104,0.776859,[14  9] ; [21  8],[15.48076923  7.51923077] ; [19.51923077  9.48076923],0
d5,1,0.413582,0.668482,[51  9] ; [117  29],[48.93203883 11.06796117] ; [119.06796117  26.93203883],0
r4,1,0.416239,0.66091,[56  4] ; [131  15],[54.46601942  5.53398058] ; [132.53398058  13.46601942],0
n4,1,0.444946,0.583494,[47 13] ; [121  25],[48.93203883 11.06796117] ; [119.06796117  26.93203883],0
b1,1,0.507295,0.439643,[26 34] ; [56 90],[23.88349515 36.11650485] ; [58.11650485 87.88349515],0
d1,1,0.526198,0.401729,[39 21] ; [88 58],[36.99029126 23.00970874] ; [90.00970874 55.99029126],0
b5,1,0.530202,0.394003,[35 25] ; [92 54],[36.99029126 23.00970874] ; [90.00970874 55.99029126],0
p6,1,0.566867,0.327953,[22 38] ; [59 85],[23.82352941 36.17647059] ; [57.17647059 86.82352941],0
n1,1,0.590536,0.289507,[5 9] ; [12 15],[5.80487805 8.19512195] ; [11.19512195 15.80487805],0
u1,1,0.594694,0.283073,[10 50] ; [ 29 117],[11.3592233 48.6407767] ; [ 27.6407767 118.3592233],0
u2,1,0.603349,0.269975,[14  9] ; [19  9],[14.88235294  8.11764706] ; [18.11764706  9.88235294],0
r3,1,0.641099,0.217307,[58  2] ; [139   7],[57.37864078  2.62135922] ; [139.62135922   6.37864078],0
a6,1,0.643812,0.213791,[37 23] ; [95 51],[38.44660194 21.55339806] ; [93.55339806 52.44660194],0
a8,1,0.658767,0.195025,[ 8 47] ; [ 23 111],[ 9.02116402 45.97883598] ; [ 21.97883598 112.02116402],0
p8,1,0.717983,0.130434,[33 26] ; [76 67],[31.83663366 27.16336634] ; [77.16336634 65.83663366],0
v2,1,0.742041,0.108341,[30 25] ; [80 60],[31.02564103 23.97435897] ; [78.97435897 61.02564103],0
p7,1,0.758328,0.094665,[38 21] ; [94 47],[38.94 20.06] ; [93.06 47.94],0
s1,1,0.809611,0.058047,[ 2 57] ; [  6 140],[ 2.30243902 56.69756098] ; [  5.69756098 140.30243902],0
n2,1,0.816961,0.053571,[9 5] ; [19  9],[9.33333333 4.66666667] ; [18.66666667  9.33333333],0
s4,1,0.843623,0.038912,[ 8 52] ; [ 18 128],[ 7.57281553 52.42718447] ; [ 18.42718447 127.57281553],0
p4,1,0.859601,0.031287,[39 21] ; [93 53],[38.44660194 21.55339806] ; [93.55339806 52.44660194],0
n3,1,0.865053,0.028881,[8 5] ; [18 10],[8.24390244 4.75609756] ; [17.75609756 10.24390244],0
a2,1,0.90961,0.012889,[14 46] ; [ 33 113],[13.68932039 46.31067961] ; [ 33.31067961 112.68932039],0
r1,1,0.976068,0.0009,[49 10] ; [121  25],[48.92682927 10.07317073] ; [121.07317073  24.92682927],0
p3,1,0.978519,0.000725,[33 27] ; [80 66],[32.91262136 27.08737864] ; [80.08737864 65.91262136],0
a4,1,0.980817,0.000578,[26 34] ; [63 83],[25.9223301 34.0776699] ; [63.0776699 82.9223301],0
p12,1,1.0,0.0,[ 5 55] ; [ 12 132],[ 5. 55.] ; [ 12. 132.],0
