Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.240632,[ 6 24] ; [73 31],[17.68656716 12.31343284] ; [61.31343284 42.68656716],1
r4,1,2e-06,22.270346,[ 7 23] ; [74 30],[18.13432836 11.86567164] ; [62.86567164 41.13432836],1
r3,1,1.8e-05,18.382096,[11 19] ; [81 23],[20.59701493  9.40298507] ; [71.40298507 32.59701493],1
r1,1,0.000437,12.364887,[10 20] ; [71 32],[18.27067669 11.72932331] ; [62.72932331 40.27067669],1
p2,1,0.000539,11.976612,[ 7 23] ; [61 42],[15.33834586 14.66165414] ; [52.66165414 50.33834586],1
r2,1,0.000654,11.615585,[17 11] ; [91 12],[23.08396947  4.91603053] ; [84.91603053 18.08396947],1
a1,1,0.003015,8.798114,[ 6 24] ; [  4 100],[ 2.23880597 27.76119403] ; [ 7.76119403 96.23880597],0
p8,1,0.003804,8.375009,[ 2 27] ; [35 67],[ 8.19083969 20.80916031] ; [28.80916031 73.19083969],0
p1,1,0.005003,7.878192,[ 5 25] ; [  3 101],[ 1.79104478 28.20895522] ; [ 6.20895522 97.79104478],0
u3,1,0.005906,7.578635,[ 1 13] ; [19 20],[5.28301887 8.71698113] ; [14.71698113 24.28301887],0
d5,1,0.011558,6.377508,[16 14] ; [80 24],[21.49253731  8.50746269] ; [74.50746269 29.49253731],0
u2,1,0.017127,5.683301,[ 1 13] ; [16 22],[4.57692308 9.42307692] ; [12.42307692 25.57692308],0
s6,1,0.019035,5.498297,[ 5 25] ; [41 62],[10.37593985 19.62406015] ; [35.62406015 67.37593985],0
b5,1,0.022684,5.192564,[13 17] ; [69 35],[18.35820896 11.64179104] ; [63.64179104 40.35820896],0
p7,1,0.029523,4.736836,[ 7 23] ; [46 55],[12.13740458 17.86259542] ; [40.86259542 60.13740458],0
p10,1,0.047909,3.913167,[ 7 22] ; [45 56],[11.6 17.4] ; [40.4 60.6],0
d3,1,0.050084,3.838651,[12 18] ; [62 41],[16.69172932 13.30827068] ; [57.30827068 45.69172932],0
p3,1,0.064483,3.418159,[ 5 25] ; [35 67],[ 9.09090909 20.90909091] ; [30.90909091 71.09090909],0
d4,1,0.06698,3.355529,[17 13] ; [77 27],[21.04477612  8.95522388] ; [72.95522388 31.04477612],0
v3,1,0.076666,3.1342,[ 4 25] ; [30 69],[ 7.703125 21.296875] ; [26.296875 72.703125],0
p9,1,0.079035,3.084626,[ 9 20] ; [49 50],[13.140625 15.859375] ; [44.859375 54.140625],0
v2,1,0.102026,2.673586,[ 6 23] ; [38 65],[ 9.66666667 19.33333333] ; [34.33333333 68.66666667],0
b2,1,0.115184,2.481618,[11 13] ; [14 37],[ 8. 16.] ; [17. 34.],0
b3,1,0.115184,2.481618,[11 13] ; [14 37],[ 8. 16.] ; [17. 34.],0
n3,1,0.127216,2.326154,[ 6 10] ; [24 16],[8.57142857 7.42857143] ; [21.42857143 18.57142857],0
d1,1,0.12807,2.315739,[10 20] ; [51 53],[13.65671642 16.34328358] ; [47.34328358 56.65671642],0
a6,1,0.137105,2.210157,[13 17] ; [61 43],[16.56716418 13.43283582] ; [57.43283582 46.56716418],0
s7,1,0.155926,2.013299,[ 3 26] ; [22 77],[ 5.6640625 23.3359375] ; [19.3359375 79.6640625],0
a7,1,0.19232,1.699759,[16 14] ; [69 35],[19.02985075 10.97014925] ; [65.97014925 38.02985075],0
