Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.009391,6.746846,[ 7 85] ; [ 7 20],[10.82352941 81.17647059] ; [ 3.17647059 23.82352941],0
b3,1,0.010084,6.620073,[20 41] ; [12  6],[24.70886076 36.29113924] ; [ 7.29113924 10.70886076],0
b2,1,0.010084,6.620073,[20 41] ; [12  6],[24.70886076 36.29113924] ; [ 7.29113924 10.70886076],0
v2,1,0.03454,4.467751,[29 59] ; [15 12],[33.66956522 54.33043478] ; [10.33043478 16.66956522],0
s6,1,0.047262,3.936026,[23 70] ; [12 15],[27.125 65.875] ; [ 7.875 19.125],0
u3,1,0.063531,3.442729,[15 23] ; [9 4],[17.88235294 20.11764706] ; [6.11764706 6.88235294],0
u1,1,0.065695,3.387442,[ 6 87] ; [ 5 23],[ 8.45454545 84.54545455] ; [ 2.54545455 25.45454545],0
p8,1,0.092386,2.832298,[16 76] ; [ 9 19],[19.16666667 72.83333333] ; [ 5.83333333 22.16666667],0
n2,1,0.094429,2.797203,[21 18] ; [9 2],[23.4 15.6] ; [6.6 4.4],0
d5,1,0.109657,2.559162,[62 31] ; [14 14],[58.41322314 34.58677686] ; [17.58677686 10.41322314],0
v3,1,0.136312,2.219103,[23 66] ; [11 16],[26.0862069 62.9137931] ; [ 7.9137931 19.0862069],0
p4,1,0.13947,2.183802,[17 73] ; [ 9 19],[19.83050847 70.16949153] ; [ 6.16949153 21.83050847],0
p9,1,0.148874,2.083749,[37 52] ; [16 12],[40.31623932 48.68376068] ; [12.68376068 15.31623932],0
p11,1,0.156536,2.007373,[39 54] ; [16 12],[42.27272727 50.72727273] ; [12.72727273 15.27272727],0
a7,1,0.178501,1.810062,[52 41] ; [19  8],[55.025 37.975] ; [15.975 11.025],0
v4,1,0.198583,1.652766,[64 29] ; [22  5],[66.65 26.35] ; [19.35  7.65],0
d4,1,0.208147,1.584266,[68 25] ; [17 11],[65.33057851 27.66942149] ; [19.66942149  8.33057851],0
a2,1,0.223101,1.48431,[14 79] ; [ 7 21],[16.14049587 76.85950413] ; [ 4.85950413 23.14049587],0
s5,1,0.254403,1.298962,[15 75] ; [ 2 24],[13.18965517 76.81034483] ; [ 3.81034483 22.18965517],0
p3,1,0.255989,1.290323,[21 72] ; [ 9 18],[23.25 69.75] ; [ 6.75 20.25],0
b5,1,0.296091,1.09172,[46 47] ; [17 11],[48.4214876 44.5785124] ; [14.5785124 13.4214876],0
s7,1,0.304771,1.0532,[15 73] ; [ 7 20],[16.83478261 71.16521739] ; [ 5.16521739 21.83478261],0
b1,1,0.31144,1.02456,[50 43] ; [12 16],[47.65289256 45.34710744] ; [14.34710744 13.65289256],0
r3,1,0.316445,1.003584,[63 30] ; [21  6],[65.1 27.9] ; [18.9  8.1],0
d2,1,0.319335,0.991667,[39 52] ; [15 13],[41.29411765 49.70588235] ; [12.70588235 15.29411765],0
b4,1,0.325188,0.967967,[50 43] ; [18 10],[52.26446281 40.73553719] ; [15.73553719 12.26446281],0
a4,1,0.346669,0.885611,[35 57] ; [13 14],[37.1092437 54.8907563] ; [10.8907563 16.1092437],0
u4,1,0.363755,0.824886,[ 1 92] ; [ 1 27],[ 1.53719008 91.46280992] ; [ 0.46280992 27.53719008],0
