Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,6e-06,20.515664,[61  9] ; [4 9],[54.81927711 15.18072289] ; [10.18072289  2.81927711],1
d1,1,2.5e-05,17.771287,[49 21] ; [ 1 12],[42.1686747 27.8313253] ; [7.8313253 5.1686747],1
a3,1,0.000147,14.414107,[60 10] ; [5 8],[54.81927711 15.18072289] ; [10.18072289  2.81927711],1
d3,1,0.000335,12.861387,[52 18] ; [ 3 10],[46.38554217 23.61445783] ; [8.61445783 4.38554217],1
d2,1,0.004212,8.190178,[41 29] ; [ 2 11],[36.26506024 33.73493976] ; [6.73493976 6.26506024],0
a4,1,0.026602,4.916434,[34 36] ; [ 2 11],[30.36144578 39.63855422] ; [5.63855422 7.36144578],0
p9,1,0.040183,4.210134,[68  2] ; [10  2],[66.58536585  3.41463415] ; [11.41463415  0.58536585],0
p10,1,0.040823,4.183363,[65  4] ; [10  3],[63.1097561  5.8902439] ; [11.8902439  1.1097561],0
a5,1,0.042875,4.100342,[56 14] ; [7 6],[53.13253012 16.86746988] ; [9.86746988 3.13253012],0
s2,1,0.049657,3.852998,[41 27] ; [4 9],[37.77777778 30.22222222] ; [7.22222222 5.77777778],0
r3,1,0.05779,3.599709,[66  2] ; [11  2],[64.64197531  3.35802469] ; [12.35802469  0.64197531],0
v1,1,0.09405,2.803656,[47 20] ; [6 7],[44.3875 22.6125] ; [8.6125 4.3875],0
s8,1,0.097883,2.739706,[46 23] ; [5 7],[43.44444444 25.55555556] ; [7.55555556 4.44444444],0
p1,1,0.1057,2.617362,[17 53] ; [6 7],[19.39759036 50.60240964] ; [3.60240964 9.39759036],0
n1,1,0.115993,2.470604,[4 9] ; [3 1],[5.35294118 7.64705882] ; [1.64705882 2.35294118],0
u3,1,0.179712,1.8,[8 2] ; [4 4],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
s7,1,0.180631,1.792424,[49 17] ; [6 5],[47.14285714 18.85714286] ; [7.85714286 3.14285714],0
a2,1,0.213415,1.548111,[16 54] ; [ 1 12],[14.3373494 55.6626506] ; [ 2.6626506 10.3373494],0
p2,1,0.223352,1.482701,[65  4] ; [11  2],[63.95121951  5.04878049] ; [12.04878049  0.95121951],0
p6,1,0.297486,1.085429,[48 20] ; [11  2],[49.5308642 18.4691358] ; [9.4691358 3.5308642],0
s6,1,0.345815,0.888753,[54 10] ; [8 3],[52.90666667 11.09333333] ; [9.09333333 1.90666667],0
u2,1,0.387094,0.748052,[7 3] ; [4 4],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
a1,1,0.389246,0.741297,[12 58] ; [ 1 12],[10.96385542 59.03614458] ; [ 2.03614458 10.96385542],0
a6,1,0.413368,0.669094,[46 24] ; [7 6],[44.69879518 25.30120482] ; [8.30120482 4.69879518],0
v2,1,0.439545,0.597469,[43 23] ; [7 6],[41.7721519 24.2278481] ; [8.2278481 4.7721519],0
n4,1,0.444615,0.584344,[64  6] ; [11  2],[63.25301205  6.74698795] ; [11.74698795  1.25301205],0
p11,1,0.444615,0.584344,[64  6] ; [11  2],[63.25301205  6.74698795] ; [11.74698795  1.25301205],0
a7,1,0.545799,0.364897,[49 21] ; [8 5],[48.07228916 21.92771084] ; [8.92771084 4.07228916],0
b5,1,0.563965,0.332885,[33 37] ; [5 8],[32.04819277 37.95180723] ; [5.95180723 7.04819277],0
a8,1,0.634343,0.226217,[11 52] ; [ 3 10],[11.60526316 51.39473684] ; [ 2.39473684 10.60526316],0
v3,1,0.649966,0.205943,[40 26] ; [7 6],[39.26582278 26.73417722] ; [7.73417722 5.26582278],0
s3,1,0.664634,0.187943,[41 27] ; [7 6],[40.2962963 27.7037037] ; [7.7037037 5.2962963],0
b2,1,0.718454,0.129979,[27 26] ; [4 5],[26.5 26.5] ; [4.5 4.5],0
b3,1,0.718454,0.129979,[27 26] ; [4 5],[26.5 26.5] ; [4.5 4.5],0
p8,1,0.720523,0.127992,[61  9] ; [10  2],[60.6097561  9.3902439] ; [10.3902439  1.6097561],0
r1,1,0.767491,0.087414,[56 13] ; [11  2],[56.37804878 12.62195122] ; [10.62195122  2.37804878],0
b1,1,0.7682,0.086866,[30 40] ; [5 8],[29.51807229 40.48192771] ; [5.48192771 7.51807229],0
n5,1,0.795699,0.067038,[63  7] ; [12  1],[63.25301205  6.74698795] ; [11.74698795  1.25301205],0
r4,1,0.795699,0.067038,[63  7] ; [12  1],[63.25301205  6.74698795] ; [11.74698795  1.25301205],0
p12,1,0.872475,0.025765,[20 50] ; [4 9],[20.24096386 49.75903614] ; [3.75903614 9.24096386],0
p3,1,0.87645,0.024171,[58 12] ; [11  2],[58.19277108 11.80722892] ; [10.80722892  2.19277108],0
r2,1,0.894193,0.017689,[62  6] ; [12  1],[62.12345679  5.87654321] ; [11.87654321  1.12345679],0
b4,1,0.900961,0.015487,[39 31] ; [7 6],[38.79518072 31.20481928] ; [7.20481928 5.79518072],0
n2,1,0.936802,0.006287,[10  3] ; [3 1],[9.94117647 3.05882353] ; [3.05882353 0.94117647],0
p4,1,0.943992,0.004936,[65  5] ; [12  1],[64.93975904  5.06024096] ; [12.06024096  0.93975904],0
s4,1,0.949673,0.003984,[10 58] ; [ 2 11],[10.07407407 57.92592593] ; [ 1.92592593 11.07407407],0
n6,1,0.954836,0.003208,[64  5] ; [12  1],[63.95121951  5.04878049] ; [12.04878049  0.95121951],0
s5,1,0.971248,0.001299,[41 21] ; [8 4],[41.05405405 20.94594595] ; [7.94594595 4.05405405],0
