Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.2e-05,19.228095,[16 80] ; [14  9],[24.20168067 71.79831933] ; [ 5.79831933 17.20168067],1
p7,1,3.9e-05,16.911425,[23 71] ; [16  7],[31.33333333 62.66666667] ; [ 7.66666667 15.33333333],1
s6,1,8.3e-05,15.477763,[44 52] ; [21  2],[52.43697479 43.56302521] ; [12.56302521 10.43697479],1
s2,1,0.000258,13.35609,[31 65] ; [17  6],[38.72268908 57.27731092] ; [ 9.27731092 13.72268908],1
v1,1,0.001583,9.979012,[28 66] ; [15  8],[34.54700855 59.45299145] ; [ 8.45299145 14.54700855],0
s5,1,0.001824,9.718614,[17 76] ; [11 11],[22.64347826 70.35652174] ; [ 5.35652174 16.64347826],0
s7,1,0.00661,7.375918,[29 61] ; [14  8],[34.55357143 55.44642857] ; [ 8.44642857 13.55357143],0
v2,1,0.006732,7.343159,[42 51] ; [17  5],[47.71304348 45.28695652] ; [11.28695652 10.71304348],0
p3,1,0.008481,6.92905,[25 72] ; [12 10],[30.15966387 66.84033613] ; [ 6.84033613 15.15966387],0
p5,1,0.011581,6.373869,[ 5 89] ; [ 5 18],[ 8.03418803 85.96581197] ; [ 1.96581197 21.03418803],0
p4,1,0.014989,5.917732,[23 73] ; [11 11],[27.66101695 68.33898305] ; [ 6.33898305 15.66101695],0
p12,1,0.021825,5.259653,[ 4 93] ; [ 4 19],[ 6.46666667 90.53333333] ; [ 1.53333333 21.46666667],0
d5,1,0.064408,3.42008,[75 21] ; [13  9],[71.59322034 24.40677966] ; [16.40677966  5.59322034],0
r3,1,0.077865,3.10892,[78 19] ; [22  1],[80.83333333 16.16666667] ; [19.16666667  3.83333333],0
s8,1,0.085547,2.956229,[26 71] ; [10 12],[29.34453782 67.65546218] ; [ 6.65546218 15.34453782],0
p10,1,0.085679,2.953732,[56 39] ; [18  5],[59.57627119 35.42372881] ; [14.42372881  8.57627119],0
v4,1,0.093294,2.8166,[79 18] ; [22  1],[81.64166667 15.35833333] ; [19.35833333  3.64166667],0
n6,1,0.096866,2.756393,[66 30] ; [19  3],[69.15254237 26.84745763] ; [15.84745763  6.15254237],0
p9,1,0.114292,2.493846,[57 37] ; [18  5],[60.25641026 33.74358974] ; [14.74358974  8.25641026],0
