Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,4.3e-05,16.74797,[2 4] ; [51  4],[5.21311475 0.78688525] ; [47.78688525  7.21311475],1
a8,1,0.000576,11.851852,[3 3] ; [ 3 51],[0.6 5.4] ; [ 5.4 48.6],1
r4,1,0.037288,4.337219,[2 4] ; [43 15],[4.21875 1.78125] ; [40.78125 17.21875],0
d4,1,0.080023,3.064433,[3 3] ; [47 11],[4.6875 1.3125] ; [45.3125 12.6875],0
d5,1,0.137395,2.206897,[3 3] ; [45 13],[4.5 1.5] ; [43.5 14.5],0
b1,1,0.145446,2.119375,[4 2] ; [21 37],[2.34375 3.65625] ; [22.65625 35.34375],0
v3,1,0.149081,2.081627,[4 2] ; [20 35],[2.36065574 3.63934426] ; [21.63934426 33.36065574],0
a2,1,0.153764,2.034506,[2 4] ; [ 7 51],[0.84375 5.15625] ; [ 8.15625 49.84375],0
s7,1,0.154143,2.030765,[3 3] ; [43 13],[4.4516129 1.5483871] ; [41.5483871 14.4516129],0
s2,1,0.172118,1.864399,[3 3] ; [44 14],[4.40625 1.59375] ; [42.59375 15.40625],0
a7,1,0.172461,1.861417,[2 4] ; [36 22],[3.5625 2.4375] ; [34.4375 23.5625],0
d1,1,0.234579,1.412881,[2 4] ; [34 24],[3.375 2.625] ; [32.625 25.375],0
p12,1,0.268176,1.226054,[1 5] ; [ 3 55],[0.375 5.625] ; [ 3.625 54.375],0
d3,1,0.30749,1.041424,[2 4] ; [32 26],[3.1875 2.8125] ; [30.8125 27.1875],0
s6,1,0.389378,0.740883,[3 2] ; [44 13],[3.79032258 1.20967742] ; [43.20967742 13.79032258],0
p2,1,0.404987,0.693469,[4 2] ; [47 11],[4.78125 1.21875] ; [46.21875 11.78125],0
s1,1,0.405572,0.691742,[1 5] ; [ 4 53],[0.47619048 5.52380952] ; [ 4.52380952 52.47619048],0
n4,1,0.418195,0.655381,[5 1] ; [39 19],[4.125 1.875] ; [39.875 18.125],0
v2,1,0.438323,0.600667,[4 2] ; [27 27],[3.1 2.9] ; [27.9 26.1],0
a4,1,0.450779,0.568691,[3 3] ; [20 38],[2.15625 3.84375] ; [20.84375 37.15625],0
b2,1,0.483309,0.491388,[1 4] ; [15 27],[1.70212766 3.29787234] ; [14.29787234 27.70212766],0
b3,1,0.483309,0.491388,[1 4] ; [15 27],[1.70212766 3.29787234] ; [14.29787234 27.70212766],0
s4,1,0.564267,0.332369,[1 5] ; [16 42],[1.59375 4.40625] ; [15.40625 42.59375],0
p6,1,0.570303,0.322176,[4 2] ; [30 25],[3.3442623 2.6557377] ; [30.6557377 24.3442623],0
a6,1,0.644573,0.212811,[4 2] ; [33 25],[3.46875 2.53125] ; [33.53125 24.46875],0
u2,1,0.67415,0.176786,[1 1] ; [13  7],[1.27272727 0.72727273] ; [12.72727273  7.27272727],0
s3,1,0.693243,0.155597,[4 2] ; [43 15],[4.40625 1.59375] ; [42.59375 15.40625],0
p3,1,0.702451,0.145935,[4 2] ; [34 24],[3.5625 2.4375] ; [34.4375 23.5625],0
d2,1,0.745805,0.10509,[3 3] ; [25 33],[2.625 3.375] ; [25.375 32.625],0
b4,1,0.745805,0.10509,[3 3] ; [33 25],[3.375 2.625] ; [32.625 25.375],0
u3,1,0.783892,0.075214,[1 1] ; [12  8],[1.18181818 0.81818182] ; [11.81818182  8.18181818],0
b5,1,0.824738,0.049042,[4 2] ; [36 22],[3.75 2.25] ; [36.25 21.75],0
p1,1,0.847154,0.037153,[1 5] ; [ 8 50],[0.84375 5.15625] ; [ 8.15625 49.84375],0
p4,1,0.888936,0.019502,[4 2] ; [37 21],[3.84375 2.15625] ; [37.15625 20.84375],0
n6,1,0.890762,0.018862,[5 1] ; [47 11],[4.875 1.125] ; [47.125 10.875],0
p7,1,0.907776,0.01342,[4 2] ; [36 20],[3.87096774 2.12903226] ; [36.12903226 19.87096774],0
p11,1,0.941155,0.005449,[5 1] ; [49  9],[5.0625 0.9375] ; [48.9375  9.0625],0
a3,1,0.954998,0.003185,[4 2] ; [38 20],[3.9375 2.0625] ; [38.0625 19.9375],0
a5,1,0.954998,0.003185,[4 2] ; [38 20],[3.9375 2.0625] ; [38.0625 19.9375],0
v1,1,0.966264,0.001789,[3 3] ; [27 28],[2.95081967 3.04918033] ; [27.04918033 27.95081967],0
p8,1,0.967391,0.001671,[3 3] ; [29 28],[3.04761905 2.95238095] ; [28.95238095 28.04761905],0
