Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.9e-05,16.120633,[17  5] ; [20 49],[ 8.94505495 13.05494505] ; [28.05494505 40.94505495],1
s8,1,0.000286,13.162188,[12 10] ; [11 58],[ 5.56043956 16.43956044] ; [17.43956044 51.56043956],1
s2,1,0.000286,13.157211,[14  8] ; [15 53],[ 7.08888889 14.91111111] ; [21.91111111 46.08888889],1
s4,1,0.000517,12.053148,[10 12] ; [ 8 61],[ 4.35164835 17.64835165] ; [13.64835165 55.35164835],1
s3,1,0.003876,8.341242,[17  5] ; [28 39],[11.12359551 10.87640449] ; [33.87640449 33.12359551],0
p8,1,0.006305,7.461002,[12 10] ; [16 52],[ 6.84444444 15.15555556] ; [21.15555556 46.84444444],0
p6,1,0.009863,6.659451,[ 9 13] ; [10 57],[ 4.69662921 17.30337079] ; [14.30337079 52.69662921],0
d3,1,0.010144,6.609467,[16  5] ; [30 38],[10.85393258 10.14606742] ; [35.14606742 32.85393258],0
s5,1,0.012494,6.239363,[ 8 13] ; [ 9 58],[ 4.05681818 16.94318182] ; [12.94318182 54.05681818],0
v4,1,0.016531,5.745508,[20  1] ; [48 21],[15.86666667  5.13333333] ; [52.13333333 16.86666667],0
n1,1,0.017884,5.607462,[6 2] ; [ 7 18],[3.15151515 4.84848485] ; [ 9.84848485 15.15151515],0
p2,1,0.029184,4.756718,[18  4] ; [38 30],[13.68888889  8.31111111] ; [42.31111111 25.68888889],0
p9,1,0.03765,4.32076,[17  5] ; [36 33],[12.81318681  9.18681319] ; [40.18681319 28.81318681],0
v1,1,0.044564,4.035079,[11 11] ; [18 49],[ 7.16853933 14.83146067] ; [21.83146067 45.16853933],0
p4,1,0.056417,3.639706,[11 11] ; [19 49],[ 7.33333333 14.66666667] ; [22.66666667 45.33333333],0
p10,1,0.057479,3.608683,[15  7] ; [31 38],[11.12087912 10.87912088] ; [34.87912088 34.12087912],0
d2,1,0.06572,3.386819,[ 5 16] ; [32 37],[ 8.63333333 12.36666667] ; [28.36666667 40.63333333],0
n2,1,0.073679,3.199096,[7 1] ; [13 12],[4.84848485 3.15151515] ; [15.15151515  9.84848485],0
u2,1,0.07668,3.133903,[9 2] ; [17 16],[6.5 4.5] ; [19.5 13.5],0
u3,1,0.07668,3.133903,[9 2] ; [17 16],[6.5 4.5] ; [19.5 13.5],0
p5,1,0.083492,2.995574,[ 2 20] ; [ 1 67],[ 0.73333333 21.26666667] ; [ 2.26666667 65.73333333],0
a6,1,0.089925,2.875719,[17  4] ; [42 27],[13.76666667  7.23333333] ; [45.23333333 23.76666667],0
p11,1,0.099451,2.714326,[14  8] ; [30 39],[10.63736264 11.36263736] ; [33.36263736 35.63736264],0
b4,1,0.100481,2.697893,[ 9 13] ; [42 27],[12.32967033  9.67032967] ; [38.67032967 30.32967033],0
p7,1,0.104031,2.642637,[12  8] ; [26 40],[ 8.8372093 11.1627907] ; [29.1627907 36.8372093],0
p3,1,0.141268,2.164097,[ 9 13] ; [17 52],[ 6.28571429 15.71428571] ; [19.71428571 49.28571429],0
r3,1,0.175515,1.835192,[18  4] ; [46 23],[15.47252747  6.52747253] ; [48.52747253 20.47252747],0
a1,1,0.267099,1.231584,[ 1 21] ; [ 9 60],[ 2.41758242 19.58241758] ; [ 7.58241758 61.41758242],0
r4,1,0.332282,0.939984,[15  7] ; [39 30],[13.05494505  8.94505495] ; [40.94505495 28.05494505],0
d4,1,0.346116,0.887648,[16  5] ; [45 24],[14.23333333  6.76666667] ; [46.76666667 22.23333333],0
a2,1,0.364699,0.821646,[ 5 17] ; [10 59],[ 3.62637363 18.37362637] ; [11.37362637 57.62637363],0
d5,1,0.408064,0.684433,[14  7] ; [39 30],[12.36666667  8.63333333] ; [40.63333333 28.36666667],0
s1,1,0.410182,0.678272,[ 1 21] ; [ 7 61],[ 1.95555556 20.04444444] ; [ 6.04444444 61.95555556],0
n3,1,0.414216,0.666667,[3 5] ; [13 11],[4. 4.] ; [12. 12.],0
d1,1,0.436707,0.60492,[ 9 13] ; [22 47],[ 7.49450549 14.50549451] ; [23.50549451 45.49450549],0
b1,1,0.511871,0.430239,[11 11] ; [40 29],[12.32967033  9.67032967] ; [38.67032967 30.32967033],0
v3,1,0.514785,0.424329,[ 2 19] ; [10 56],[ 2.89655172 18.10344828] ; [ 9.10344828 56.89655172],0
r2,1,0.558876,0.341654,[19  3] ; [55 13],[18.08888889  3.91111111] ; [55.91111111 12.08888889],0
a8,1,0.591346,0.288247,[ 2 20] ; [ 9 58],[ 2.71910112 19.28089888] ; [ 8.28089888 58.71910112],0
n5,1,0.61465,0.253458,[ 9 13] ; [32 36],[10.02222222 11.97777778] ; [30.97777778 37.02222222],0
b5,1,0.637591,0.221907,[14  8] ; [40 29],[13.05494505  8.94505495] ; [40.94505495 28.05494505],0
u1,1,0.656672,0.197591,[ 1 21] ; [ 5 64],[ 1.45054945 20.54945055] ; [ 4.54945055 64.45054945],0
a7,1,0.724723,0.124012,[14  8] ; [41 28],[13.2967033  8.7032967] ; [41.7032967 27.2967033],0
n4,1,0.754831,0.097516,[12 10] ; [35 34],[11.36263736 10.63736264] ; [35.63736264 33.36263736],0
a3,1,0.810282,0.05763,[11 11] ; [36 32],[11.48888889 10.51111111] ; [35.51111111 32.48888889],0
r1,1,0.832077,0.04496,[13  9] ; [39 30],[12.57142857  9.42857143] ; [39.42857143 29.57142857],0
b2,1,0.894023,0.017746,[ 4 10] ; [14 32],[4.2 9.8] ; [13.8 32.2],0
b3,1,0.894023,0.017746,[ 4 10] ; [14 32],[4.2 9.8] ; [13.8 32.2],0
a5,1,0.952796,0.003504,[11 11] ; [34 35],[10.87912088 11.12087912] ; [34.12087912 34.87912088],0
p1,1,0.954537,0.00325,[ 2 20] ; [ 6 63],[ 1.93406593 20.06593407] ; [ 6.06593407 62.93406593],0
a4,1,0.99107,0.000125,[ 8 14] ; [25 44],[ 7.97802198 14.02197802] ; [25.02197802 43.97802198],0
