Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,5.5e-05,16.271208,[57 34] ; [23 51],[44.12121212 46.87878788] ; [35.87878788 38.12121212],1
d5,1,0.000465,12.252206,[69 23] ; [36 38],[58.19277108 33.80722892] ; [46.80722892 27.19277108],1
d4,1,0.001419,10.180531,[67 25] ; [36 38],[57.08433735 34.91566265] ; [45.91566265 28.08433735],0
a6,1,0.001806,9.737149,[62 30] ; [32 42],[52.09638554 39.90361446] ; [41.90361446 32.09638554],0
r4,1,0.002531,9.118194,[54 38] ; [26 48],[44.3373494 47.6626506] ; [35.6626506 38.3373494],0
b1,1,0.005026,7.870042,[31 61] ; [41 33],[39.90361446 52.09638554] ; [32.09638554 41.90361446],0
r3,1,0.00938,6.749068,[78 13] ; [51 23],[71.14545455 19.85454545] ; [57.85454545 16.14545455],0
b5,1,0.012017,6.308331,[67 25] ; [40 34],[59.30120482 32.69879518] ; [47.69879518 26.30120482],0
n5,1,0.033184,4.536257,[56 35] ; [57 17],[62.32121212 28.67878788] ; [50.67878788 23.32121212],0
p10,1,0.05464,3.693053,[62 28] ; [39 33],[56.11111111 33.88888889] ; [44.88888889 27.11111111],0
b4,1,0.065698,3.387367,[53 39] ; [32 42],[47.10843373 44.89156627] ; [37.89156627 36.10843373],0
p3,1,0.076311,3.141758,[37 54] ; [20 53],[31.62804878 59.37195122] ; [25.37195122 47.62804878],0
d1,1,0.111788,2.528756,[37 55] ; [21 53],[32.14457831 59.85542169] ; [25.85542169 48.14457831],0
v4,1,0.118975,2.43076,[75 17] ; [52 21],[70.81212121 21.18787879] ; [56.18787879 16.81212121],0
r2,1,0.127914,2.317644,[70 19] ; [49 23],[65.7826087 23.2173913] ; [53.2173913 18.7826087],0
p11,1,0.137048,2.210796,[66 26] ; [45 29],[61.51807229 30.48192771] ; [49.48192771 24.51807229],0
a3,1,0.160795,1.966736,[56 36] ; [37 37],[51.54216867 40.45783133] ; [41.45783133 32.54216867],0
u1,1,0.161199,1.962939,[ 5 87] ; [ 1 73],[ 3.3253012 88.6746988] ; [ 2.6746988 71.3253012],0
a2,1,0.184206,1.76336,[12 80] ; [ 5 69],[ 9.42168675 82.57831325] ; [ 7.57831325 66.42168675],0
v3,1,0.219165,1.509827,[28 64] ; [16 57],[24.53333333 67.46666667] ; [19.46666667 53.53333333],0
n6,1,0.231358,1.432495,[68 23] ; [49 25],[64.52727273 26.47272727] ; [52.47272727 21.52727273],0
s1,1,0.261551,1.260529,[ 4 88] ; [ 1 73],[ 2.77108434 89.22891566] ; [ 2.22891566 71.77108434],0
s6,1,0.312684,1.019305,[39 52] ; [26 48],[35.84848485 55.15151515] ; [29.15151515 44.84848485],0
p2,1,0.325497,0.966729,[63 29] ; [44 28],[60.02439024 31.97560976] ; [46.97560976 25.02439024],0
v1,1,0.32674,0.961776,[33 55] ; [22 51],[30.0621118 57.9378882] ; [24.9378882 48.0621118],0
a5,1,0.331523,0.94294,[48 44] ; [33 41],[44.89156627 47.10843373] ; [36.10843373 37.89156627],0
p9,1,0.340231,0.909562,[67 23] ; [48 23],[64.28571429 25.71428571] ; [50.71428571 20.28571429],0
s8,1,0.347091,0.884064,[18 74] ; [19 55],[20.5060241 71.4939759] ; [16.4939759 57.5060241],0
b3,1,0.348946,0.877287,[20 35] ; [13 34],[17.79411765 37.20588235] ; [15.20588235 31.79411765],0
b2,1,0.348946,0.877287,[20 35] ; [13 34],[17.79411765 37.20588235] ; [15.20588235 31.79411765],0
u3,1,0.357514,0.846606,[13 22] ; [10 27],[11.18055556 23.81944444] ; [11.81944444 25.18055556],0
u2,1,0.360305,0.83683,[16 19] ; [13 24],[14.09722222 20.90277778] ; [14.90277778 22.09722222],0
s3,1,0.366626,0.815068,[30 62] ; [28 43],[32.73619632 59.26380368] ; [25.26380368 45.73619632],0
p7,1,0.367123,0.81338,[46 43] ; [33 41],[43.13496933 45.86503067] ; [35.86503067 38.13496933],0
p12,1,0.385753,0.752288,[ 5 86] ; [ 2 71],[ 3.88414634 87.11585366] ; [ 3.11585366 69.88414634],0
s4,1,0.405247,0.692701,[14 78] ; [ 8 66],[12.19277108 79.80722892] ; [ 9.80722892 64.19277108],0
n1,1,0.409481,0.680307,[ 7 16] ; [14 20],[ 8.47368421 14.52631579] ; [12.52631579 21.47368421],0
p8,1,0.438131,0.601174,[37 54] ; [25 47],[34.61349693 56.38650307] ; [27.38650307 44.61349693],0
n3,1,0.509108,0.435901,[17  6] ; [23 12],[15.86206897  7.13793103] ; [24.13793103 10.86206897],0
a8,1,0.511849,0.430285,[ 9 80] ; [ 5 65],[ 7.83647799 81.16352201] ; [ 6.16352201 63.83647799],0
d2,1,0.513533,0.426861,[32 60] ; [29 44],[34.01212121 57.98787879] ; [26.98787879 46.01212121],0
p5,1,0.517618,0.418636,[ 4 86] ; [ 5 69],[ 4.93902439 85.06097561] ; [ 4.06097561 69.93902439],0
s7,1,0.565303,0.330604,[21 66] ; [20 51],[22.57594937 64.42405063] ; [18.42405063 52.57594937],0
n4,1,0.570155,0.322424,[57 35] ; [49 25],[58.74698795 33.25301205] ; [47.25301205 26.74698795],0
s2,1,0.623998,0.240288,[23 69] ; [21 53],[24.38554217 67.61445783] ; [19.61445783 54.38554217],0
v2,1,0.643189,0.214596,[33 59] ; [23 48],[31.60736196 60.39263804] ; [24.39263804 46.60736196],0
p1,1,0.64396,0.2136,[ 8 84] ; [ 5 69],[ 7.20481928 84.79518072] ; [ 5.79518072 68.20481928],0
p4,1,0.686602,0.162789,[38 54] ; [32 40],[39.26829268 52.73170732] ; [30.73170732 41.26829268],0
p6,1,0.774705,0.081925,[21 69] ; [15 55],[20.25 69.75] ; [15.75 54.25],0
n2,1,0.854828,0.033475,[15  8] ; [22 13],[14.67241379  8.32758621] ; [22.32758621 12.67241379],0
a4,1,0.942951,0.005121,[26 66] ; [21 52],[26.20606061 65.79393939] ; [20.79393939 52.20606061],0
a1,1,0.951752,0.003661,[ 6 86] ; [ 5 69],[ 6.09638554 85.90361446] ; [ 4.90361446 69.09638554],0
