Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.005981,7.556099,[59 95] ; [18  9],[65.51381215 88.48618785] ; [11.48618785 15.51381215],0
p4,1,0.043373,4.08081,[110  44] ; [14 13],[105.50276243  48.49723757] ; [18.49723757  8.50276243],0
p11,1,0.077634,3.113749,[130  24] ; [19  8],[126.77348066  27.22651934] ; [22.22651934  4.77348066],0
p2,1,0.278629,1.173763,[136  17] ; [22  5],[134.3  18.7] ; [23.7  3.3],0
p8,1,0.497554,0.46015,[101  52] ; [16 11],[99.45 53.55] ; [17.55  9.45],0
