Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.770284,[ 3 47] ; [14 11],[11.33333333 38.66666667] ; [ 5.66666667 19.33333333],1
s5,1,0.000211,13.734724,[ 2 46] ; [ 9 15],[ 7.33333333 40.66666667] ; [ 3.66666667 20.33333333],1
v1,1,0.001692,9.856684,[ 6 42] ; [11 13],[11.33333333 36.66666667] ; [ 5.66666667 18.33333333],0
u3,1,0.001878,9.664773,[ 3 21] ; [7 4],[ 6.85714286 17.14285714] ; [3.14285714 7.85714286],0
s7,1,0.002011,9.53947,[ 6 41] ; [11 13],[11.25352113 35.74647887] ; [ 5.74647887 18.25352113],0
s4,1,0.014306,6.0,[ 6 44] ; [ 9 16],[10. 40.] ; [ 5. 20.],0
v2,1,0.017956,5.600404,[12 37] ; [13 12],[16.55405405 32.44594595] ; [ 8.44594595 16.55405405],0
d4,1,0.018911,5.509745,[26 24] ; [20  5],[30.66666667 19.33333333] ; [15.33333333  9.66666667],0
a6,1,0.033368,4.526786,[31 19] ; [ 9 16],[26.66666667 23.33333333] ; [13.33333333 11.66666667],0
p4,1,0.047686,3.921009,[14 35] ; [13 12],[17.87837838 31.12162162] ; [ 9.12162162 15.87837838],0
p3,1,0.055061,3.680251,[11 38] ; [11 14],[14.56756757 34.43243243] ; [ 7.43243243 17.56756757],0
p11,1,0.06333,3.447948,[15 35] ; [13 12],[18.66666667 31.33333333] ; [ 9.33333333 15.66666667],0
r3,1,0.0914,2.849544,[28 22] ; [19  6],[31.33333333 18.66666667] ; [15.66666667  9.33333333],0
n2,1,0.105335,2.622857,[12 12] ; [8 2],[14.11764706  9.88235294] ; [5.88235294 4.11764706],0
v4,1,0.115184,2.481618,[31 19] ; [20  5],[34. 16.] ; [17.  8.],0
b1,1,0.138769,2.191558,[25 25] ; [17  8],[28. 22.] ; [14. 11.],0
b3,1,0.151207,2.060035,[12 20] ; [ 3 14],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
b2,1,0.151207,2.060035,[12 20] ; [ 3 14],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
n3,1,0.157845,1.99475,[13 11] ; [8 2],[14.82352941  9.17647059] ; [6.17647059 3.82352941],0
n1,1,0.180503,1.793478,[ 6 17] ; [5 5],[ 7.66666667 15.33333333] ; [3.33333333 6.66666667],0
n4,1,0.189479,1.721664,[30 20] ; [11 14],[27.33333333 22.66666667] ; [13.66666667 11.33333333],0
s3,1,0.205026,1.606203,[14 34] ; [11 14],[16.43835616 31.56164384] ; [ 8.56164384 16.43835616],0
s8,1,0.229766,1.442308,[ 5 45] ; [ 5 20],[ 6.66666667 43.33333333] ; [ 3.33333333 21.66666667],0
u2,1,0.246762,1.34154,[ 7 17] ; [5 5],[ 8.47058824 15.52941176] ; [3.52941176 6.47058824],0
n5,1,0.251943,1.3125,[29 21] ; [11 14],[26.66666667 23.33333333] ; [13.33333333 11.66666667],0
p7,1,0.317311,1.0,[18 32] ; [12 13],[20. 30.] ; [10. 15.],0
b5,1,0.317311,1.0,[28 22] ; [17  8],[30. 20.] ; [15. 10.],0
a5,1,0.323678,0.974026,[20 30] ; [13 12],[22. 28.] ; [11. 14.],0
p8,1,0.36464,0.82185,[ 9 39] ; [ 7 18],[10.52054795 37.47945205] ; [ 5.47945205 19.52054795],0
a7,1,0.409132,0.681323,[23 27] ; [ 9 16],[21.33333333 28.66666667] ; [10.66666667 14.33333333],0
d3,1,0.414175,0.666785,[23 27] ; [14 11],[24.66666667 25.33333333] ; [12.33333333 12.66666667],0
p6,1,0.416518,0.660118,[ 9 37] ; [ 7 18],[10.36619718 35.63380282] ; [ 5.63380282 19.36619718],0
a1,1,0.450982,0.568182,[ 5 45] ; [ 4 21],[ 6. 44.] ; [ 3. 22.],0
p1,1,0.512691,0.428571,[ 4 46] ; [ 1 24],[ 3.33333333 46.66666667] ; [ 1.66666667 23.33333333],0
a8,1,0.525388,0.403304,[ 4 45] ; [ 1 23],[ 3.35616438 45.64383562] ; [ 1.64383562 22.35616438],0
r2,1,0.596334,0.280561,[29 18] ; [17  8],[30.02777778 16.97222222] ; [15.97222222  9.02777778],0
p12,1,0.612293,0.256849,[ 1 49] ; [ 1 24],[ 1.33333333 48.66666667] ; [ 0.66666667 24.33333333],0
p5,1,0.623029,0.241633,[ 1 48] ; [ 1 24],[ 1.32432432 47.67567568] ; [ 0.67567568 24.32432432],0
v3,1,0.624767,0.239224,[10 40] ; [ 6 18],[10.81081081 39.18918919] ; [ 5.18918919 18.81081081],0
s1,1,0.70254,0.145843,[ 3 46] ; [ 1 24],[ 2.64864865 46.35135135] ; [ 1.35135135 23.64864865],0
d5,1,0.741272,0.109012,[28 22] ; [15 10],[28.66666667 21.33333333] ; [14.33333333 10.66666667],0
p2,1,0.74395,0.106686,[24 26] ; [13 12],[24.66666667 25.33333333] ; [12.33333333 12.66666667],0
a2,1,0.778956,0.078782,[ 5 45] ; [ 2 23],[ 4.66666667 45.33333333] ; [ 2.33333333 22.66666667],0
a3,1,0.810386,0.057565,[26 23] ; [14 11],[26.48648649 22.51351351] ; [13.51351351 11.48648649],0
p9,1,0.86105,0.030638,[17 31] ; [ 8 16],[16.66666667 31.33333333] ; [ 8.33333333 15.66666667],0
r4,1,0.86249,0.03,[17 33] ; [ 8 17],[16.66666667 33.33333333] ; [ 8.33333333 16.66666667],0
d1,1,0.863779,0.029435,[17 33] ; [ 9 16],[17.33333333 32.66666667] ; [ 8.66666667 16.33333333],0
b4,1,0.870271,0.026671,[25 25] ; [13 12],[25.33333333 24.66666667] ; [12.66666667 12.33333333],0
d2,1,0.931083,0.007479,[23 26] ; [12 13],[23.17567568 25.82432432] ; [11.82432432 13.17567568],0
n6,1,0.946065,0.004576,[29 20] ; [15 10],[29.13513514 19.86486486] ; [14.86486486 10.13513514],0
a4,1,0.954736,0.003222,[16 33] ; [ 8 17],[15.89189189 33.10810811] ; [ 8.10810811 16.89189189],0
