Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.665552,[336  56] ; [15 13],[327.6  64.4] ; [23.4  4.6],1
n6,1,1.2e-05,19.187665,[348  42] ; [17 11],[340.55023923  49.44976077] ; [24.44976077  3.55023923],1
p4,1,0.000291,13.12607,[276 116] ; [11 18],[267.2304038 124.7695962] ; [19.7695962  9.2304038],1
p7,1,0.000306,13.035055,[275 108] ; [11 17],[266.51581509 116.48418491] ; [19.48418491  8.51581509],1
p11,1,0.000596,11.787401,[339  55] ; [18 11],[332.5248227  61.4751773] ; [24.4751773  4.5248227],1
a8,1,0.002509,9.133954,[ 51 306] ; [ 9 15],[ 56.22047244 300.77952756] ; [ 3.77952756 20.22047244],0
p8,1,0.00287,8.88811,[242 145] ; [10 19],[234.43269231 152.56730769] ; [17.56730769 11.43269231],0
r4,1,0.007331,7.190041,[367  27] ; [23  6],[363.26241135  30.73758865] ; [26.73758865  2.26241135],0
p2,1,0.009765,6.677197,[348  44] ; [21  8],[343.58194774  48.41805226] ; [25.41805226  3.58194774],0
u4,1,0.011625,6.36711,[  9 385] ; [ 3 26],[ 11.17730496 382.82269504] ; [ 0.82269504 28.17730496],0
p3,1,0.025382,4.997647,[232 160] ; [11 18],[226.26128266 165.73871734] ; [16.73871734 12.26128266],0
p6,1,0.052712,3.753028,[179 209] ; [ 8 21],[173.99520384 214.00479616] ; [13.00479616 15.99520384],0
b4,1,0.064039,3.429576,[230 164] ; [22  7],[234.72340426 159.27659574] ; [17.27659574 11.72340426],0
s4,1,0.070165,3.279152,[ 64 326] ; [ 1 27],[ 60.64593301 329.35406699] ; [ 4.35406699 23.64593301],0
v3,1,0.110571,2.546037,[194 188] ; [ 9 17],[190.06372549 191.93627451] ; [12.93627451 13.06372549],0
r3,1,0.115879,2.472153,[377  16] ; [26  3],[375.3056872  17.6943128] ; [27.6943128  1.3056872],0
b1,1,0.168695,1.894506,[140 254] ; [14 15],[143.44208038 250.55791962] ; [10.55791962 18.44208038],0
p5,1,0.174832,1.841015,[ 64 326] ; [ 2 27],[ 61.43198091 328.56801909] ; [ 4.56801909 24.43198091],0
n4,1,0.192263,1.700193,[321  73] ; [20  8],[318.37440758  75.62559242] ; [22.62559242  5.37440758],0
s2,1,0.21546,1.534352,[221 169] ; [13 16],[217.80429594 172.19570406] ; [16.19570406 12.80429594],0
d1,1,0.218252,1.51583,[249 145] ; [15 14],[245.90070922 148.09929078] ; [18.09929078 10.90070922],0
s5,1,0.23206,1.42819,[157 223] ; [ 8 19],[154.05405405 225.94594595] ; [10.94594595 16.05405405],0
v4,1,0.267906,1.227439,[379  12] ; [27  2],[377.96666667  13.03333333] ; [28.03333333  0.96666667],0
n3,1,0.291507,1.112649,[46 20] ; [7 1],[47.27027027 18.72972973] ; [5.72972973 2.27027027],0
b5,1,0.294258,1.100038,[247 147] ; [21  8],[249.62647754 144.37352246] ; [18.37352246 10.62647754],0
d3,1,0.324902,0.969111,[278 115] ; [18 11],[275.65876777 117.34123223] ; [20.34123223  8.65876777],0
a1,1,0.3294,0.951255,[ 23 371] ; [ 3 26],[ 24.21749409 369.78250591] ; [ 1.78250591 27.21749409],0
p12,1,0.47341,0.514006,[ 44 349] ; [ 2 27],[ 42.83886256 350.16113744] ; [ 3.16113744 25.83886256],0
a5,1,0.492961,0.470056,[307  87] ; [21  8],[305.51300236  88.48699764] ; [22.48699764  6.51300236],0
d2,1,0.511386,0.431231,[192 201] ; [16 13],[193.70616114 199.29383886] ; [14.29383886 14.70616114],0
p1,1,0.516679,0.420517,[ 42 350] ; [ 2 27],[ 40.96912114 351.03087886] ; [ 3.03087886 25.96912114],0
d5,1,0.516804,0.420267,[329  63] ; [23  6],[327.75296912  64.24703088] ; [24.24703088  4.75296912],0
b2,1,0.528719,0.396853,[110 139] ; [ 9 15],[108.53846154 140.46153846] ; [10.46153846 13.53846154],0
b3,1,0.528719,0.396853,[110 139] ; [ 9 15],[108.53846154 140.46153846] ; [10.46153846 13.53846154],0
a3,1,0.562068,0.336137,[299  93] ; [20  8],[297.73333333  94.26666667] ; [21.26666667  6.73333333],0
r1,1,0.564241,0.332414,[328  65] ; [23  6],[326.87914692  66.12085308] ; [24.12085308  4.87914692],0
s6,1,0.594485,0.283395,[283 102] ; [20  9],[281.77536232 103.22463768] ; [21.22463768  7.77536232],0
a4,1,0.611177,0.258464,[191 202] ; [15 13],[192.29928741 200.70071259] ; [13.70071259 14.29928741],0
v2,1,0.622392,0.24252,[262 119] ; [18 10],[260.83129584 120.16870416] ; [19.16870416  8.83129584],0
a7,1,0.635387,0.224827,[287 106] ; [20  9],[285.9028436 107.0971564] ; [21.0971564  7.9028436],0
u2,1,0.664636,0.187941,[55 40] ; [4 4],[54.41747573 40.58252427] ; [4.58252427 3.41747573],0
u1,1,0.668397,0.183483,[ 81 313] ; [ 5 24],[ 80.10401891 313.89598109] ; [ 5.89598109 23.10401891],0
s3,1,0.747002,0.104067,[220 168] ; [15 13],[219.18269231 168.81730769] ; [15.81730769 12.18269231],0
s7,1,0.770772,0.084894,[205 171] ; [15 14],[204.24691358 171.75308642] ; [15.75308642 13.24691358],0
n1,1,0.779073,0.078695,[30 37] ; [4 4],[30.37333333 36.62666667] ; [3.62666667 4.37333333],0
n2,1,0.788818,0.071741,[53 14] ; [6 2],[52.70666667 14.29333333] ; [6.29333333 1.70666667],0
s8,1,0.816295,0.053969,[207 184] ; [16 13],[207.60238095 183.39761905] ; [15.39761905 13.60238095],0
a2,1,0.816595,0.05379,[101 293] ; [ 8 21],[101.52718676 292.47281324] ; [ 7.47281324 21.52718676],0
d4,1,0.826666,0.047952,[332  60] ; [25  4],[332.40855107  59.59144893] ; [24.59144893  4.40855107],0
u3,1,0.834507,0.04365,[60 35] ; [6 3],[60.28846154 34.71153846] ; [5.71153846 3.28846154],0
a6,1,0.835684,0.043022,[263 129] ; [20  9],[263.50593824 128.49406176] ; [19.49406176  9.50593824],0
r2,1,0.863206,0.029685,[374  16] ; [28  1],[374.17661098  15.82338902] ; [27.82338902  1.17661098],0
