Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.560155,[154  16] ; [86 38],[138.7755102  31.2244898] ; [101.2244898  22.7755102],1
v2,1,6e-06,20.444491,[120  48] ; [54 66],[101.5  66.5] ; [72.5 47.5],1
v3,1,2.3e-05,17.938978,[93 76] ; [37 86],[75.23972603 93.76027397] ; [54.76027397 68.23972603],1
s5,1,4.4e-05,16.696717,[104  64] ; [45 75],[86.91666667 81.08333333] ; [62.08333333 57.91666667],1
s8,1,0.00016,14.249878,[126  46] ; [65 60],[110.61279461  61.38720539] ; [80.38720539 44.61279461],1
a3,1,0.000905,11.012639,[145  27] ; [85 40],[133.1986532  38.8013468] ; [96.8013468 28.1986532],1
p5,1,0.003386,8.586852,[ 35 137] ; [ 10 115],[ 26.06060606 145.93939394] ; [ 18.93939394 106.06060606],0
p9,1,0.003923,8.319186,[161  12] ; [102  22],[153.1952862  19.8047138] ; [109.8047138  14.1952862],0
n4,1,0.004959,7.894388,[148  23] ; [92 33],[138.64864865  32.35135135] ; [101.35135135  23.64864865],0
p4,1,0.008921,6.838483,[135  37] ; [81 44],[125.09090909  46.90909091] ; [90.90909091 34.09090909],0
p3,1,0.009664,6.695783,[115  57] ; [65 60],[104.24242424  67.75757576] ; [75.75757576 49.24242424],0
d1,1,0.020187,5.395674,[117  56] ; [68 57],[107.39932886  65.60067114] ; [77.60067114 47.39932886],0
n6,1,0.024012,5.093736,[156  13] ; [104  20],[149.96587031  19.03412969] ; [110.03412969  13.96587031],0
s7,1,0.025037,5.021351,[131  37] ; [80 41],[122.65743945  45.34256055] ; [88.34256055 32.65743945],0
p6,1,0.027088,4.885181,[104  69] ; [59 66],[94.62751678 78.37248322] ; [68.37248322 56.62751678],0
p10,1,0.035682,4.412216,[158  14] ; [105  20],[152.30976431  19.69023569] ; [110.69023569  14.30976431],0
n1,1,0.044147,4.050926,[15 17] ; [ 5 19],[11.42857143 20.57142857] ; [ 8.57142857 15.42857143],0
r4,1,0.055982,3.6526,[163  10] ; [110  15],[158.48657718  14.51342282] ; [114.51342282  10.48657718],0
a5,1,0.06226,3.476147,[138  35] ; [88 37],[131.20134228  41.79865772] ; [94.79865772 30.20134228],0
d4,1,0.071158,3.2561,[152  19] ; [101  23],[146.65423729  24.34576271] ; [106.34576271  17.65423729],0
r1,1,0.092872,2.823871,[148  23] ; [99 26],[142.69256757  28.30743243] ; [104.30743243  20.69256757],0
a8,1,0.097737,2.742086,[ 36 127] ; [ 17 102],[ 30.63475177 132.36524823] ; [22.36524823 96.63475177],0
b3,1,0.098574,2.728464,[54 67] ; [22 46],[48.65608466 72.34391534] ; [27.34391534 40.65608466],0
b2,1,0.098574,2.728464,[54 67] ; [22 46],[48.65608466 72.34391534] ; [27.34391534 40.65608466],0
a4,1,0.100829,2.692381,[90 83] ; [53 72],[83.01677852 89.98322148] ; [59.98322148 65.01677852],0
d5,1,0.104127,2.641169,[146  25] ; [96 27],[140.75510204  30.24489796] ; [101.24489796  21.75510204],0
p11,1,0.135791,2.225024,[146  27] ; [97 28],[141.0704698  31.9295302] ; [101.9295302  23.0704698],0
a2,1,0.171981,1.86559,[ 54 119] ; [30 95],[ 48.76510067 124.23489933] ; [35.23489933 89.76510067],0
p12,1,0.194349,1.684337,[ 22 151] ; [ 10 115],[ 18.57718121 154.42281879] ; [ 13.42281879 111.57718121],0
b4,1,0.205172,1.605171,[100  73] ; [63 62],[94.62751678 78.37248322] ; [68.37248322 56.62751678],0
u1,1,0.225365,1.46988,[ 42 131] ; [ 23 102],[ 37.73489933 135.26510067] ; [27.26510067 97.73489933],0
