Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.913049,[43 13] ; [ 9 27],[31.65217391 24.34782609] ; [20.34782609 15.65217391],1
d5,1,0.006693,7.353535,[40 15] ; [16 20],[33.84615385 21.15384615] ; [22.15384615 13.84615385],0
d3,1,0.015797,5.825379,[37 18] ; [15 21],[31.42857143 23.57142857] ; [20.57142857 15.42857143],0
r1,1,0.019266,5.477203,[42 13] ; [19 17],[36.86813187 18.13186813] ; [24.13186813 11.86813187],0
n6,1,0.019266,5.477203,[42 13] ; [19 17],[36.86813187 18.13186813] ; [24.13186813 11.86813187],0
b4,1,0.021193,5.310852,[37 19] ; [15 21],[31.65217391 24.34782609] ; [20.34782609 15.65217391],0
u1,1,0.029584,4.73333,[10 46] ; [ 1 35],[ 6.69565217 49.30434783] ; [ 4.30434783 31.69565217],0
a7,1,0.031515,4.624701,[39 17] ; [17 19],[34.08695652 21.91304348] ; [21.91304348 14.08695652],0
a8,1,0.033594,4.515231,[10 42] ; [ 1 31],[ 6.80952381 45.19047619] ; [ 4.19047619 27.80952381],0
d1,1,0.038815,4.268958,[26 30] ; [ 9 27],[21.30434783 34.69565217] ; [13.69565217 22.30434783],0
v3,1,0.044955,4.020327,[18 36] ; [ 5 30],[13.95505618 40.04494382] ; [ 9.04494382 25.95505618],0
s7,1,0.052233,3.768296,[20 34] ; [ 6 28],[15.95454545 38.04545455] ; [10.04545455 23.95454545],0
a2,1,0.05834,3.583963,[11 45] ; [ 2 34],[ 7.91304348 48.08695652] ; [ 5.08695652 30.91304348],0
r4,1,0.065379,3.395381,[49  7] ; [26 10],[45.65217391 10.34782609] ; [29.34782609  6.65217391],0
v4,1,0.066919,3.357012,[53  3] ; [29  6],[50.46153846  5.53846154] ; [31.53846154  3.46153846],0
p2,1,0.08943,2.884601,[46 10] ; [24 12],[42.60869565 13.39130435] ; [27.39130435  8.60869565],0
s8,1,0.105472,2.620795,[16 39] ; [ 5 30],[12.83333333 42.16666667] ; [ 8.16666667 26.83333333],0
a4,1,0.123725,2.369519,[21 35] ; [ 8 28],[17.65217391 38.34782609] ; [11.34782609 24.65217391],0
a5,1,0.12626,2.337899,[34 22] ; [16 20],[30.43478261 25.56521739] ; [19.56521739 16.43478261],0
s4,1,0.153472,2.037397,[ 5 50] ; [ 7 29],[ 7.25274725 47.74725275] ; [ 4.74725275 31.25274725],0
s6,1,0.178389,1.810995,[30 25] ; [14 21],[26.88888889 28.11111111] ; [17.11111111 17.88888889],0
p11,1,0.203838,1.61466,[34 22] ; [17 19],[31.04347826 24.95652174] ; [19.95652174 16.04347826],0
p9,1,0.221091,1.497277,[23 30] ; [11 25],[20.24719101 32.75280899] ; [13.75280899 22.24719101],0
v2,1,0.223965,1.478784,[26 29] ; [12 23],[23.22222222 31.77777778] ; [14.77777778 20.22222222],0
s1,1,0.336315,0.924429,[ 2 53] ; [ 3 33],[ 3.02197802 51.97802198] ; [ 1.97802198 34.02197802],0
b5,1,0.342764,0.900067,[41 15] ; [23 13],[38.95652174 17.04347826] ; [25.04347826 10.95652174],0
p4,1,0.345991,0.888108,[30 25] ; [16 20],[27.8021978 27.1978022] ; [18.1978022 17.8021978],0
n1,1,0.355109,0.855117,[ 8 10] ; [3 8],[ 6.82758621 11.17241379] ; [4.17241379 6.82758621],0
p1,1,0.357511,0.846619,[ 4 51] ; [ 1 35],[ 3.02197802 51.97802198] ; [ 1.97802198 34.02197802],0
r2,1,0.408033,0.684524,[50  6] ; [30  6],[48.69565217  7.30434783] ; [31.30434783  4.69565217],0
s5,1,0.415938,0.661765,[14 42] ; [ 6 28],[12.44444444 43.55555556] ; [ 7.55555556 26.44444444],0
a6,1,0.443049,0.588373,[32 23] ; [18 18],[30.21978022 24.78021978] ; [19.78021978 16.21978022],0
v1,1,0.448165,0.575287,[22 34] ; [11 24],[20.30769231 35.69230769] ; [12.69230769 22.30769231],0
d2,1,0.536004,0.382997,[25 30] ; [14 22],[23.57142857 31.42857143] ; [15.42857143 20.57142857],0
