Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,48.038201,[109  24] ; [10 31],[90.95977011 42.04022989] ; [28.04022989 12.95977011],1
r2,1,0.000504,12.101933,[125   3] ; [34  7],[120.4260355   7.5739645] ; [38.5739645  2.4260355],1
a5,1,0.000746,11.370583,[112  22] ; [24 17],[104.13714286  29.86285714] ; [31.86285714  9.13714286],1
s8,1,0.001052,10.733879,[40 94] ; [ 2 39],[ 32.16 101.84] ; [ 9.84 31.16],0
n6,1,0.001642,9.912289,[114  19] ; [26 15],[107.01149425  25.98850575] ; [32.98850575  8.01149425],0
p7,1,0.002197,9.377006,[83 50] ; [14 26],[74.57225434 58.42774566] ; [22.42774566 17.57225434],0
p11,1,0.005909,7.577731,[107  27] ; [24 17],[100.30857143  33.69142857] ; [30.69142857 10.30857143],0
v3,1,0.00922,6.779724,[57 71] ; [ 8 30],[50.12048193 77.87951807] ; [14.87951807 23.12048193],0
a4,1,0.010391,6.566541,[79 54] ; [15 26],[71.85057471 61.14942529] ; [22.14942529 18.85057471],0
d2,1,0.01126,6.423846,[101  31] ; [23 18],[94.61271676 37.38728324] ; [29.38728324 11.61271676],0
p3,1,0.012325,6.263445,[60 72] ; [ 9 30],[53.26315789 78.73684211] ; [15.73684211 23.26315789],0
p10,1,0.013958,6.043488,[102  30] ; [23 17],[95.93023256 36.06976744] ; [29.06976744 10.93023256],0
p4,1,0.015075,5.907683,[68 63] ; [12 28],[61.28654971 69.71345029] ; [18.71345029 21.28654971],0
n3,1,0.028818,4.778439,[25 11] ; [5 9],[21.6 14.4] ; [8.4 5.6],0
p9,1,0.031167,4.643755,[103  28] ; [24 15],[97.86470588 33.13529412] ; [29.13529412  9.86470588],0
p6,1,0.037784,4.31474,[39 91] ; [ 5 33],[34.04761905 95.95238095] ; [ 9.95238095 28.04761905],0
n2,1,0.071537,3.247397,[23 13] ; [5 9],[20.16 15.84] ; [7.84 6.16],0
a2,1,0.07495,3.171136,[42 92] ; [ 7 34],[37.52 96.48] ; [11.48 29.52],0
s7,1,0.109768,2.557559,[34 93] ; [ 5 31],[30.38650307 96.61349693] ; [ 8.61349693 27.38650307],0
n1,1,0.116808,2.459608,[12 22] ; [ 2 13],[ 9.71428571 24.28571429] ; [ 4.28571429 10.71428571],0
v1,1,0.122503,2.385021,[65 68] ; [14 26],[60.73410405 72.26589595] ; [18.26589595 21.73410405],0
p2,1,0.146617,2.107101,[101  31] ; [26 14],[97.46511628 34.53488372] ; [29.53488372 10.46511628],0
p1,1,0.200815,1.636436,[ 11 123] ; [ 1 40],[  9.18857143 124.81142857] ; [ 2.81142857 38.18857143],0
b5,1,0.21811,1.516764,[67 67] ; [25 16],[70.44571429 63.55428571] ; [21.55428571 19.44571429],0
v2,1,0.227157,1.458573,[79 51] ; [20 20],[75.70588235 54.29411765] ; [23.29411765 16.70588235],0
p8,1,0.278842,1.172727,[69 63] ; [17 23],[66. 66.] ; [20. 20.],0
s3,1,0.307451,1.041593,[36 95] ; [ 8 33],[33.51162791 97.48837209] ; [10.48837209 30.51162791],0
d3,1,0.343536,0.897191,[113  21] ; [37  4],[114.85714286  19.14285714] ; [35.14285714  5.85714286],0
p12,1,0.363663,0.825203,[  3 130] ; [ 2 38],[  3.84393064 129.15606936] ; [ 1.15606936 38.84393064],0
d5,1,0.374738,0.787892,[131   3] ; [39  2],[130.17142857   3.82857143] ; [39.82857143  1.17142857],0
a7,1,0.377236,0.77969,[98 35] ; [33  8],[100.13218391  32.86781609] ; [30.86781609 10.13218391],0
r4,1,0.421898,0.645022,[109  25] ; [31 10],[107.2  26.8] ; [32.8  8.2],0
a6,1,0.424678,0.637334,[103  31] ; [29 12],[101.07428571  32.92571429] ; [30.92571429 10.07428571],0
u3,1,0.437857,0.601892,[15 15] ; [7 4],[16.09756098 13.90243902] ; [5.90243902 5.09756098],0
s5,1,0.45838,0.549847,[ 22 107] ; [ 5 36],[ 20.48823529 108.51176471] ; [ 6.51176471 34.48823529],0
s2,1,0.503659,0.447219,[ 26 106] ; [ 6 34],[ 24.55813953 107.44186047] ; [ 7.44186047 32.55813953],0
a3,1,0.503791,0.446941,[104  29] ; [30 11],[102.42528736  30.57471264] ; [31.57471264  9.42528736],0
s1,1,0.696959,0.151655,[  2 129] ; [ 1 40],[  2.28488372 128.71511628] ; [ 0.71511628 40.28488372],0
b2,1,0.702728,0.14565,[38 47] ; [ 8 12],[37.23809524 47.76190476] ; [ 8.76190476 11.23809524],0
b3,1,0.702728,0.14565,[38 47] ; [ 8 12],[37.23809524 47.76190476] ; [ 8.76190476 11.23809524],0
b1,1,0.777496,0.079854,[49 85] ; [14 27],[48.24 85.76] ; [14.76 26.24],0
p5,1,0.872879,0.025601,[  9 124] ; [ 3 37],[  9.22543353 123.77456647] ; [ 2.77456647 37.22543353],0
u2,1,0.873237,0.025455,[15 14] ; [6 5],[15.225 13.775] ; [5.775 5.225],0
u1,1,0.902205,0.015099,[ 24 110] ; [ 7 34],[ 23.73714286 110.26285714] ; [ 7.26285714 33.73714286],0
s4,1,0.93009,0.007697,[  7 127] ; [ 2 39],[  6.89142857 127.10857143] ; [ 2.10857143 38.89142857],0
