Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.1e-05,17.338696,[37 34] ; [ 35 112],[23.44954128 47.55045872] ; [48.55045872 98.44954128],1
p3,1,0.000881,11.061728,[34 38] ; [ 38 114],[23.14285714 48.85714286] ; [ 48.85714286 103.14285714],1
p2,1,0.002105,9.455508,[60 13] ; [94 58],[49.96444444 23.03555556] ; [104.03555556  47.96444444],0
a3,1,0.005319,7.767579,[54 19] ; [83 69],[44.44888889 28.55111111] ; [92.55111111 59.44888889],0
s5,1,0.006168,7.500413,[13 60] ; [  9 139],[ 7.26696833 65.73303167] ; [ 14.73303167 133.26696833],0
n5,1,0.006228,7.483012,[54 19] ; [83 68],[44.64732143 28.35267857] ; [92.35267857 58.64732143],0
p4,1,0.010023,6.630829,[36 37] ; [ 48 104],[27.25333333 45.74666667] ; [56.74666667 95.25333333],0
p10,1,0.011305,6.41681,[53 20] ; [83 68],[44.32142857 28.67857143] ; [91.67857143 59.32142857],0
p9,1,0.011524,6.382659,[55 17] ; [88 61],[46.58823529 25.41176471] ; [96.41176471 52.58823529],0
r1,1,0.013193,6.143083,[52 20] ; [84 69],[43.52 28.48] ; [92.48 60.52],0
u3,1,0.014812,5.938687,[13  6] ; [26 44],[ 8.3258427 10.6741573] ; [30.6741573 39.3258427],0
r3,1,0.018172,5.579496,[65  7] ; [118  35],[58.56 13.44] ; [124.44  28.56],0
a5,1,0.020126,5.400941,[51 22] ; [82 71],[42.96017699 30.03982301] ; [90.03982301 62.96017699],0
r4,1,0.041982,4.135925,[57 16] ; [99 54],[50.38938053 22.61061947] ; [105.61061947  47.38938053],0
b3,1,0.046896,3.949103,[20 21] ; [26 59],[14.96825397 26.03174603] ; [31.03174603 53.96825397],0
b2,1,0.046896,3.949103,[20 21] ; [26 59],[14.96825397 26.03174603] ; [31.03174603 53.96825397],0
p11,1,0.060011,3.537074,[55 18] ; [96 57],[48.77433628 24.22566372] ; [102.22566372  50.77433628],0
v4,1,0.069621,3.29194,[64  8] ; [120  32],[59.14285714 12.85714286] ; [124.85714286  27.14285714],0
p8,1,0.078981,3.08575,[32 39] ; [ 50 102],[26.10762332 44.89237668] ; [55.89237668 96.10762332],0
p1,1,0.133966,2.245937,[ 2 71] ; [ 12 140],[ 4.54222222 68.45777778] ; [  9.45777778 142.54222222],0
r2,1,0.157043,2.002474,[64  9] ; [120  30],[60.23318386 12.76681614] ; [123.76681614  26.23318386],0
n2,1,0.176472,1.827086,[12  4] ; [35 27],[9.64102564 6.35897436] ; [37.35897436 24.64102564],0
u1,1,0.203349,1.618157,[ 9 64] ; [ 11 142],[ 6.46017699 66.53982301] ; [ 13.53982301 139.46017699],0
p7,1,0.204313,1.611272,[38 34] ; [66 85],[33.57847534 38.42152466] ; [70.42152466 80.57847534],0
s1,1,0.225103,1.471539,[ 5 68] ; [  5 147],[ 3.24444444 69.75555556] ; [  6.75555556 145.24444444],0
s4,1,0.226465,1.462927,[10 63] ; [ 13 140],[ 7.42920354 65.57079646] ; [ 15.57079646 137.42920354],0
n4,1,0.230484,1.43787,[49 24] ; [90 63],[44.89823009 28.10176991] ; [94.10176991 58.89823009],0
n3,1,0.288406,1.127049,[12  4] ; [37 24],[10.18181818  5.81818182] ; [38.81818182 22.18181818],0
s2,1,0.298806,1.079514,[14 59] ; [ 21 131],[11.35555556 61.64444444] ; [ 23.64444444 128.35555556],0
p6,1,0.326777,0.961628,[18 52] ; [ 30 121],[15.20361991 54.79638009] ; [ 32.79638009 118.20361991],0
p5,1,0.342424,0.901336,[ 3 69] ; [  3 149],[ 1.92857143 70.07142857] ; [  4.07142857 147.92857143],0
a4,1,0.363991,0.824078,[31 42] ; [55 97],[27.90222222 45.09777778] ; [58.09777778 93.90222222],0
s8,1,0.382713,0.761968,[10 63] ; [ 15 138],[ 8.07522124 64.92477876] ; [ 16.92477876 136.07522124],0
