Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.589154,0.291667,[23 13] ; [19  8],[24. 12.] ; [18.  9.],0
b1,1,0.818966,0.052384,[23 13] ; [18  9],[23.42857143 12.57142857] ; [17.57142857  9.42857143],0
p6,1,0.869831,0.026854,[10 26] ; [ 7 20],[ 9.71428571 26.28571429] ; [ 7.28571429 19.71428571],0
p4,1,0.884319,0.021169,[18 18] ; [14 13],[18.28571429 17.71428571] ; [13.71428571 13.28571429],0
