Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.453366,[ 8 21] ; [80 21],[19.63076923  9.36923077] ; [68.36923077 32.63076923],1
d1,1,2e-06,22.306256,[ 2 28] ; [56 45],[13.28244275 16.71755725] ; [44.71755725 56.28244275],1
v2,1,0.001915,9.629582,[ 5 25] ; [48 51],[12.3255814 17.6744186] ; [40.6744186 58.3255814],0
s6,1,0.002403,9.213044,[ 8 21] ; [59 40],[15.1796875 13.8203125] ; [51.8203125 47.1796875],0
b4,1,0.017534,5.642122,[13 17] ; [68 33],[18.54961832 11.45038168] ; [62.45038168 38.54961832],0
p11,1,0.03655,4.371278,[17 13] ; [77 24],[21.52671756  8.47328244] ; [72.47328244 28.52671756],0
v4,1,0.038816,4.26891,[21  8] ; [89 12],[24.53846154  4.46153846] ; [85.46153846 15.53846154],0
d5,1,0.040996,4.176193,[19 11] ; [82 19],[23.12977099  6.87022901] ; [77.87022901 23.12977099],0
s2,1,0.079639,3.072252,[ 8 22] ; [45 56],[12.13740458 17.86259542] ; [40.86259542 60.13740458],0
u2,1,0.083705,2.991453,[ 5 10] ; [21 14],[7.8 7.2] ; [18.2 16.8],0
a5,1,0.097883,2.739701,[13 17] ; [61 40],[16.94656489 13.05343511] ; [57.05343511 43.94656489],0
s5,1,0.105477,2.620708,[ 4 25] ; [27 67],[ 7.30894309 21.69105691] ; [23.69105691 70.30894309],0
n2,1,0.1113,2.535664,[2 3] ; [24  8],[3.51351351 1.48648649] ; [22.48648649  9.51351351],0
a6,1,0.131913,2.269848,[17 13] ; [72 29],[20.38167939  9.61832061] ; [68.61832061 32.38167939],0
a3,1,0.156766,2.005151,[15 15] ; [65 36],[18.32061069 11.67938931] ; [61.67938931 39.32061069],0
p1,1,0.161879,1.956584,[ 4 25] ; [ 6 95],[ 2.23076923 26.76923077] ; [ 7.76923077 93.23076923],0
v3,1,0.193268,1.692526,[ 6 23] ; [33 66],[ 8.8359375 20.1640625] ; [30.1640625 68.8359375],0
n4,1,0.194312,1.684619,[16 14] ; [67 34],[19.00763359 10.99236641] ; [63.99236641 37.00763359],0
