Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.645833,[47 28] ; [93  7],[60. 15.] ; [80. 20.],1
v4,1,2e-06,22.253117,[47 28] ; [91  8],[59.48275862 15.51724138] ; [78.51724138 20.48275862],1
p7,1,1.7e-05,18.542137,[16 58] ; [54 46],[29.77011494 44.22988506] ; [40.22988506 59.77011494],1
r4,1,5.8e-05,16.175158,[40 36] ; [81 19],[52.25 23.75] ; [68.75 31.25],1
p4,1,6.4e-05,15.982875,[14 62] ; [47 52],[26.49142857 49.50857143] ; [34.50857143 64.49142857],1
p8,1,0.000497,12.12847,[12 63] ; [40 59],[22.4137931 52.5862069] ; [29.5862069 69.4137931],1
p11,1,0.001972,9.575032,[24 52] ; [55 45],[34.11363636 41.88636364] ; [44.88636364 55.11363636],0
p9,1,0.003274,8.64785,[15 59] ; [41 58],[23.95375723 50.04624277] ; [32.04624277 66.95375723],0
p3,1,0.004372,8.122333,[13 62] ; [37 63],[21.42857143 53.57142857] ; [28.57142857 71.42857143],0
p6,1,0.005713,7.638608,[ 9 65] ; [29 68],[16.44444444 57.55555556] ; [21.55555556 75.44444444],0
s3,1,0.019178,5.485233,[21 53] ; [45 53],[28.39534884 45.60465116] ; [37.60465116 60.39534884],0
s1,1,0.020759,5.346936,[ 9 66] ; [ 3 96],[ 5.17241379 69.82758621] ; [ 6.82758621 92.17241379],0
d3,1,0.026606,4.916172,[37 38] ; [66 34],[44.14285714 30.85714286] ; [58.85714286 41.14285714],0
r1,1,0.031417,4.630056,[42 33] ; [71 28],[48.70689655 26.29310345] ; [64.29310345 34.70689655],0
b5,1,0.038072,4.301819,[40 36] ; [68 32],[46.63636364 29.36363636] ; [61.36363636 38.63636364],0
s8,1,0.040668,4.189798,[ 9 67] ; [24 76],[14.25 61.75] ; [18.75 81.25],0
a7,1,0.048235,3.901787,[40 35] ; [68 32],[46.28571429 28.71428571] ; [61.71428571 38.28571429],0
a6,1,0.056543,3.636001,[38 37] ; [65 35],[44.14285714 30.85714286] ; [58.85714286 41.14285714],0
v2,1,0.089106,2.890455,[22 51] ; [42 56],[27.32163743 45.67836257] ; [36.67836257 61.32163743],0
n3,1,0.111603,2.531381,[17 17] ; [26 12],[20.30555556 13.69444444] ; [22.69444444 15.30555556],0
v1,1,0.117368,2.452096,[21 54] ; [39 60],[25.86206897 49.13793103] ; [34.13793103 64.86206897],0
n1,1,0.150387,2.068323,[17 20] ; [11 26],[14. 23.] ; [14. 23.],0
n6,1,0.155648,2.016003,[41 33] ; [66 34],[45.50574713 28.49425287] ; [61.49425287 38.50574713],0
n2,1,0.159165,1.982143,[18 19] ; [24 13],[21. 16.] ; [21. 16.],0
a1,1,0.164997,1.927821,[ 8 68] ; [ 5 95],[ 5.61363636 70.38636364] ; [ 7.38636364 92.61363636],0
r2,1,0.174304,1.845532,[57 16] ; [86 14],[60.34104046 12.65895954] ; [82.65895954 17.34104046],0
s7,1,0.185065,1.756472,[14 57] ; [27 67],[17.64242424 53.35757576] ; [23.35757576 70.64242424],0
d5,1,0.190249,1.715686,[47 28] ; [72 28],[51. 24.] ; [68. 32.],0
b2,1,0.219014,1.510822,[19 30] ; [16 42],[16.02803738 32.97196262] ; [18.97196262 39.02803738],0
b3,1,0.219014,1.510822,[19 30] ; [16 42],[16.02803738 32.97196262] ; [18.97196262 39.02803738],0
u4,1,0.237331,1.396376,[ 4 72] ; [ 2 98],[ 2.59090909 73.40909091] ; [ 3.40909091 96.59090909],0
v3,1,0.297601,1.084914,[21 51] ; [21 74],[18.10778443 53.89221557] ; [23.89221557 71.10778443],0
n5,1,0.31369,1.015077,[44 31] ; [51 49],[40.71428571 34.28571429] ; [54.28571429 45.71428571],0
s2,1,0.35402,0.858996,[17 59] ; [28 70],[19.65517241 56.34482759] ; [25.34482759 72.65517241],0
d2,1,0.359684,0.838995,[37 37] ; [43 57],[34.02298851 39.97701149] ; [45.97701149 54.02298851],0
u2,1,0.377106,0.780114,[16 15] ; [16 23],[14.17142857 16.82857143] ; [17.82857143 21.17142857],0
b1,1,0.383325,0.76001,[40 36] ; [46 54],[37.13636364 38.86363636] ; [48.86363636 51.13636364],0
s6,1,0.383557,0.75927,[27 49] ; [42 58],[29.79545455 46.20454545] ; [39.20454545 60.79545455],0
p1,1,0.46475,0.534432,[ 4 72] ; [ 8 91],[ 5.21142857 70.78857143] ; [ 6.78857143 92.21142857],0
u3,1,0.47521,0.509835,[17 14] ; [19 22],[15.5 15.5] ; [20.5 20.5],0
a4,1,0.635148,0.225145,[30 44] ; [37 63],[28.49425287 45.50574713] ; [38.50574713 61.49425287],0
a5,1,0.716543,0.131829,[42 34] ; [58 42],[43.18181818 32.81818182] ; [56.81818182 43.18181818],0
b4,1,0.716543,0.131829,[42 34] ; [58 42],[43.18181818 32.81818182] ; [56.81818182 43.18181818],0
p12,1,0.721966,0.126617,[ 1 75] ; [ 2 97],[ 1.30285714 74.69714286] ; [ 1.69714286 97.30285714],0
a3,1,0.809692,0.057996,[45 29] ; [59 41],[44.22988506 29.77011494] ; [59.77011494 40.22988506],0
d4,1,0.810631,0.057414,[51 24] ; [69 30],[51.72413793 23.27586207] ; [68.27586207 30.72413793],0
a8,1,0.866021,0.028465,[ 6 66] ; [ 8 80],[ 6.3 65.7] ; [ 7.7 80.3],0
d1,1,0.867605,0.027789,[34 42] ; [46 54],[34.54545455 41.45454545] ; [45.45454545 54.54545455],0
u1,1,0.871896,0.026002,[10 66] ; [14 86],[10.36363636 65.63636364] ; [13.63636364 86.36363636],0
p5,1,0.895788,0.017157,[ 2 73] ; [ 3 97],[ 2.14285714 72.85714286] ; [ 2.85714286 97.14285714],0
s4,1,0.925833,0.008666,[ 8 67] ; [11 88],[ 8.18965517 66.81034483] ; [10.81034483 88.18965517],0
n4,1,0.928249,0.008109,[47 28] ; [62 38],[46.71428571 28.28571429] ; [62.28571429 37.71428571],0
a2,1,0.942811,0.005146,[14 62] ; [18 82],[13.81818182 62.18181818] ; [18.18181818 81.81818182],0
