Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,52.739292,[ 37 117] ; [148  93],[72.12658228 81.87341772] ; [112.87341772 128.12658228],1
v1,1,0.0,32.809683,[62 91] ; [168  73],[89.31472081 63.68527919] ; [140.68527919 100.31472081],1
a5,1,0.001318,10.316652,[112  46] ; [208  39],[124.83950617  33.16049383] ; [195.16049383  51.83950617],0
a6,1,0.002838,8.909059,[88 69] ; [173  72],[101.93283582  55.06716418] ; [159.06716418  85.93283582],0
d2,1,0.00336,8.601097,[73 84] ; [151  95],[87.26550868 69.73449132] ; [136.73449132 109.26550868],0
s4,1,0.006416,7.429499,[ 44 113] ; [ 41 205],[ 33.11414392 123.88585608] ; [ 51.88585608 194.11414392],0
n1,1,0.009549,6.717204,[24 14] ; [16 30],[18.0952381 19.9047619] ; [21.9047619 24.0952381],0
a7,1,0.010189,6.60155,[98 60] ; [183  64],[109.62469136  48.37530864] ; [171.37530864  75.62469136],0
r2,1,0.025791,4.969952,[149   9] ; [238   4],[152.865   5.135] ; [234.135   7.865],0
a3,1,0.031098,4.647572,[120  37] ; [209  37],[128.17121588  28.82878412] ; [200.82878412  45.17121588],0
d4,1,0.039899,4.222179,[126  30] ; [217  29],[133.10447761  22.89552239] ; [209.89552239  36.10447761],0
d1,1,0.045048,4.016857,[92 66] ; [168  79],[101.43209877  56.56790123] ; [158.56790123  88.43209877],0
d5,1,0.045055,4.016564,[124  32] ; [214  32],[131.1641791  24.8358209] ; [206.8358209  39.1641791],0
u1,1,0.047883,3.914082,[ 31 127] ; [ 70 177],[ 39.40246914 118.59753086] ; [ 61.59753086 185.40246914],0
s8,1,0.050355,3.829588,[100  58] ; [177  67],[108.87064677  49.12935323] ; [168.12935323  75.87064677],0
p7,1,0.066094,3.377461,[103  53] ; [179  61],[111.09090909  44.90909091] ; [170.90909091  69.09090909],0
p9,1,0.11818,2.441282,[135  22] ; [222  22],[139.77306733  17.22693267] ; [217.22693267  26.77306733],0
n3,1,0.12724,2.325858,[24 14] ; [36 10],[27.14285714 10.85714286] ; [32.85714286 13.14285714],0
s1,1,0.138116,2.198828,[ 10 146] ; [  8 237],[  7.00249377 148.99750623] ; [ 10.99750623 234.00249377],0
