Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.057395,[403 101] ; [72 97],[355.72065379 148.27934621] ; [119.27934621  49.72065379],1
d3,1,0.0,62.744643,[400 105] ; [80 89],[359.64391691 145.35608309] ; [120.35608309  48.64391691],1
a2,1,0.0,30.475268,[152 354] ; [ 15 154],[125.18814815 380.81185185] ; [ 41.81185185 127.18814815],1
b5,1,4e-06,21.218894,[329 177] ; [76 93],[303.6 202.4] ; [101.4  67.6],1
u1,1,2.3e-05,17.883929,[113 393] ; [ 13 156],[ 94.45333333 411.54666667] ; [ 31.54666667 137.45333333],1
d1,1,0.003587,8.481986,[330 176] ; [89 80],[314.09481481 191.90518519] ; [104.90518519  64.09481481],0
u3,1,0.017098,5.686242,[90 49] ; [17 22],[83.55617978 55.44382022] ; [23.44382022 15.55617978],0
s5,1,0.032222,4.586627,[175 314] ; [72 87],[186.39351852 302.60648148] ; [60.60648148 98.39351852],0
p4,1,0.045842,3.987407,[334 170] ; [97 71],[323.25 180.75] ; [107.75  60.25],0
b2,1,0.048816,3.881681,[107 187] ; [51 57],[115.55223881 178.44776119] ; [42.44776119 65.55223881],0
b3,1,0.048816,3.881681,[107 187] ; [51 57],[115.55223881 178.44776119] ; [42.44776119 65.55223881],0
v2,1,0.061247,3.503304,[299 183] ; [87 75],[288.90062112 193.09937888] ; [97.09937888 64.90062112],0
s8,1,0.061514,3.496099,[235 268] ; [93 76],[245.51190476 257.48809524] ; [82.48809524 86.51190476],0
s4,1,0.065416,3.394464,[ 79 421] ; [ 37 131],[ 86.82634731 413.17365269] ; [ 29.17365269 138.82634731],0
b1,1,0.088755,2.896817,[170 336] ; [ 69 100],[179.16148148 326.83851852] ; [ 59.83851852 109.16148148],0
s7,1,0.100966,2.690218,[243 238] ; [95 69],[252.05891473 228.94108527] ; [85.94108527 78.05891473],0
b4,1,0.119955,2.417903,[301 205] ; [89 80],[292.35555556 213.64444444] ; [97.64444444 71.35555556],0
r1,1,0.123375,2.373949,[436  68] ; [138  31],[429.86032689  74.13967311] ; [144.13967311  24.86032689],0
n5,1,0.12465,2.357895,[392 112] ; [140  28],[399. 105.] ; [133.  35.],0
a5,1,0.190838,1.711134,[396 110] ; [124  45],[389.80740741 116.19259259] ; [130.19259259  38.80740741],0
u2,1,0.191284,1.707703,[88 52] ; [20 19],[84.46927374 55.53072626] ; [23.53072626 15.46927374],0
d4,1,0.1976,1.660023,[430  75] ; [136  32],[424.7102526  80.2897474] ; [141.2897474  26.7102526],0
p2,1,0.235505,1.407303,[442  63] ; [141  27],[437.46656761  67.53343239] ; [145.53343239  22.46656761],0
a3,1,0.250794,1.318874,[365 139] ; [130  39],[370.69836553 133.30163447] ; [124.30163447  44.69836553],0
n1,1,0.278656,1.173632,[30 58] ; [16 20],[32.64516129 55.35483871] ; [13.35483871 22.64516129],0
p12,1,0.31084,1.027104,[ 53 453] ; [ 13 154],[ 49.62258544 456.37741456] ; [ 16.37741456 150.62258544],0
r2,1,0.314831,1.0103,[493  11] ; [161   6],[491.23099851  12.76900149] ; [162.76900149   4.23099851],0
a8,1,0.320339,0.987563,[ 68 386] ; [ 19 142],[ 64.22439024 389.77560976] ; [ 22.77560976 138.22439024],0
d5,1,0.333812,0.934053,[425  80] ; [136  32],[420.95839525  84.04160475] ; [140.04160475  27.95839525],0
n4,1,0.336906,0.922169,[402 104] ; [140  29],[406.29925926  99.70074074] ; [135.70074074  33.29925926],0
a1,1,0.342056,0.902709,[ 21 485] ; [ 10 159],[ 23.23851852 482.76148148] ; [  7.76148148 161.23851852],0
r3,1,0.38376,0.758624,[498   7] ; [165   4],[496.75816024   8.24183976] ; [166.24183976   2.75816024],0
s3,1,0.42415,0.638788,[289 211] ; [103  65],[293.41317365 206.58682635] ; [98.58682635 69.41317365],0
