Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,47.887535,[ 16 103] ; [87 75],[43.61921708 75.38078292] ; [ 59.38078292 102.61921708],1
a3,1,0.0,47.694788,[40 77] ; [123  40],[68.11071429 48.88928571] ; [94.88928571 68.11071429],1
d1,1,0.0,31.789612,[24 96] ; [87 77],[46.90140845 73.09859155] ; [64.09859155 99.90140845],1
d2,1,0.0,28.001188,[24 96] ; [82 79],[45.26690391 74.73309609] ; [ 60.73309609 100.26690391],1
d5,1,1e-06,24.324643,[61 58] ; [129  34],[80.17730496 38.82269504] ; [109.82269504  53.17730496],1
a6,1,4e-06,21.353641,[56 64] ; [120  43],[74.62897527 45.37102473] ; [101.37102473  61.62897527],1
n4,1,3.2e-05,17.276169,[64 56] ; [126  38],[80.28169014 39.71830986] ; [109.71830986  54.28169014],1
d3,1,0.000209,13.746121,[52 66] ; [108  55],[67.1886121 50.8113879] ; [92.8113879 70.1886121],1
d4,1,0.000452,12.304936,[72 48] ; [129  34],[85.22968198 34.77031802] ; [115.77031802  47.22968198],1
u1,1,0.000574,11.859462,[  3 117] ; [ 24 140],[ 11.4084507 108.5915493] ; [ 15.5915493 148.4084507],1
r1,1,0.001077,10.690597,[61 59] ; [114  49],[74.204947 45.795053] ; [100.795053  62.204947],0
p4,1,0.014253,6.006507,[41 78] ; [80 83],[51.06028369 67.93971631] ; [69.93971631 93.06028369],0
n5,1,0.030759,4.666364,[70 49] ; [116  47],[78.4893617 40.5106383] ; [107.5106383  55.4893617],0
r4,1,0.034329,4.478235,[81 39] ; [129  35],[88.73239437 31.26760563] ; [121.26760563  42.73239437],0
r2,1,0.042332,4.121871,[99 21] ; [146  15],[104.62633452  15.37366548] ; [140.37366548  20.62633452],0
v1,1,0.073927,3.19361,[30 89] ; [ 57 105],[36.84341637 82.15658363] ; [ 50.15658363 111.84341637],0
p11,1,0.083972,2.986303,[70 50] ; [112  52],[76.90140845 43.09859155] ; [105.09859155  58.90140845],0
p10,1,0.123532,2.371953,[67 51] ; [106  55],[73.16845878 44.83154122] ; [99.83154122 61.16845878],0
n6,1,0.165702,1.921408,[83 37] ; [124  38],[88.08510638 31.91489362] ; [118.91489362  43.08510638],0
a7,1,0.175044,1.839203,[72 47] ; [112  52],[77.37102473 41.62897527] ; [106.62897527  57.37102473],0
p2,1,0.180439,1.794009,[81 38] ; [122  40],[85.96797153 33.03202847] ; [117.03202847  44.96797153],0
p5,1,0.184059,1.764545,[  6 113] ; [ 15 147],[  8.89323843 110.10676157] ; [ 12.10676157 149.89323843],0
s3,1,0.18584,1.750296,[53 64] ; [ 61 102],[47.63571429 69.36428571] ; [66.36428571 96.63571429],0
s6,1,0.219111,1.510186,[47 72] ; [75 85],[52.03584229 66.96415771] ; [69.96415771 90.03584229],0
v3,1,0.230101,1.44024,[ 15 103] ; [ 29 132],[18.609319 99.390681] ; [ 25.390681 135.609319],0
b3,1,0.250705,1.319373,[17 51] ; [32 64],[20.31707317 47.68292683] ; [28.68292683 67.31707317],0
b2,1,0.250705,1.319373,[17 51] ; [32 64],[20.31707317 47.68292683] ; [28.68292683 67.31707317],0
p9,1,0.269104,1.221311,[74 43] ; [112  49],[78.28057554 38.71942446] ; [107.71942446  53.28057554],0
b5,1,0.26938,1.219904,[78 42] ; [96 68],[73.52112676 46.47887324] ; [100.47887324  63.52112676],0
b1,1,0.26959,1.218831,[47 73] ; [75 89],[51.54929577 68.45070423] ; [70.45070423 93.54929577],0
u3,1,0.332563,0.938891,[38 41] ; [23 17],[40.49579832 38.50420168] ; [20.50420168 19.49579832],0
v4,1,0.355963,0.852085,[99 20] ; [142  21],[101.69858156  17.30141844] ; [139.30141844  23.69858156],0
a1,1,0.35901,0.841353,[  5 115] ; [ 11 153],[  6.76056338 113.23943662] ; [  9.23943662 154.76056338],0
p8,1,0.37529,0.786072,[42 77] ; [66 97],[45.57446809 73.42553191] ; [ 62.42553191 100.57446809],0
n1,1,0.442628,0.589461,[12 26] ; [19 29],[13.69767442 24.30232558] ; [17.30232558 30.69767442],0
s7,1,0.452474,0.564447,[25 91] ; [ 39 114],[27.59851301 88.40148699] ; [ 36.40148699 116.59851301],0
a8,1,0.515613,0.422659,[14 99] ; [ 15 137],[ 12.36603774 100.63396226] ; [ 16.63396226 135.36603774],0
n2,1,0.53223,0.390133,[26 12] ; [31 19],[24.61363636 13.38636364] ; [32.38636364 17.61363636],0
p3,1,0.591344,0.28825,[40 80] ; [ 59 103],[42.12765957 77.87234043] ; [ 56.87234043 105.12765957],0
u2,1,0.648542,0.207743,[37 42] ; [21 20],[38.18333333 40.81666667] ; [19.81666667 21.18333333],0
r3,1,0.67382,0.177166,[97 22] ; [136  27],[98.32269504 20.67730496] ; [134.67730496  28.32269504],0
p7,1,0.698842,0.149679,[57 58] ; [76 85],[55.41666667 59.58333333] ; [77.58333333 83.41666667],0
p12,1,0.709207,0.13907,[  3 117] ; [  3 159],[  2.55319149 117.44680851] ; [  3.44680851 158.55319149],0
n3,1,0.736082,0.1136,[24 14] ; [28 19],[23.24705882 14.75294118] ; [28.75294118 18.24705882],0
s2,1,0.770108,0.0854,[39 81] ; [ 50 112],[37.87234043 82.12765957] ; [ 51.12765957 110.87234043],0
p6,1,0.777185,0.080083,[27 90] ; [ 40 123],[27.99642857 89.00357143] ; [ 39.00357143 123.99642857],0
s4,1,0.817635,0.053171,[20 98] ; [ 29 132],[20.72401434 97.27598566] ; [ 28.27598566 132.72401434],0
s5,1,0.940159,0.005635,[27 91] ; [ 36 124],[26.74100719 91.25899281] ; [ 36.25899281 123.74100719],0
