Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.231728,[268   8] ; [9 4],[264.53979239  11.46020761] ; [12.46020761  0.53979239],1
r1,1,0.000142,14.469953,[235  39] ; [6 7],[230.08362369  43.91637631] ; [10.91637631  2.08362369],1
p7,1,0.003402,8.578297,[200  66] ; [5 8],[195.44802867  70.55197133] ; [9.55197133 3.44802867],0
r2,1,0.009327,6.759197,[268   7] ; [11  2],[266.40625   8.59375] ; [12.59375  0.40625],0
d5,1,0.027648,4.849906,[232  42] ; [8 5],[229.12891986  44.87108014] ; [10.87108014  2.12891986],0
v2,1,0.036577,4.369986,[162 108] ; [4 9],[158.3745583 111.6254417] ; [7.6254417 5.3745583],0
s1,1,0.040609,4.192277,[ 10 261] ; [ 2 11],[ 11.45070423 259.54929577] ; [ 0.54929577 12.45070423],0
d3,1,0.041467,4.156843,[199  76] ; [6 7],[195.74652778  79.25347222] ; [9.25347222 3.74652778],0
d4,1,0.056333,3.642173,[240  34] ; [9 4],[237.72125436  36.27874564] ; [11.27874564  1.72125436],0
b1,1,0.084448,2.977156,[104 172] ; [8 5],[106.96193772 169.03806228] ; [5.03806228 7.96193772],0
p4,1,0.090658,2.862642,[186  85] ; [6 7],[183.21126761  87.78873239] ; [8.78873239 4.21126761],0
a2,1,0.099285,2.716996,[ 79 197] ; [ 1 12],[ 76.40138408 199.59861592] ; [3.59861592 9.40138408],0
p11,1,0.126345,2.336843,[219  57] ; [8 5],[216.78892734  59.21107266] ; [10.21107266  2.78892734],0
n6,1,0.131211,2.278123,[245  27] ; [10  3],[243.36842105  28.63157895] ; [11.63157895  1.36842105],0
s3,1,0.145552,2.118261,[190  82] ; [6 6],[187.71830986  84.28169014] ; [8.28169014 3.71830986],0
d1,1,0.16978,1.884887,[179  97] ; [6 7],[176.67820069  99.32179931] ; [8.32179931 4.67820069],0
a6,1,0.186048,1.748634,[176  98] ; [6 7],[173.75609756 100.24390244] ; [8.24390244 4.75609756],0
u1,1,0.190966,1.710148,[ 64 212] ; [ 1 12],[ 62.07612457 213.92387543] ; [ 2.92387543 10.07612457],0
n4,1,0.20366,1.615931,[212  62] ; [12  1],[213.85365854  60.14634146] ; [10.14634146  2.85365854],0
b3,1,0.205733,1.601199,[72 93] ; [2 7],[70.17241379 94.82758621] ; [3.82758621 5.17241379],0
b2,1,0.205733,1.601199,[72 93] ; [2 7],[70.17241379 94.82758621] ; [3.82758621 5.17241379],0
p1,1,0.219779,1.505814,[ 32 242] ; [ 3 10],[ 33.41463415 240.58536585] ; [ 1.58536585 11.41463415],0
p10,1,0.224744,1.47382,[240  32] ; [10  3],[238.59649123  33.40350877] ; [11.40350877  1.59649123],0
s8,1,0.2298,1.442097,[162 112] ; [5 7],[159.99300699 114.00699301] ; [7.00699301 4.99300699],0
s7,1,0.245448,1.349029,[175  89] ; [6 6],[173.13043478  90.86956522] ; [7.86956522 4.13043478],0
b5,1,0.269588,1.218843,[148 128] ; [9 4],[149.93771626 126.06228374] ; [7.06228374 5.93771626],0
v3,1,0.305772,1.048851,[123 149] ; [4 9],[121.20701754 150.79298246] ; [5.79298246 7.20701754],0
p3,1,0.345383,0.890349,[162 111] ; [6 7],[160.36363636 112.63636364] ; [7.63636364 5.36363636],0
s2,1,0.349296,0.876014,[201  73] ; [8 5],[199.53310105  74.46689895] ; [9.46689895 3.53310105],0
u2,1,0.394104,0.726242,[34 30] ; [3 1],[34.82352941 29.17647059] ; [2.17647059 1.82352941],0
a4,1,0.401661,0.703349,[139 137] ; [5 8],[137.52249135 138.47750865] ; [6.47750865 6.52249135],0
p9,1,0.425096,0.636183,[244  26] ; [10  2],[243.19148936  26.80851064] ; [10.80851064  1.19148936],0
v1,1,0.511677,0.430636,[171 101] ; [7 6],[169.88070175 102.11929825] ; [8.11929825 4.88070175],0
p8,1,0.516621,0.420634,[161 110] ; [6 6],[159.91872792 111.08127208] ; [7.08127208 4.91872792],0
a3,1,0.517226,0.419421,[211  63] ; [9 4],[210.03484321  63.96515679] ; [9.96515679 3.03484321],0
p6,1,0.544924,0.366489,[127 143] ; [5 8],[125.93639576 144.06360424] ; [6.06360424 6.93639576],0
