Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.000373,12.66368,[ 9 87] ; [17 35],[16.86486486 79.13513514] ; [ 9.13513514 42.86486486],1
d2,1,0.00053,12.00726,[36 60] ; [35 17],[46.05405405 49.94594595] ; [24.94594595 27.05405405],1
s7,1,0.00056,11.903943,[37 56] ; [32 13],[46.5 46.5] ; [22.5 22.5],1
p4,1,0.003183,8.699758,[46 50] ; [38 14],[54.48648649 41.51351351] ; [29.51351351 22.48648649],0
a4,1,0.004139,8.221748,[32 64] ; [30 22],[40.21621622 55.78378378] ; [21.78378378 30.21621622],0
p7,1,0.004141,8.22077,[46 50] ; [37 14],[54.20408163 41.79591837] ; [28.79591837 22.20408163],0
d1,1,0.004258,8.170296,[41 55] ; [35 17],[49.2972973 46.7027027] ; [26.7027027 25.2972973],0
p10,1,0.006794,7.326509,[51 43] ; [40 12],[58.5890411 35.4109589] ; [32.4109589 19.5890411],0
a2,1,0.008056,7.020888,[15 81] ; [18 34],[21.40540541 74.59459459] ; [11.59459459 40.40540541],0
p3,1,0.009869,6.658332,[36 60] ; [31 21],[43.45945946 52.54054054] ; [23.54054054 28.45945946],0
d3,1,0.015461,5.863129,[60 36] ; [41  9],[66.4109589 29.5890411] ; [34.5890411 15.4109589],0
u2,1,0.017759,5.61975,[15 25] ; [11  4],[18.90909091 21.09090909] ; [7.09090909 7.90909091],0
n4,1,0.018204,5.576422,[56 38] ; [41 11],[62.45205479 31.54794521] ; [34.54794521 17.45205479],0
p8,1,0.024747,5.041537,[30 66] ; [26 26],[36.32432432 59.67567568] ; [19.67567568 32.32432432],0
b2,1,0.028291,4.810236,[ 8 36] ; [11 15],[11.94285714 32.05714286] ; [ 7.05714286 18.94285714],0
b3,1,0.028291,4.810236,[ 8 36] ; [11 15],[11.94285714 32.05714286] ; [ 7.05714286 18.94285714],0
a5,1,0.043908,4.060101,[52 44] ; [37 15],[57.72972973 38.27027027] ; [31.27027027 20.72972973],0
n5,1,0.046544,3.961795,[55 40] ; [38 13],[60.51369863 34.48630137] ; [32.48630137 18.51369863],0
a3,1,0.047089,3.942218,[53 42] ; [37 14],[58.56164384 36.43835616] ; [31.43835616 19.56164384],0
v2,1,0.051457,3.793343,[35 55] ; [29 23],[40.56338028 49.43661972] ; [23.43661972 28.56338028],0
s8,1,0.051465,3.793084,[34 62] ; [27 25],[39.56756757 56.43243243] ; [21.43243243 30.56756757],0
s2,1,0.055291,3.673288,[47 49] ; [34 18],[52.54054054 43.45945946] ; [28.45945946 23.54054054],0
p9,1,0.076713,3.133192,[63 31] ; [42 10],[67.60273973 26.39726027] ; [37.39726027 14.60273973],0
s5,1,0.079984,3.065217,[28 66] ; [21 26],[32.66666667 61.33333333] ; [16.33333333 30.66666667],0
n1,1,0.125115,2.352087,[12 24] ; [7 5],[14.25 21.75] ; [4.75 7.25],0
n3,1,0.1311,2.279428,[22 15] ; [10  2],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
p5,1,0.138968,2.189349,[ 6 90] ; [ 7 45],[ 8.43243243 87.56756757] ; [ 4.56756757 47.43243243],0
r4,1,0.15603,2.012287,[76 20] ; [46  6],[79.13513514 16.86486486] ; [42.86486486  9.13513514],0
r2,1,0.170995,1.874197,[86 10] ; [49  2],[88.16326531  7.83673469] ; [46.83673469  4.16326531],0
u3,1,0.177663,1.817068,[19 22] ; [10  5],[21.23214286 19.76785714] ; [7.76785714 7.23214286],0
d5,1,0.201036,1.634835,[70 26] ; [42  9],[73.14285714 22.85714286] ; [38.85714286 12.14285714],0
p1,1,0.245085,1.351103,[ 6 90] ; [ 6 45],[ 7.83673469 88.16326531] ; [ 4.16326531 46.83673469],0
u4,1,0.247769,1.335838,[ 1 95] ; [ 2 50],[ 1.94594595 94.05405405] ; [ 1.05405405 50.94594595],0
r1,1,0.257838,1.280327,[68 26] ; [42 10],[70.82191781 23.17808219] ; [39.17808219 12.82191781],0
a7,1,0.323984,0.972794,[66 30] ; [39 12],[68.57142857 27.42857143] ; [36.42857143 14.57142857],0
n2,1,0.338987,0.91426,[27 10] ; [7 5],[25.67346939 11.32653061] ; [8.32653061 3.67346939],0
n6,1,0.349529,0.875167,[67 27] ; [40 11],[69.36551724 24.63448276] ; [37.63448276 13.36551724],0
b4,1,0.369101,0.806687,[59 37] ; [28 24],[56.43243243 39.56756757] ; [30.56756757 21.43243243],0
v3,1,0.382724,0.761935,[26 66] ; [18 33],[28.30769231 63.69230769] ; [15.69230769 35.30769231],0
a6,1,0.401535,0.703723,[56 40] ; [34 18],[58.37837838 37.62162162] ; [31.62162162 20.37837838],0
s1,1,0.452443,0.564525,[ 3 91] ; [ 3 49],[ 3.8630137 90.1369863] ; [ 2.1369863 49.8630137],0
s4,1,0.462468,0.539916,[19 77] ; [13 39],[20.75675676 75.24324324] ; [11.24324324 40.75675676],0
a1,1,0.527817,0.398593,[ 2 94] ; [ 2 50],[ 2.59459459 93.40540541] ; [ 1.40540541 50.59459459],0
d4,1,0.674313,0.176598,[72 23] ; [41 11],[73.02721088 21.97278912] ; [39.97278912 12.02721088],0
a8,1,0.695039,0.153685,[ 8 79] ; [ 5 39],[ 8.63358779 78.36641221] ; [ 4.36641221 39.63358779],0
b1,1,0.80872,0.058601,[50 46] ; [26 26],[49.2972973 46.7027027] ; [26.7027027 25.2972973],0
p12,1,0.816681,0.053739,[ 3 93] ; [ 2 50],[ 3.24324324 92.75675676] ; [ 1.75675676 50.24324324],0
s6,1,0.837695,0.041961,[63 32] ; [34 16],[63.55172414 31.44827586] ; [33.44827586 16.55172414],0
s3,1,0.865732,0.028589,[54 42] ; [30 22],[54.48648649 41.51351351] ; [29.51351351 22.48648649],0
b5,1,0.874909,0.024783,[64 32] ; [34 18],[63.56756757 32.43243243] ; [34.43243243 17.56756757],0
v1,1,0.902011,0.015159,[46 48] ; [26 26],[46.35616438 47.64383562] ; [25.64383562 26.35616438],0
r3,1,0.932796,0.007111,[87  9] ; [46  5],[86.85714286  9.14285714] ; [46.14285714  4.85714286],0
v4,1,0.943112,0.005092,[88  7] ; [48  4],[87.89115646  7.10884354] ; [48.10884354  3.89115646],0
