Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,26.074342,[49 12] ; [ 2 14],[40.4025974 20.5974026] ; [10.5974026  5.4025974],1
s3,1,8.1e-05,15.546447,[52  9] ; [ 6 10],[45.94805195 15.05194805] ; [12.05194805  3.94805195],1
r2,1,0.000532,11.999693,[59  2] ; [11  5],[55.45454545  5.54545455] ; [14.54545455  1.45454545],1
s2,1,0.008457,6.934024,[48 14] ; [7 9],[43.71794872 18.28205128] ; [11.28205128  4.71794872],0
b5,1,0.013264,6.133583,[25 37] ; [12  4],[29.41025641 32.58974359] ; [7.58974359 8.41025641],0
p7,1,0.013594,6.090064,[50  9] ; [9 7],[46.41333333 12.58666667] ; [12.58666667  3.41333333],0
a3,1,0.017037,5.69253,[52 10] ; [9 7],[48.48717949 13.51282051] ; [12.51282051  3.48717949],0
p11,1,0.022269,5.224618,[54  8] ; [10  6],[50.87179487 11.12820513] ; [13.12820513  2.87179487],0
p2,1,0.027077,4.885882,[56  6] ; [11  5],[53.25641026  8.74358974] ; [13.74358974  2.25641026],0
p8,1,0.037549,4.325346,[53  9] ; [10  6],[50.07692308 11.92307692] ; [12.92307692  3.07692308],0
p6,1,0.051253,3.8,[42 18] ; [7 9],[38.68421053 21.31578947] ; [10.31578947  5.68421053],0
n4,1,0.062634,3.46623,[59  3] ; [13  3],[57.23076923  4.76923077] ; [14.76923077  1.23076923],0
d5,1,0.064012,3.430248,[51 10] ; [10  6],[48.32467532 12.67532468] ; [12.67532468  3.32467532],0
r1,1,0.079151,3.082258,[54  8] ; [11  5],[51.66666667 10.33333333] ; [13.33333333  2.66666667],0
p3,1,0.094724,2.792209,[50 11] ; [10  6],[47.53246753 13.46753247] ; [12.46753247  3.53246753],0
v4,1,0.133756,2.248365,[60  2] ; [14  2],[58.82051282  3.17948718] ; [15.17948718  0.82051282],0
d3,1,0.172922,1.857426,[45 16] ; [9 7],[42.77922078 18.22077922] ; [11.22077922  4.77922078],0
a8,1,0.193472,1.690979,[ 8 49] ; [ 4 10],[ 9.63380282 47.36619718] ; [ 2.36619718 11.63380282],0
n5,1,0.209102,1.577635,[57  5] ; [13  3],[55.64102564  6.35897436] ; [14.35897436  1.64102564],0
d1,1,0.233974,1.41654,[41 21] ; [8 8],[38.94871795 23.05128205] ; [10.05128205  5.94871795],0
p1,1,0.29076,1.116097,[20 42] ; [ 3 13],[18.28205128 43.71794872] ; [ 4.71794872 11.28205128],0
v1,1,0.342746,0.900135,[42 19] ; [9 7],[40.4025974 20.5974026] ; [10.5974026  5.4025974],0
p4,1,0.381562,0.765663,[54  7] ; [12  3],[52.97368421  8.02631579] ; [13.02631579  1.97368421],0
a6,1,0.409016,0.681659,[35 26] ; [11  5],[36.44155844 24.55844156] ; [9.55844156 6.44155844],0
b1,1,0.413032,0.670056,[24 38] ; [8 8],[25.43589744 36.56410256] ; [6.56410256 9.43589744],0
p9,1,0.418245,0.655242,[58  4] ; [14  2],[57.23076923  4.76923077] ; [14.76923077  1.23076923],0
n2,1,0.45675,0.553846,[12  4] ; [1 1],[11.55555556  4.44444444] ; [1.44444444 0.55555556],0
s4,1,0.480921,0.496774,[ 8 54] ; [ 3 12],[ 8.85714286 53.14285714] ; [ 2.14285714 12.85714286],0
v3,1,0.516556,0.420765,[36 25] ; [8 8],[34.85714286 26.14285714] ; [9.14285714 6.85714286],0
b4,1,0.581644,0.303584,[34 28] ; [10  6],[34.97435897 27.02564103] ; [9.02564103 6.97435897],0
u3,1,0.585106,0.298052,[7 3] ; [4 3],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
u2,1,0.585106,0.298052,[7 3] ; [4 3],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
p10,1,0.586656,0.295596,[54  7] ; [14  1],[54.57894737  6.42105263] ; [13.42105263  1.57894737],0
u1,1,0.618084,0.248569,[12 50] ; [ 4 12],[12.71794872 49.28205128] ; [ 3.28205128 12.71794872],0
a4,1,0.662405,0.190616,[27 35] ; [ 6 10],[26.23076923 35.76923077] ; [6.76923077 9.23076923],0
v2,1,0.681622,0.168306,[34 27] ; [8 8],[33.27272727 27.72727273] ; [8.72727273 7.27272727],0
d4,1,0.69489,0.153842,[52  9] ; [13  3],[51.49350649  9.50649351] ; [13.50649351  2.49350649],0
a1,1,0.71982,0.128666,[10 52] ; [ 2 14],[ 9.53846154 52.46153846] ; [ 2.46153846 13.53846154],0
p12,1,0.749305,0.102116,[18 44] ; [ 4 12],[17.48717949 44.51282051] ; [ 4.51282051 11.48717949],0
b3,1,0.785626,0.073981,[24 24] ; [5 6],[23.59322034 24.40677966] ; [5.40677966 5.59322034],0
b2,1,0.785626,0.073981,[24 24] ; [5 6],[23.59322034 24.40677966] ; [5.40677966 5.59322034],0
d2,1,0.78677,0.073174,[32 29] ; [9 7],[32.48051948 28.51948052] ; [8.51948052 7.48051948],0
a2,1,0.801965,0.062903,[10 52] ; [ 3 13],[10.33333333 51.66666667] ; [ 2.66666667 13.33333333],0
r4,1,0.819508,0.052065,[59  3] ; [15  1],[58.82051282  3.17948718] ; [15.17948718  0.82051282],0
r3,1,0.819508,0.052065,[59  3] ; [15  1],[58.82051282  3.17948718] ; [15.17948718  0.82051282],0
n3,1,0.866815,0.028125,[9 7] ; [1 1],[8.88888889 7.11111111] ; [1.11111111 0.88888889],0
s5,1,0.933474,0.006968,[40 19] ; [10  5],[39.86486486 19.13513514] ; [10.13513514  4.86486486],0
a5,1,0.947486,0.004338,[46 16] ; [12  4],[46.1025641 15.8974359] ; [11.8974359  4.1025641],0
a7,1,0.962725,0.002184,[43 19] ; [11  5],[42.92307692 19.07692308] ; [11.07692308  4.92307692],0
n6,1,0.964577,0.001972,[57  4] ; [15  1],[57.03896104  3.96103896] ; [14.96103896  1.03896104],0
