Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,5.8e-05,16.173588,[1 2] ; [75  4],[2.7804878 0.2195122] ; [73.2195122  5.7804878],1
r4,1,0.000218,13.667567,[1 2] ; [75  5],[2.74698795 0.25301205] ; [73.25301205  6.74698795],1
p9,1,0.018833,5.516917,[2 1] ; [77  3],[2.85542169 0.14457831] ; [76.14457831  3.85542169],0
r3,1,0.075341,3.162653,[2 1] ; [75  5],[2.78313253 0.21686747] ; [74.21686747  5.78313253],0
p10,1,0.077916,3.107854,[2 1] ; [74  5],[2.7804878 0.2195122] ; [73.2195122  5.7804878],0
s1,1,0.11393,2.498841,[1 2] ; [ 6 74],[0.25301205 2.74698795] ; [ 6.74698795 73.25301205],0
p6,1,0.134108,2.244291,[1 2] ; [57 21],[2.14814815 0.85185185] ; [55.85185185 22.14814815],0
n5,1,0.156636,2.00641,[2 1] ; [73  7],[2.71084337 0.28915663] ; [72.28915663  7.71084337],0
v1,1,0.157771,1.995465,[1 2] ; [55 22],[2.1 0.9] ; [53.9 23.1],0
p2,1,0.201921,1.628428,[2 1] ; [72  8],[2.6746988 0.3253012] ; [71.3253012  8.6746988],0
p4,1,0.206893,1.593036,[2 1] ; [71  8],[2.67073171 0.32926829] ; [70.32926829  8.67073171],0
s3,1,0.247977,1.334668,[1 2] ; [52 27],[1.93902439 1.06097561] ; [51.06097561 27.93902439],0
d3,1,0.270439,1.214519,[1 2] ; [51 28],[1.90243902 1.09756098] ; [50.09756098 28.90243902],0
d1,1,0.284963,1.143267,[1 2] ; [51 29],[1.87951807 1.12048193] ; [50.12048193 29.87951807],0
v3,1,0.302475,1.063251,[1 2] ; [49 29],[1.85185185 1.14814815] ; [48.14814815 29.85185185],0
s2,1,0.308206,1.038348,[1 2] ; [50 30],[1.84337349 1.15662651] ; [49.15662651 30.84337349],0
a6,1,0.317331,0.999916,[1 2] ; [49 30],[1.82926829 1.17073171] ; [48.17073171 30.82926829],0
s6,1,0.329081,0.95251,[2 1] ; [65 10],[2.57692308 0.42307692] ; [64.42307692 10.57692308],0
v2,1,0.377196,0.779821,[1 2] ; [46 32],[1.74074074 1.25925926] ; [45.25925926 32.74074074],0
a8,1,0.379562,0.772121,[1 2] ; [11 64],[0.46153846 2.53846154] ; [11.53846154 63.46153846],0
b5,1,0.406989,0.687579,[2 1] ; [34 46],[1.30120482 1.69879518] ; [34.69879518 45.30120482],0
r1,1,0.529583,0.395192,[2 1] ; [65 15],[2.42168675 0.57831325] ; [64.57831325 15.42168675],0
p3,1,0.53827,0.378756,[2 1] ; [64 15],[2.41463415 0.58536585] ; [63.58536585 15.41463415],0
b3,1,0.594816,0.282886,[2 1] ; [28 27],[1.55172414 1.44827586] ; [28.44827586 26.55172414],0
b2,1,0.594816,0.282886,[2 1] ; [28 27],[1.55172414 1.44827586] ; [28.44827586 26.55172414],0
s7,1,0.744742,0.106003,[2 1] ; [57 19],[2.24050633 0.75949367] ; [56.75949367 19.24050633],0
a7,1,0.784929,0.074475,[2 1] ; [59 21],[2.20481928 0.79518072] ; [58.79518072 21.20481928],0
n3,1,0.880905,0.022447,[1 1] ; [10  8],[1.1 0.9] ; [9.9 8.1],0
s5,1,0.959701,0.002553,[2 1] ; [49 23],[2.04 0.96] ; [48.96 23.04],0
s8,1,0.975864,0.000915,[2 1] ; [52 27],[1.97560976 1.02439024] ; [52.02439024 26.97560976],0
p12,1,0.987822,0.000233,[1 2] ; [26 53],[0.98780488 2.01219512] ; [26.01219512 52.98780488],0
