Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.00239,9.222653,[ 9 27] ; [10  4],[13.68 22.32] ; [5.32 8.68],0
p11,1,0.002877,8.883709,[ 4 32] ; [7 7],[ 7.92 28.08] ; [ 3.08 10.92],0
b5,1,0.003955,8.304578,[12 24] ; [11  3],[16.56 19.44] ; [6.44 7.56],0
r4,1,0.005789,7.614829,[ 2 34] ; [5 9],[ 5.04 30.96] ; [ 1.96 12.04],0
v4,1,0.0083,6.967636,[16 20] ; [12  2],[20.16 15.84] ; [7.84 6.16],0
s7,1,0.00844,6.937741,[ 3 29] ; [6 8],[ 6.26086957 25.73913043] ; [ 2.73913043 11.26086957],0
v1,1,0.009006,6.821618,[ 7 29] ; [8 6],[10.8 25.2] ; [4.2 9.8],0
s5,1,0.017728,5.622874,[ 3 33] ; [5 9],[ 5.76 30.24] ; [ 2.24 11.76],0
s2,1,0.017728,5.622874,[ 3 33] ; [5 9],[ 5.76 30.24] ; [ 2.24 11.76],0
r1,1,0.028818,4.778439,[11 25] ; [9 5],[14.4 21.6] ; [5.6 8.4],0
s4,1,0.042033,4.133867,[ 4 32] ; [5 9],[ 6.48 29.52] ; [ 2.52 11.48],0
n3,1,0.06999,3.283256,[ 7 12] ; [6 2],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
p9,1,0.083439,2.9966,[10 23] ; [8 6],[12.63829787 20.36170213] ; [5.36170213 8.63829787],0
b4,1,0.094599,2.794312,[19 17] ; [11  3],[21.6 14.4] ; [8.4 5.6],0
p2,1,0.101594,2.680342,[ 8 28] ; [6 7],[10.28571429 25.71428571] ; [3.71428571 9.28571429],0
p5,1,0.104135,2.641041,[ 1 35] ; [ 2 11],[ 2.20408163 33.79591837] ; [ 0.79591837 12.20408163],0
b2,1,0.132725,2.260334,[11 12] ; [2 8],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
b3,1,0.132725,2.260334,[11 12] ; [2 8],[ 9.06060606 13.93939394] ; [3.93939394 6.06060606],0
n2,1,0.150449,2.067692,[ 9 11] ; [6 2],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
a7,1,0.176086,1.830349,[13 23] ; [8 6],[15.12 20.88] ; [5.88 8.12],0
s8,1,0.200751,1.636905,[ 3 33] ; [ 3 11],[ 4.32 31.68] ; [ 1.68 12.32],0
s3,1,0.208748,1.580085,[ 8 27] ; [5 7],[ 9.68085106 25.31914894] ; [3.31914894 8.68085106],0
v2,1,0.21486,1.538372,[ 3 32] ; [ 3 11],[ 4.28571429 30.71428571] ; [ 1.71428571 12.28571429],0
n4,1,0.241909,1.369437,[22 14] ; [11  3],[23.76 12.24] ; [9.24 4.76],0
n1,1,0.280828,1.163077,[ 8 12] ; [5 3],[ 9.28571429 10.71428571] ; [3.71428571 4.28571429],0
p6,1,0.322199,0.98,[ 2 33] ; [ 2 12],[ 2.85714286 32.14285714] ; [ 1.14285714 12.85714286],0
p8,1,0.34515,0.891209,[ 4 32] ; [ 3 11],[ 5.04 30.96] ; [ 1.96 12.04],0
a3,1,0.350656,0.871083,[19 16] ; [9 4],[20.41666667 14.58333333] ; [7.58333333 5.41666667],0
n5,1,0.409493,0.680272,[24 12] ; [11  3],[25.2 10.8] ; [9.8 4.2],0
p3,1,0.442334,0.590219,[ 5 31] ; [ 3 10],[ 5.87755102 30.12244898] ; [ 2.12244898 10.87755102],0
p10,1,0.447699,0.576471,[11 24] ; [6 8],[12.14285714 22.85714286] ; [4.85714286 9.14285714],0
a6,1,0.4617,0.54177,[17 19] ; [5 9],[15.84 20.16] ; [6.16 7.84],0
u3,1,0.467267,0.528431,[ 4 13] ; [2 3],[ 4.63636364 12.36363636] ; [1.36363636 3.63636364],0
p1,1,0.513785,0.426351,[ 5 31] ; [ 3 11],[ 5.76 30.24] ; [ 2.24 11.76],0
d2,1,0.522817,0.408333,[14 21] ; [7 7],[15. 20.] ; [6. 8.],0
s1,1,0.528733,0.396825,[ 3 33] ; [ 2 12],[ 3.6 32.4] ; [ 1.4 12.6],0
a2,1,0.528733,0.396825,[ 3 33] ; [ 2 12],[ 3.6 32.4] ; [ 1.4 12.6],0
d4,1,0.649886,0.206044,[18 18] ; [8 6],[18.72 17.28] ; [7.28 6.72],0
u2,1,0.654992,0.199664,[ 5 12] ; [2 3],[ 5.40909091 11.59090909] ; [1.59090909 3.40909091],0
a1,1,0.669879,0.181744,[ 7 29] ; [ 2 12],[ 6.48 29.52] ; [ 2.52 11.48],0
b1,1,0.699676,0.14881,[21 15] ; [9 5],[21.6 14.4] ; [8.4 5.6],0
a5,1,0.723413,0.125246,[16 20] ; [7 7],[16.56 19.44] ; [6.44 7.56],0
d1,1,0.725506,0.123278,[11 25] ; [5 9],[11.52 24.48] ; [4.48 9.52],0
d5,1,0.780962,0.07732,[19 17] ; [8 6],[19.44 16.56] ; [7.56 6.44],0
a4,1,0.81835,0.052747,[12 23] ; [4 9],[11.66666667 23.33333333] ; [4.33333333 8.66666667],0
p7,1,0.841547,0.039966,[ 5 30] ; [ 2 10],[ 5.21276596 29.78723404] ; [ 1.78723404 10.21276596],0
r2,1,0.844579,0.038431,[24 11] ; [10  4],[24.28571429 10.71428571] ; [9.71428571 4.28571429],0
v3,1,0.874862,0.024802,[ 7 29] ; [ 3 11],[ 7.2 28.8] ; [ 2.8 11.2],0
d3,1,0.97906,0.000689,[13 23] ; [5 9],[12.96 23.04] ; [5.04 8.96],0
