Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.1e-05,19.362065,[41 32] ; [ 8 41],[29.31967213 43.68032787] ; [19.68032787 29.31967213],1
p2,1,0.000161,14.234504,[65  8] ; [30 20],[56.38211382 16.61788618] ; [38.61788618 11.38211382],1
n4,1,0.000928,10.966952,[60 12] ; [28 22],[51.93442623 20.06557377] ; [36.06557377 13.93442623],1
p6,1,0.003778,8.387749,[30 43] ; [ 8 41],[22.73770492 50.26229508] ; [15.26229508 33.73770492],0
p4,1,0.006629,7.370882,[39 34] ; [14 35],[31.71311475 41.28688525] ; [21.28688525 27.71311475],0
n5,1,0.007773,7.085059,[57 14] ; [29 21],[50.46280992 20.53719008] ; [35.53719008 14.46280992],0
b5,1,0.012651,6.217218,[33 40] ; [34 16],[39.76422764 33.23577236] ; [27.23577236 22.76422764],0
v4,1,0.014852,5.933899,[69  1] ; [44  6],[65.91666667  4.08333333] ; [47.08333333  2.91666667],0
p11,1,0.030395,4.686821,[57 16] ; [30 20],[51.63414634 21.36585366] ; [35.36585366 14.63414634],0
p9,1,0.043114,4.090909,[63  9] ; [35 13],[58.8 13.2] ; [39.2  8.8],0
d2,1,0.062471,3.470547,[33 40] ; [30 18],[38.00826446 34.99173554] ; [24.99173554 23.00826446],0
d4,1,0.092916,2.823113,[57 16] ; [44  5],[60.43442623 12.56557377] ; [40.56557377  8.43442623],0
r3,1,0.096427,2.763669,[69  3] ; [43  6],[66.6446281  5.3553719] ; [45.3553719  3.6446281],0
v1,1,0.113143,2.509756,[43 28] ; [23 27],[38.72727273 32.27272727] ; [27.27272727 22.72727273],0
n6,1,0.113955,2.498502,[64  7] ; [40 10],[61.02479339  9.97520661] ; [42.97520661  7.02479339],0
a8,1,0.116071,2.469551,[14 54] ; [ 4 39],[11.02702703 56.97297297] ; [ 6.97297297 36.02702703],0
p10,1,0.127559,2.321961,[61 11] ; [36 13],[57.71900826 14.28099174] ; [39.28099174  9.71900826],0
s8,1,0.128493,2.310618,[43 30] ; [22 27],[38.89344262 34.10655738] ; [26.10655738 22.89344262],0
r1,1,0.153512,2.037003,[60 11] ; [37 13],[56.91735537 14.08264463] ; [40.08264463  9.91735537],0
u2,1,0.163328,1.943142,[ 7 14] ; [9 7],[ 9.08108108 11.91891892] ; [6.91891892 9.08108108],0
p12,1,0.182011,1.781125,[ 6 67] ; [ 8 42],[ 8.30894309 64.69105691] ; [ 5.69105691 44.30894309],0
b1,1,0.209517,1.574763,[30 43] ; [15 35],[26.70731707 46.29268293] ; [18.29268293 31.70731707],0
s3,1,0.233551,1.419105,[51 19] ; [30 18],[48.05084746 21.94915254] ; [32.94915254 15.05084746],0
a7,1,0.25043,1.320904,[48 25] ; [37 12],[50.86065574 22.13934426] ; [34.13934426 14.86065574],0
u1,1,0.266406,1.235161,[ 8 65] ; [ 9 41],[10.08943089 62.91056911] ; [ 6.91056911 43.08943089],0
a2,1,0.274411,1.194564,[13 60] ; [13 37],[15.43089431 57.56910569] ; [10.56910569 39.43089431],0
r4,1,0.285861,1.139014,[66  7] ; [42  8],[64.09756098  8.90243902] ; [43.90243902  6.09756098],0
s7,1,0.316918,1.001621,[44 28] ; [26 24],[41.31147541 30.68852459] ; [28.68852459 21.31147541],0
n3,1,0.342558,0.900833,[18  5] ; [11  6],[16.675  6.325] ; [12.325  4.675],0
a6,1,0.345512,0.889871,[39 34] ; [31 19],[41.54471545 31.45528455] ; [28.45528455 21.54471545],0
u3,1,0.365898,0.817547,[11 12] ; [10  6],[12.38461538 10.61538462] ; [8.61538462 7.38461538],0
a4,1,0.409853,0.679227,[31 42] ; [25 25],[33.23577236 39.76422764] ; [22.76422764 27.23577236],0
s6,1,0.417725,0.656706,[62  9] ; [41  9],[60.43801653 10.56198347] ; [42.56198347  7.43801653],0
d1,1,0.424225,0.638581,[37 36] ; [29 21],[39.17073171 33.82926829] ; [26.82926829 23.17073171],0
v3,1,0.484249,0.489278,[24 48] ; [19 29],[25.8 46.2] ; [17.2 30.8],0
s4,1,0.496221,0.46301,[18 54] ; [15 34],[19.63636364 52.36363636] ; [13.36363636 35.63636364],0
v2,1,0.548481,0.360045,[38 33] ; [23 25],[36.39495798 34.60504202] ; [24.60504202 23.39495798],0
b4,1,0.569307,0.323844,[43 30] ; [32 18],[44.51219512 28.48780488] ; [30.48780488 19.51219512],0
